year,appelant_VERB en_ADP
1800,1.2576657937302116e-08
1801,3.333655484993869e-08
1802,8.503792514602537e-08
1803,6.826187615160961e-08
1804,8.404293083685843e-08
1805,1.194008660831969e-07
1806,7.492339726411501e-08
1807,2.1352163415144787e-07
1808,1.087715486569607e-07
1809,1.0843346842648316e-07
1810,1.4508786394529238e-07
1811,1.6546707115594472e-07
1812,2.2404549326893175e-07
1813,1.380355929558874e-07
1814,2.2970742463712668e-07
1815,1.6722786710943183e-07
1816,5.0987285504788815e-08
1817,3.7364962679475866e-08
1818,8.821671326764147e-08
1819,1.0351050150347874e-07
1820,9.611849804969097e-08
1821,5.719663043191048e-08
1822,1.3233812978796777e-07
1823,1.620760627929485e-07
1824,1.4315891938565528e-07
1825,1.4000654857682093e-07
1826,1.1890779205714352e-07
1827,1.9356274094661785e-07
1828,2.283903057787029e-07
1829,1.6117570567075745e-07
1830,1.3672254794983019e-07
1831,1.808579952466971e-07
1832,1.6235962618793565e-07
1833,8.571885246055899e-08
1834,5.880754372356023e-08
1835,7.563087933704082e-08
1836,7.661655132551459e-08
1837,1.1897993390519446e-07
1838,8.458297173774554e-08
1839,1.2584655451064464e-07
1840,1.2611982924681797e-07
1841,1.5216699544851053e-07
1842,1.247737344556299e-07
1843,1.1459407289748924e-07
1844,7.629099935124728e-08
1845,1.2722919962016022e-07
1846,1.3582442437432007e-07
1847,1.024712474873013e-07
1848,1.5446825329945568e-07
1849,1.407741716530353e-07
1850,1.6768819754986453e-07
1851,2.521730433358016e-07
1852,2.2005643884881465e-07
1853,1.0092565183583702e-07
1854,1.4288077476720673e-07
1855,1.6557643078840556e-07
1856,1.0665009470001152e-07
1857,1.1862067106349627e-07
1858,1.732361247785974e-07
1859,1.7466154877965323e-07
1860,9.840945480732444e-08
1861,9.196129219235516e-08
1862,1.034618861972536e-07
1863,1.1687412665439822e-07
1864,9.445614068681607e-08
1865,9.978510306929422e-08
1866,9.05004030049561e-08
1867,8.735060852416154e-08
1868,8.595380962539423e-08
1869,1.1036753555515588e-07
1870,1.0894692481500101e-07
1871,1.6887671949739058e-07
1872,1.1610891403890378e-07
1873,8.919146327057703e-08
1874,8.364452863673932e-08
1875,9.669380807153516e-08
1876,1.305939179019333e-07
1877,1.570943330975183e-07
1878,1.703023002619375e-07
1879,6.231511817667013e-08
1880,1.4375976320479822e-07
1881,1.3387214359283917e-07
1882,1.4974615836216287e-07
1883,9.226234931603017e-08
1884,6.667714291808124e-08
1885,1.2826815704025663e-07
1886,1.226158080624984e-07
1887,1.4624790545259003e-07
1888,1.3822539779440035e-07
1889,1.478572322355376e-07
1890,1.1535719990352078e-07
1891,1.2939666171885023e-07
1892,1.0092305302578097e-07
1893,1.274792258421087e-07
1894,1.4808617043726713e-07
1895,1.709286561180079e-07
1896,1.1853028503150398e-07
1897,1.1653426956748092e-07
1898,1.3466883974633248e-07
1899,1.3542567423030505e-07
1900,1.2769990487271343e-07
1901,1.2462887988284876e-07
1902,1.173557834244221e-07
1903,1.1610473649170672e-07
1904,1.2039160157684137e-07
1905,1.3108328611455278e-07
1906,7.047533018278429e-08
1907,1.167425427439639e-07
1908,8.938727802387803e-08
1909,1.2322202547210281e-07
1910,1.0848625597859041e-07
1911,9.417062052374803e-08
1912,1.1096066998561582e-07
1913,1.2090816881027422e-07
1914,1.5536445074904037e-07
1915,1.3312261160081107e-07
1916,8.680095220370276e-08
1917,1.0418103357778818e-07
1918,9.189101035644853e-08
1919,8.471220525052559e-08
1920,5.6034515694136644e-08
1921,1.5448404155904427e-07
1922,1.2837607243909588e-07
1923,1.4437689932478293e-07
1924,1.2762707513047644e-07
1925,9.458433103404218e-08
1926,7.244989996824103e-08
1927,7.692965198202728e-08
1928,9.826395341860916e-08
1929,9.580749349424877e-08
1930,7.03741442897865e-08
1931,5.2464642408267537e-08
1932,8.110057170274132e-08
1933,9.405943357521096e-08
1934,1.2101395441277418e-07
1935,8.617164581892212e-08
1936,5.941110003959693e-08
1937,9.695160940736969e-08
1938,6.612259073612847e-08
1939,6.729382295844744e-08
1940,5.325144059042941e-08
1941,6.493305493293633e-08
1942,9.406056733496371e-08
1943,9.580676163523094e-08
1944,7.069009200222354e-08
1945,3.921307367704685e-08
1946,3.7586982415405146e-08
1947,5.841226902170149e-08
1948,6.631851690030999e-08
1949,4.319483593029361e-08
1950,4.998619829166273e-08
1951,4.371174711081949e-08
1952,6.432330224015459e-08
1953,5.602390218406583e-08
1954,5.961246896113437e-08
1955,5.255940394022218e-08
1956,4.6222051963695776e-08
1957,4.5942195492365556e-08
1958,5.542403158642628e-08
1959,2.9452841943111707e-08
1960,4.49854167805519e-08
1961,6.044898270829435e-08
1962,4.6296282363300634e-08
1963,5.1728427319375214e-08
1964,4.319617363801598e-08
1965,5.5267637577571804e-08
1966,5.871419361813679e-08
1967,4.683818843886911e-08
1968,5.030385830107065e-08
1969,4.2238348346712584e-08
1970,5.3345210249133856e-08
1971,5.960541227256755e-08
1972,5.7970659383954626e-08
1973,5.127279500971582e-08
1974,5.456804430536977e-08
1975,5.026102511962449e-08
1976,4.342280479630034e-08
1977,3.8786758693731826e-08
1978,6.059403290237242e-08
1979,7.080887776123035e-08
1980,5.798853852656549e-08
1981,5.566483451957538e-08
1982,8.069752976958e-08
1983,7.1363068343544e-08
1984,4.6392067076794774e-08
1985,6.31633625403083e-08
1986,8.092555203731422e-08
1987,8.6773596308376e-08
1988,1.1153590384616052e-07
1989,6.3113404280557e-08
1990,9.589625371564381e-08
1991,1.0140334705255327e-07
1992,8.320016015028742e-08
1993,8.585771260616326e-08
1994,8.545381269264851e-08
1995,7.64565543098783e-08
1996,7.04628175807187e-08
1997,7.432086790437609e-08
1998,7.295237414162159e-08
1999,7.266620177803773e-08
2000,5.301637906462986e-08
2001,7.228999476804887e-08
2002,8.58719433338706e-08
2003,6.29205354485407e-08
2004,7.311953287292283e-08
2005,5.899912025597587e-08
2006,5.47679341877938e-08
2007,6.071608926738747e-08
2008,6.1307130927446e-08
2009,5.4357393475257254e-08
2010,4.4403654753111255e-08
2011,4.2446089976166945e-08
2012,3.7787204087980086e-08
2013,5.299337624276035e-08
2014,4.179309294471967e-08
2015,4.809968556784838e-08
2016,4.7847956263780134e-08
2017,4.603568903860378e-08
2018,3.975458895411066e-08
2019,3.7754619430785397e-08
