year,servant_VERB en_ADP
1800,5.65949598296811e-08
1801,4.0480102825313224e-08
1802,1.1189200677108602e-07
1803,4.4857802805609026e-08
1804,9.88740396223875e-08
1805,1.5635826855486812e-07
1806,9.797675115663651e-08
1807,8.256169792275614e-08
1808,8.384473915157287e-08
1809,1.0843346331945725e-07
1810,6.31834211617388e-08
1811,1.2033967777824728e-07
1812,9.868670503010435e-08
1813,6.326631751818468e-08
1814,6.922689976818219e-08
1815,7.012781111370714e-08
1816,7.416332437060191e-08
1817,8.718491140147222e-08
1818,9.179306914575136e-08
1819,8.487860725381324e-08
1820,1.4239777712532486e-07
1821,7.198886198267473e-08
1822,4.3110148340019805e-08
1823,1.0574474762492514e-07
1824,1.1284291279167746e-07
1825,4.4027216539177516e-08
1826,9.072223861039674e-08
1827,1.1152900175614988e-07
1828,6.604057034564903e-08
1829,1.268830054357295e-07
1830,1.3046044955444813e-07
1831,9.198811312671751e-08
1832,1.0147476814381662e-07
1833,7.181849837056831e-08
1834,9.334531192450868e-08
1835,7.411826175030001e-08
1836,1.0215539808511309e-07
1837,1.0575994124906174e-07
1838,9.278878110308142e-08
1839,8.879173840625754e-08
1840,1.1975014047038712e-07
1841,1.2327452880711576e-07
1842,1.267862081988369e-07
1843,1.175475317638508e-07
1844,6.750930670040844e-08
1845,9.095771247302764e-08
1846,1.264572233594663e-07
1847,1.1002176325547453e-07
1848,1.2952807537658373e-07
1849,1.0893239577036695e-07
1850,1.194863301634541e-07
1851,8.642247850687568e-08
1852,1.3607039606178262e-07
1853,8.778739779558009e-08
1854,1.1274592148780016e-07
1855,1.3479620619705202e-07
1856,1.226993825431677e-07
1857,1.0055908555850479e-07
1858,1.1793759258083014e-07
1859,1.2730433596175317e-07
1860,1.0802153935229875e-07
1861,1.4289370575681914e-07
1862,1.3870217691058784e-07
1863,1.323574583267373e-07
1864,1.0644296111195217e-07
1865,1.0213852125184886e-07
1866,1.1580158637558569e-07
1867,1.4801075742809644e-07
1868,1.0521931548268526e-07
1869,8.790334693475899e-08
1870,6.938199170747339e-08
1871,1.2532989046576404e-07
1872,1.2094677970253542e-07
1873,1.1373408204118363e-07
1874,1.3263632636650868e-07
1875,1.1214193307296227e-07
1876,1.2998931708807504e-07
1877,1.3482898453265335e-07
1878,8.33394268595633e-08
1879,9.286174673661662e-08
1880,1.1359587848147612e-07
1881,1.5409241793662432e-07
1882,1.5773263029039697e-07
1883,1.4218512944808026e-07
1884,9.176358872764467e-08
1885,1.0570842701174143e-07
1886,1.400401603013357e-07
1887,1.4755369509567018e-07
1888,1.572472427824323e-07
1889,1.8419501657263027e-07
1890,1.5271721159892948e-07
1891,1.4724448627045916e-07
1892,1.6047392348284006e-07
1893,1.5088120641770786e-07
1894,1.6068925590140282e-07
1895,1.5648398110634787e-07
1896,1.5921977553068345e-07
1897,1.5732126446010852e-07
1898,1.5051224122597517e-07
1899,1.4869185172017296e-07
1900,1.437921743896453e-07
1901,1.6151454929058673e-07
1902,3.6483410026377783e-07
1903,1.2852524866602266e-07
1904,1.7628770887512246e-07
1905,9.289366592613035e-08
1906,9.413857754436705e-08
1907,1.0542829187443203e-07
1908,1.0068347688907409e-07
1909,1.287230113611315e-07
1910,1.0153886409458579e-07
1911,1.1492008411551069e-07
1912,1.2294234252863134e-07
1913,1.2037786789598215e-07
1914,1.4130128739298087e-07
1915,1.1898569229895628e-07
1916,8.789969285771804e-08
1917,1.261138748986923e-07
1918,8.844509391536803e-08
1919,6.53757222246476e-08
1920,9.843901249695364e-08
1921,7.19411019645122e-08
1922,8.041949683956773e-08
1923,8.386599281706708e-08
1924,5.672314884463958e-08
1925,1.0448268739082778e-07
1926,9.474217610438984e-08
1927,7.2469961698296e-08
1928,9.369354136978814e-08
