year,roulant_VERB en_ADP,roulant_VERB sans_ADP
1800,8.803660733747165e-08,2.829747991484055e-08
1801,2.1668761007731518e-07,6.905429472681135e-08
1802,1.8126505096915935e-07,5.594600338554301e-08
1803,1.579774737692219e-07,2.9255089017965474e-08
1804,1.3100810036803523e-07,4.2021465418429216e-08
1805,1.393010045092069e-07,2.842877755426798e-08
1806,1.2103009794373065e-07,2.0171682990621775e-08
1807,7.402083435081863e-08,5.693910232196231e-09
1808,1.0877155354194201e-07,6.798221985349073e-09
1809,5.4216732658929345e-08,2.259030518203531e-09
1810,1.0062544708588916e-07,7.020380277111826e-09
1811,4.512738049911036e-08,2.5070767684098882e-09
1812,3.200649878465356e-08,2.6672082320544632e-09
1813,1.2365689361359955e-07,5.751483289628823e-09
1814,3.776012569289833e-08,0.0
1815,7.012781111370714e-08,0.0
1816,1.0660977523002657e-07,4.6352077731626196e-09
1817,1.930522968152104e-07,2.80237220096069e-08
1818,4.530047270634441e-08,2.5034472272977837e-08
1819,5.900098543065724e-08,6.210630232317271e-09
1820,4.15326857350351e-08,1.4239777357261119e-08
1821,2.859831527146639e-08,2.9584463767662328e-09
1822,8.020492714422289e-08,1.303330066093622e-08
1823,5.138997138942614e-08,3.5577674140085946e-08
1824,7.831635073785037e-08,1.8526447931321854e-08
1825,8.893497760453783e-08,9.68598712347557e-09
1826,9.688782975914023e-08,1.9377566218281572e-08
1827,6.912954475524202e-08,4.055600300034712e-08
1828,5.503380506866051e-08,1.7427371545863934e-08
1829,1.0802201960702362e-07,1.5431716349212365e-08
1830,5.9489963177838945e-08,2.922314124020886e-08
1831,4.98918610869481e-08,1.4032085715598441e-08
1832,3.247192659205922e-08,2.705993829010822e-08
1833,7.529358581059853e-08,3.938433579264711e-08
1834,6.254135831440522e-08,2.5203233278148218e-08
1835,6.42862474364847e-08,1.2100940693926532e-08
1836,6.250297301946262e-08,1.2097349788575684e-08
1837,5.357575982856133e-08,1.3219993100221927e-08
1838,3.282324279041404e-08,1.3886756633496589e-08
1839,8.180026123127959e-08,1.188550780018005e-08
1840,4.0766007902703905e-08,7.0066574764382494e-09
1841,7.961480097407048e-08,1.2841097074556274e-08
1842,4.695785715824741e-08,2.4820581145945653e-08
1843,4.312045037702106e-08,2.008349847537616e-08
1844,6.037417510373899e-08,1.4270259640625227e-08
1845,4.854798324460674e-08,1.7298706023183286e-08
1846,4.9763260845381296e-08,1.1123552745573306e-08
1847,4.6381722462740527e-08,1.7258315665458213e-08
1848,4.746680914990975e-08,1.689496542667257e-08
1849,6.53594354194098e-08,1.5920887719289567e-08
1850,3.190828223864628e-08,1.6293590476834652e-08
1851,2.8377530103540494e-08,1.7413483988093503e-08
1852,2.7995344931142085e-08,9.114764054629632e-09
1853,4.538668063602813e-08,4.777545470346922e-09
1854,2.909572138776184e-08,2.4419623656513068e-08
1855,4.351688431825096e-08,7.960405667972736e-09
1856,4.141751341890654e-08,2.019103817474388e-08
1857,4.6862487224075267e-08,1.6597130780837688e-08
1858,3.1319527193929275e-08,1.0276719919488642e-08
1859,6.925355844344949e-08,8.656694916453489e-09
1860,4.119465399354816e-08,2.288591893773173e-08
1861,5.8477948927659895e-08,1.9335450573976232e-08
1862,5.4215835432191994e-08,2.936691068100572e-08
1863,4.345320192555846e-08,3.446288260322561e-08
1864,4.8426753718189275e-08,3.1165733105353866e-08
1865,2.7299696503391147e-08,2.9653119293371333e-08
1866,4.233083156224282e-08,9.244664256335966e-09
1867,3.396968040192405e-08,2.1837651686951176e-08
