year,dont_PRON en_PRON,dont_PRON cent_DET
1800,1.320549074534938e-07,1.5720822865716855e-08
1801,1.7144514652400744e-07,7.143547975374531e-09
1802,1.1189200677108602e-07,3.1329761895904085e-08
1803,2.5549443827266316e-07,0.0
1804,2.644880374713665e-07,4.943701892301533e-09
1805,2.075300669091007e-07,1.1371510622026904e-08
1806,1.7866348844819413e-07,1.729001475325731e-08
1807,3.0177724719138155e-07,0.0
1808,3.8523258583111897e-07,4.5321479902327155e-09
1809,1.8298146642337088e-07,1.129515236897305e-08
1810,1.6848911998934568e-07,0.0
1811,2.0808737133393151e-07,3.259199843341776e-08
1812,1.466964532070847e-07,2.6672082320544632e-09
1813,2.3581081620704936e-07,3.163315831500313e-08
1814,1.7306724942045548e-07,0.0
1815,1.348611817775236e-07,0.0
1816,1.529618547380096e-07,0.0
1817,1.8526793166273592e-07,1.8682481339737933e-08
1818,1.6689648174583738e-07,7.152706427149269e-09
1819,1.3559875411406352e-07,1.6561680027393777e-08
1820,2.776756451439155e-07,7.119888678630559e-09
1821,1.57783817011925e-07,9.861488403650753e-09
1822,1.7043547018147365e-07,1.303330066093622e-08
1823,3.2019906370805984e-07,3.755421085216426e-08
1824,1.4821158433875325e-07,5.894778887238772e-09
1825,1.5673687969730565e-07,1.4088708866211164e-08
1826,3.021138573755522e-07,6.165588817275136e-09
1827,2.3596219145272102e-07,1.935627302884768e-08
1828,1.6601865127086057e-07,2.017906314266682e-08
1829,1.5860375263132553e-07,1.971830432268007e-08
1830,2.0038724968252097e-07,6.262101281961918e-09
1831,1.2161141027533517e-07,2.0268568601267134e-08
1832,1.0823975160612065e-07,1.0823975493678972e-08
1833,1.2626154755057684e-07,2.3167257445777523e-08
1834,1.7082191661188517e-07,8.401078055442213e-09
1835,3.0479245793912924e-07,1.5126175867408165e-08
1836,2.1035947339598238e-07,1.0081125434435734e-08
1837,2.2821882650347902e-07,8.349468672008697e-09
1838,3.395943120043654e-07,4.418513332993257e-09
1839,1.9785875293720778e-07,1.8177836125232716e-08
1840,2.254869799211967e-07,5.095750932326837e-09
1841,2.0545754741974065e-07,2.3756030032018316e-08
1842,1.797815030180061e-07,1.542900962547833e-08
1843,1.2640789143203435e-07,8.269675666472409e-09
1844,1.6794997675928514e-07,6.037417232818143e-09
1845,1.2443908287140815e-07,1.674068439427856e-09
1846,1.6860963203413348e-07,1.0538102612756006e-08
1847,1.79594342064604e-07,9.168480197274675e-09
1848,2.2365716539907154e-07,5.631655031201888e-09
1849,1.8518507260978367e-07,3.3517659758786067e-09
1850,1.7040379862720556e-07,1.3577992064028876e-09
1851,1.1866967430940178e-07,6.449438760824933e-09
1852,1.4518515700778778e-07,4.557381805270211e-09
1853,1.7199163404590934e-07,1.1346670270029335e-08
