year,descendant_VERB en_ADP,descendant_VERB sans_ADP
1800,1.2576657315577222e-07,3.144164484325529e-09
1801,2.333558910549982e-07,2.8574191901498125e-08
1802,1.432217686669901e-07,4.475680270843441e-09
1803,1.618781624301846e-07,3.900678446910888e-09
1804,1.4336735887354735e-07,2.2246657849223084e-08
1805,3.01345039588341e-07,2.842877711017877e-09
1806,1.4120178093435243e-07,2.881669125542885e-09
1807,3.701041606518629e-08,5.693910232196231e-09
1808,9.290903335568146e-08,4.5321479902327155e-09
1809,7.228897658251299e-08,4.518061036407062e-09
1810,1.0530570371258818e-07,3.2761775514700275e-08
1811,1.8803075896300925e-07,3.008491944456182e-08
1812,2.2937990706850542e-07,1.0668832928217853e-08
1813,1.7542024011163448e-07,1.4378708002027452e-08
1814,2.2026740165159708e-07,1.2586708564299443e-08
1815,1.2676950689183286e-07,5.394447111228828e-09
1816,9.270415546325239e-08,4.4034472068688046e-08
1817,1.8526793610362802e-07,3.42512151974006e-08
1818,2.1219695156560192e-07,2.5034472272977837e-08
1819,2.5877625375869684e-07,2.794783426907088e-08
1820,1.8155715508783032e-07,1.3053129244156025e-08
1821,2.337172730904058e-07,1.3806083387635226e-08
1822,2.506403831148418e-07,1.604098542884458e-08
1823,2.1643083736311297e-07,1.087095569118901e-08
1824,2.1052781473684945e-07,8.421112696055388e-09
1825,2.2806098054495294e-07,7.044354433105582e-09
1826,1.7527888984680828e-07,9.688783109140786e-09
1827,1.1890282536342056e-07,1.566936447261469e-08
1828,1.4033620243658618e-07,2.2930752408001354e-08
1829,1.860379228446618e-07,1.7146351893870815e-08
1830,2.108240793052829e-07,2.609208960002718e-08
1831,1.980083226271745e-07,5.456922025359745e-08
1832,1.6235962618793565e-07,3.5177919244233635e-08
1833,1.7143770492111798e-07,3.359252431778259e-08
1834,1.390845154602971e-07,4.293884137140935e-08
1835,2.0949752865817572e-07,3.100866052818674e-08
1836,2.1842437969432638e-07,3.8308275662757296e-08
1837,1.649020163752013e-07,4.244313345225237e-08
1838,2.0009553569622085e-07,1.3255539776935166e-08
1839,1.7618517156314795e-07,2.7266752411492234e-08
1840,2.01919128528516e-07,1.7198159341091923e-08
1841,2.1765659985462094e-07,2.0545755319290038e-08
1842,1.9185638677754469e-07,3.018719141323345e-08
1843,2.498623388191845e-07,2.126487963494128e-08
1844,1.6246141854026064e-07,2.195424464446205e-08
1845,1.4843406470621545e-07,3.0691253982695343e-08
1846,1.891003960086124e-07,2.0490753982471688e-08
1847,1.5208890769002892e-07,2.6426796750911308e-08
1848,2.212435938897528e-07,1.287235473768078e-08
1849,1.9356448088814204e-07,3.3517659758786067e-09
