year,donnant_VERB en_ADP,donnant_VERB sans_ADP
1800,4.96778000069753e-07,1.5720821977538435e-08
1801,3.119349116786907e-07,8.810375362600098e-08
1802,4.5875722776145267e-07,3.8043282302169246e-08
1803,2.457427399349399e-07,2.3404069793286908e-08
1804,3.58418390078441e-07,2.7190360185613827e-08
1805,3.8663137047478813e-07,3.980028751016107e-08
1806,3.861436539409624e-07,2.305335300434308e-08
1807,2.932363827312656e-07,1.4234775136401367e-08
1808,3.104521510977065e-07,7.931258849680489e-08
1809,4.902096293335489e-07,1.3554183553310395e-08
1810,2.5975407424994046e-07,8.89248141788812e-08
1811,4.613021360455605e-07,4.011322829455821e-08
1812,3.8141078562148323e-07,2.1337665856435706e-08
1813,2.933256553205865e-07,3.4508900625951355e-08
1814,2.4858749725353846e-07,1.2586708564299443e-08
1815,1.6183341244868643e-07,1.6183340889597275e-08
1816,2.75794860726819e-07,1.1588019432906549e-08
1817,2.319741412293297e-07,2.9580593974287694e-08
1818,3.0875850143274874e-07,5.0068944545955674e-08
1819,3.239878765270987e-07,6.417651121637391e-08
1820,2.7055577334067493e-07,6.40789963313182e-08
1821,2.6034328470814216e-07,2.859831660373402e-08
1822,3.1480433904107485e-07,6.416394171537831e-08
1823,3.281052158854436e-07,2.569498569471307e-08
1824,3.680026168240147e-07,2.7789671008804362e-08
1825,2.9057960659883975e-07,4.138558362676292e-08
1826,3.170874265379098e-07,4.580151724553616e-08
1827,3.7975163991177396e-07,4.885154680778214e-08
1828,3.769815748455585e-07,5.595103758082587e-08
1829,3.652172892998351e-07,3.8579290873030914e-08
1830,4.2373554265395796e-07,3.5485243188304594e-08
1831,2.2763160245631298e-07,1.4032085715598441e-08
1832,3.314842444979149e-07,1.2176972319366541e-08
1833,2.9306579563126434e-07,3.1275796175123105e-08
1834,3.173740594775154e-07,2.6136685704614138e-08
1835,3.0706138431924046e-07,4.840376277570613e-08
1836,2.701741550481529e-07,3.36037508930076e-08
