year,tout_DET avant_NOUN,tout_DET savant_ADJ
1800,6.288328968651058e-09,0.0
1801,9.52473055981784e-09,0.0
1802,1.7902721083373763e-08,0.0
1803,7.801356893821776e-09,1.950339223455444e-09
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.5935023018064385e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,2.2563690471599784e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.0858434979231788e-08,0.0
1817,7.784367039853635e-09,0.0
1818,4.768470951432846e-09,0.0
1819,0.0,0.0
1820,1.4239777357261119e-08,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,3.95307486744656e-09,0.0
1824,8.421112696055388e-10,0.0
1825,6.163809906922779e-09,8.805443041381977e-10
1826,1.5854372037438225e-08,1.7615968683770689e-09
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,0.0
1829,4.286587973467704e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,8.117981842303834e-09,0.0
1833,3.475088550253247e-09,0.0
1834,1.7735608537350345e-08,0.0
1835,1.739510224751939e-08,7.563087933704082e-10
1836,1.5457725766054864e-08,0.0
1837,3.4789454650407947e-09,0.0
1838,7.574594507175902e-09,0.0
1839,8.38977065598101e-09,0.0
1840,5.732719632334238e-09,0.0
1841,1.926164472365599e-08,5.778493683550323e-09
1842,1.0062397581833693e-08,6.708265054555795e-10
1843,8.860366718099755e-09,4.7255288571079745e-09
1844,3.2931368743049916e-09,2.195424508855126e-09
1845,1.3950569588416784e-08,1.1160455892778032e-09
1846,1.7563503984519002e-09,5.269050973311096e-09
1847,2.6966118227278457e-09,2.6966118227278457e-09
1848,1.6090443422100975e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,1.4935791270431764e-08,0.0
1851,5.159551008659946e-09,0.0
1852,7.161599979710331e-09,0.0
1853,4.180352064508952e-09,0.0
1854,5.195664620760709e-09,0.0
1855,1.6982198758341838e-08,0.0
1856,4.659470143053568e-09,0.0
1857,7.810414537345878e-09,0.0
1858,9.787352261980686e-09,0.0
1859,1.2730433596175317e-08,0.0
1860,5.492620580582752e-09,0.0
1861,6.6023493339173456e-09,0.0
1862,9.487771512883825e-09,0.0
1863,2.097740825490746e-08,0.0
1864,8.151037178549814e-09,0.0
1865,1.2708479601997169e-08,0.0
1866,6.3252967308358166e-09,0.0
1867,1.358787216076962e-08,0.0
1868,7.903798393549266e-09,2.4699371437009177e-09
1869,8.30198221279943e-09,0.0
1870,8.027668307875047e-09,0.0
1871,0.0,0.0
1872,7.861540751719076e-09,1.2094678591978436e-09
1873,1.7958012854535355e-09,0.0
1874,7.169530746864439e-09,0.0
1875,7.437985338754061e-09,0.0
1876,6.650616279912924e-09,3.02300739996042e-09
1877,4.947852683123699e-09,3.710889595609501e-09
1878,1.6909448730118015e-08,3.0195443923020093e-09
1879,9.163987790827832e-09,0.0
1880,2.5671385017744797e-09,0.0
1881,2.7890030285249168e-09,6.972507571312292e-10
1882,5.324308105514319e-09,0.0
1883,3.791603475633565e-09,2.5277355764075082e-09
1884,1.1883054540362536e-08,0.0
