year,voyant_VERB en_ADP,voyant_VERB sans_ADP
1800,5.376521432509662e-07,2.106590231143457e-07
1801,5.429096194831118e-07,3.881327472754492e-07
1802,4.3414098627181374e-07,3.513409012612101e-07
1803,4.778331179622342e-07,3.4130935833154297e-07
1804,5.660538704432838e-07,2.7931915802525964e-07
1805,4.434889344651083e-07,4.292745283684951e-07
1806,3.602086451337527e-07,2.881669161070022e-07
1807,3.957267722398683e-07,3.6156330907033407e-07
1808,4.3282012063272646e-07,4.2148977286160516e-07
1809,4.5632417844387874e-07,5.624985988106346e-07
1810,4.493043346265324e-07,4.961068942321845e-07
1811,5.891630188159525e-07,5.665993398906721e-07
1812,4.294205169230736e-07,2.0270782385978237e-07
1813,4.68745876336385e-07,2.875741529351217e-07
1814,4.4368147200657404e-07,4.279480947388947e-07
1815,4.531335662250058e-07,1.8880564311984926e-07
1816,5.608601458817475e-07,1.9467873357825738e-07
1817,5.978393744499044e-07,3.238296812924091e-07
1818,6.747386480654427e-07,6.449357101701025e-07
1819,6.748884544549583e-07,5.330791031932236e-07
1820,8.401468782892607e-07,4.7465925767653516e-07
1821,7.751130066679934e-07,5.118112391677698e-07
1822,8.271133111747986e-07,5.002782046403809e-07
1823,1.1295910589126379e-06,4.7535723446401335e-07
1824,9.726385172825758e-07,4.1516085502735223e-07
1825,7.035548765799149e-07,3.8920057932045893e-07
1826,9.477390907619565e-07,5.549030408502631e-07
1827,6.074183138693456e-07,3.290566548130869e-07
1828,6.090408053438523e-07,2.935136365067592e-07
1829,4.852417525569308e-07,3.832209694576427e-07
1830,5.625454393420881e-07,2.37959862703363e-07
1831,4.271990521331759e-07,2.1827689122844163e-07
1832,4.6407795828429244e-07,2.557164293648384e-07
1833,5.316885580697317e-07,2.791654480915895e-07
1834,5.152661088914101e-07,2.8937046181454207e-07
1835,6.776526930707405e-07,2.805905552349941e-07
1836,9.328401215924487e-07,3.4611862637090596e-07
1837,7.444943079804034e-07,3.360661366968998e-07
1838,8.767592820646541e-07,4.05872010444952e-07
1839,7.061390157048208e-07,2.9713769444938976e-07
1840,6.255034348257027e-07,2.433221126807439e-07
1841,4.99518693075629e-07,2.2086686879418949e-07
1842,6.755222692333973e-07,2.7638051980360956e-07
1843,5.788772590165081e-07,2.8471312640832025e-07
1844,6.108768451085211e-07,2.0582104598432238e-07
1845,5.278895525151484e-07,2.3939178372955894e-07
1846,4.5430931283618747e-07,2.060784503044033e-07
1847,4.7136775727096847e-07,2.0925707300278873e-07
1848,5.148941752963765e-07,2.1400290450834802e-07
1849,3.745598560200847e-07,1.3742240101421999e-07
1850,5.268260885316067e-07,2.3014697081435997e-07
1851,5.462674721457006e-07,2.3024497086687745e-07
1852,4.524829151364429e-07,2.330775226155879e-07
1853,4.640191155758089e-07,2.532099074858962e-07
1854,6.484189132294205e-07,3.0186810739962766e-07
1855,5.853551634515952e-07,2.9665779166521133e-07
1856,4.763014000985777e-07,1.7809531216439467e-07
1857,7.663969050497599e-07,3.085113662315564e-07
1858,6.802209462364317e-07,2.7845016958849556e-07
1859,5.693049889288204e-07,2.418782385493756e-07
1860,5.433117369335605e-07,1.9361488634572765e-07
1861,5.753475713632383e-07,1.9241131377079057e-07
1862,5.96826001952877e-07,2.715309723733128e-07
1863,5.569002219374397e-07,2.0677730905305225e-07
1864,5.792031307905177e-07,1.635002233602023e-07
1865,5.558783389147948e-07,1.9580472909730418e-07
1866,5.561395752806675e-07,2.1019448004366836e-07
1867,4.663551855799142e-07,1.4024625549780012e-07
1868,4.989272888167307e-07,1.7190762324759135e-07
1869,4.947005010080829e-07,2.197583581775575e-07
1870,4.805132860496997e-07,1.6972785044089278e-07
1871,4.652075684674628e-07,9.559059810371195e-08
1872,4.940676063824867e-07,2.2556575540733093e-07
1873,5.052187823650911e-07,1.6760811849536594e-07
1874,4.445109116346657e-07,1.469753896365944e-07
1875,4.4227404316643515e-07,1.716458134515264e-07
1876,4.0326919670263806e-07,1.6384700596283608e-07
1877,5.349865848103263e-07,1.942032287205464e-07
1878,4.4387302366999393e-07,1.5339285125426372e-07
1879,5.082958596247522e-07,1.8022509429282962e-07
1880,3.587576085095634e-07,1.6429686500174512e-07
1881,3.576896272505792e-07,1.324776468525357e-07
1882,4.306034142587123e-07,1.6705016037121823e-07
1883,4.1960410968044926e-07,1.5798346719719802e-07
1884,3.762967386577998e-07,1.1354918605377406e-07
1885,3.5966647349283676e-07,1.4438223261414862e-07
1886,3.542951585444598e-07,1.4584828178509923e-07
1887,3.362396157058356e-07,1.233966742120174e-07
1888,3.76632513621189e-07,1.2047168151951837e-07
1889,3.345583037273059e-07,1.2843530217132582e-07
1890,3.408281017414083e-07,1.1339088734629854e-07
1891,3.55681491370774e-07,9.115134957937698e-08
1892,3.6043945783603704e-07,1.0656471172154625e-07
1893,3.448713252751645e-07,1.0777228731662092e-07
1894,3.6359880617453655e-07,1.2603078403117252e-07
1895,2.816711694997309e-07,1.1916856457183655e-07
1896,3.6148788495893314e-07,1.2442730934481006e-07
1897,2.6161942656699466e-07,1.0196748645441289e-07
