year,sachant_VERB en_ADP,sachant_VERB sans_ADP
1800,1.980823611802407e-07,0.0
1801,7.143547975374531e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,6.046051481689574e-08,0.0
1804,1.062895922387952e-07,1.730295728918918e-08
1805,4.264316633140197e-08,1.1371510844071508e-08
1806,6.339671898558663e-08,0.0
1807,2.2775640928784924e-08,1.1387820464392462e-08
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,5.6475762733043666e-08,0.0
1810,9.360507036149102e-09,0.0
1811,9.777599530025327e-08,1.0028307073639553e-08
1812,2.400487453257938e-08,0.0
1813,1.150296680130225e-08,8.627225156487839e-09
1814,3.4613449884091096e-08,6.293354282149721e-09
1815,2.966945977789237e-08,1.3486118000116676e-08
1816,3.7081662185300956e-08,1.8540831092650478e-08
1817,5.449056994510926e-08,0.0
1818,2.622659001083605e-08,0.0
1819,5.072014630513877e-08,9.315945348475907e-09
1820,7.119889033901927e-08,1.1866481131050932e-09
1821,4.6348993976153e-08,0.0
1822,5.3135764233047666e-08,9.023054303725075e-09
1823,8.004976459474733e-08,9.882686891060644e-10
1824,1.2379035929654947e-07,5.894778887238772e-09
1825,4.2266127264767306e-08,8.805443041381977e-10
1826,4.668231667892542e-08,4.403992281964975e-09
1827,4.8851547418404806e-08,0.0
1828,4.1275356466030644e-08,1.8344602503717056e-09
1829,5.143905729143583e-08,3.0006116702452346e-08
1830,4.4878394334091354e-08,7.305785310052215e-09
1831,5.6128342862393765e-08,4.677361609140007e-09
1832,3.92369123858316e-08,3.111892965534935e-08
1833,4.51761508202253e-08,1.3900354645102198e-08
1834,4.0138484536100805e-08,9.334531370086552e-09
1835,7.865611451052246e-08,6.806779140333674e-09
1836,6.586335432601231e-08,1.4785650037651976e-08
1837,6.679574937606958e-08,9.74104708006962e-09
1838,6.94337813911261e-08,3.787297142565649e-09
1839,9.438491321844822e-08,2.7266752411492234e-08
1840,5.350538501147639e-08,2.0383003729307347e-08
1841,4.687000343395198e-08,3.852329122366882e-09
1842,5.2995293486901573e-08,1.609983613093391e-08
1843,4.075768633704513e-08,1.063243981747064e-08
