year,entrant_VERB en_ADP
1800,7.734644471568686e-07
1801,8.048396935578239e-07
1802,9.466064057050971e-07
1803,8.835036720000744e-07
1804,6.599842148347079e-07
1805,7.192480779849575e-07
1806,7.521156577539045e-07
1807,7.60137016442286e-07
1808,7.047490342415585e-07
1809,6.867452952974418e-07
1810,5.45249545069737e-07
1811,6.042055225030651e-07
1812,7.734904059475411e-07
1813,4.3711273178814736e-07
1814,1.1862973070542182e-06
1815,8.064698169274465e-07
1816,7.671268686948451e-07
1817,7.550836063074939e-07
1818,9.644232858985191e-07
1819,7.74258528402072e-07
1820,8.318403388329898e-07
1821,1.2139491527562996e-06
1822,8.03051818820677e-07
1823,1.4033415425274143e-06
1824,9.465330776947667e-07
1825,9.140049925804306e-07
1826,1.0032294248674134e-06
1827,8.56284656958195e-07
1828,8.172520153948426e-07
1829,8.830371491796996e-07
1830,7.598016225074389e-07
1831,7.686464726930353e-07
1832,7.820322124318935e-07
1833,6.278326667441547e-07
1834,8.755790124048701e-07
1835,9.068142574619742e-07
1836,1.1297581217206698e-06
1837,1.0575994195960448e-06
1838,9.632359123656897e-07
1839,9.878954871922474e-07
1840,9.943084249286471e-07
1841,1.072873654806017e-06
1842,8.479247259884914e-07
1843,8.990318507429151e-07
1844,9.989181126712765e-07
1845,1.011695331953888e-06
1846,9.092040471614382e-07
1847,9.842633534873357e-07
1848,7.819955234467102e-07
1849,1.0415612532455043e-06
1850,9.368814559707062e-07
1851,9.480675036144248e-07
1852,9.375185303639455e-07
1853,1.0325469741445659e-06
1854,8.396194024484771e-07
1855,9.97173525973949e-07
1856,1.171597979521266e-06
1857,1.0714912992426662e-06
1858,9.165854990555999e-07
1859,9.46635048570954e-07
1860,9.245911343214175e-07
1861,9.823351918569756e-07
1862,7.594734801052994e-07
1863,8.695634612365666e-07
1864,9.60384001658099e-07
1865,9.093623374312187e-07
1866,9.507407590092498e-07
1867,8.317718638295446e-07
1868,8.382966356634824e-07
1869,9.224967634224868e-07
1870,9.696276501713896e-07
1871,9.898936710328599e-07
1872,8.859351856571607e-07
1873,8.506112134654131e-07
1874,1.0724423518126969e-06
1875,9.223101784527898e-07
1876,8.881596000875902e-07
1877,1.0087434478833757e-06
1878,1.0030925770010413e-06
1879,9.652733892195897e-07
1880,9.921990740124897e-07
1881,8.876002350888257e-07
1882,8.625379130933197e-07
1883,1.0174136253482402e-06
1884,1.0371265677378005e-06
1885,9.72001859000926e-07
1886,1.0499785334516787e-06
1887,1.0126362628426477e-06
1888,1.0664913627778105e-06
1889,9.742287474523437e-07
1890,9.89056932354515e-07
1891,1.026249385027711e-06
1892,1.1070192396100964e-06
1893,1.0518575681572884e-06
1894,1.0057256396578396e-06
1895,9.527466922065742e-07
1896,9.240644542884979e-07
1897,9.29943492211649e-07
1898,1.038873987724287e-06
1899,1.12707322941219e-06
1900,1.0615703294192258e-06
1901,1.0333578348564743e-06
1902,1.699449183156787e-06
1903,1.0244217607535688e-06
1904,9.765693809171694e-07
1905,1.0811789721287823e-06
1906,1.129662951626642e-06
1907,9.010261319275514e-07
1908,9.375841454328793e-07
1909,1.0567389132631888e-06
1910,1.0533320775607535e-06
1911,1.0502418508195888e-06
1912,9.569706547196688e-07
1913,1.048931421276933e-06
1914,1.18666302562076e-06
1915,1.093254719641834e-06
1916,9.559091771471628e-07
1917,1.1558610957251858e-06
1918,1.0705302448954512e-06
1919,1.1261198117340498e-06
1920,1.053297395969821e-06
1921,1.1222812057454234e-06
1922,1.1037391356438775e-06
1923,1.2218956655374313e-06
1924,1.0313299259046005e-06
1925,1.128413019912955e-06
1926,1.167000644564098e-06
1927,1.1204971013256682e-06
1928,1.1357484854812583e-06
1929,1.2789186207839975e-06
1930,1.1238855615047783e-06
1931,1.2237947375481895e-06
1932,1.367750125158551e-06
1933,1.3856559704095162e-06
1934,1.3347480329883865e-06
1935,1.4158480539094853e-06
1936,1.1906469303823997e-06
1937,1.2578527091022806e-06
1938,1.2005789038482817e-06
1939,1.2388181147571231e-06
1940,1.5062550851041578e-06
1941,1.339982137693596e-06
1942,1.0498372660094901e-06
