year,pouvaient_VERB avoir_VERB,pouvaient_VERB savoir_VERB
1800,1.0501508995730546e-06,3.144164484325529e-09
1801,1.1596358717724797e-06,9.524730337773235e-09
1802,8.190494895643496e-07,1.5664880947952042e-08
1803,1.1389980727471993e-06,1.950339223455444e-09
1804,1.5449068087036721e-06,3.460591457837836e-08
1805,1.2309660633036401e-06,3.1271653710973624e-08
1806,1.005702529255359e-06,2.0171682990621775e-08
1807,2.0782772480743006e-06,8.540865792383556e-09
1808,1.2191478617751272e-06,9.064295980465431e-09
1809,1.601652684257715e-06,1.3554183553310395e-08
1810,1.7129727893916424e-06,2.8081521108447305e-08
1811,1.6045291886257473e-06,2.5070768572277302e-08
1812,1.72835098055657e-06,8.00162425207418e-09
1813,1.918119778565597e-06,2.8757416004054903e-08
1814,1.6520054941793205e-06,3.776012391654149e-08
1815,1.8341120266995858e-06,1.6183340889597275e-08
1816,1.7497909539088141e-06,1.1588019432906549e-08
1817,1.7421413076590397e-06,4.981994905506326e-08
1818,1.7798317912820494e-06,7.867976847819591e-08
1819,2.311389380338369e-06,4.0369094733705424e-08
1820,1.9140634321956895e-06,9.493184904840746e-09
1821,2.0245636278559687e-06,4.141825016290568e-08
1822,2.1434766495076474e-06,4.8122956286533736e-08
1823,2.2453464225691278e-06,3.656594316225892e-08
1824,2.0126458366576117e-06,6.989523626543814e-08
1825,2.1467669739649864e-06,6.956300069305144e-08
1826,2.0531410882540513e-06,4.932471142637951e-08
1827,2.5992710561695276e-06,4.055600300034712e-08
1828,2.4792730073386338e-06,1.834460228167245e-08
1829,2.671401716725086e-06,6.258418494553553e-08
1830,2.3378511286864523e-06,5.635891398014792e-08
1831,2.2529293346451595e-06,6.080570358335535e-08
1832,2.3650386538065504e-06,4.8707889277466165e-08
1833,1.9020318404727732e-06,2.548398292390175e-08
1834,2.0563970792863984e-06,5.414027981487379e-08
1835,2.253800175822107e-06,6.126101226300307e-08
1836,2.2044059733161703e-06,6.38471249203576e-08
1837,1.974649421754293e-06,6.888311787633938e-08
1838,2.252810645586578e-06,7.006499913586595e-08
1839,2.100239044011687e-06,5.733009800223954e-08
1840,2.362517534493236e-06,9.044958204640352e-08
1841,2.410916067674407e-06,3.9165346521485844e-08
1842,2.1399364413809963e-06,5.702025163145663e-08
1843,2.2824303869128926e-06,5.9069112268161916e-08
1844,2.3293453068617964e-06,6.037417676907353e-08
1845,2.5490480766166e-06,3.627148004170522e-08
1846,2.465915940774721e-06,4.2152407786488766e-08
1847,2.329333256056998e-06,3.7752563741833e-08
1848,2.1907139853283297e-06,3.539897619475596e-08
