year,voulut_VERB avoir_VERB,voulut_VERB savoir_VERB
1800,5.785262828794657e-07,5.565171363741683e-07
1801,5.976768306936719e-07,6.500628728645097e-07
1802,5.975033445793088e-07,5.728870746679604e-07
1803,7.840363878131029e-07,4.3492565282576834e-07
1804,7.786330229464511e-07,7.41555311378761e-07
1805,6.993479360062338e-07,7.448339829352335e-07
1806,6.397305583050183e-07,4.2648701992220595e-07
1807,5.181458391234628e-07,4.241963154072437e-07
1808,4.758755380862567e-07,4.44150515477304e-07
1809,6.596368962163979e-07,4.902096293335489e-07
1810,5.312087978381896e-07,1.0039143489848357e-06
1811,7.420946985803312e-07,5.665993398906721e-07
1812,8.081640885393426e-07,4.7476305553573184e-07
1813,7.131839083740488e-07,5.808998366774176e-07
1814,9.40856466513651e-07,4.059213551954599e-07
1815,5.394447271100944e-07,2.454473531088297e-07
1816,4.078982840383105e-07,5.400016789280926e-07
1817,7.644248398719355e-07,3.985595924405061e-07
1818,7.665316843485925e-07,7.474578183064295e-07
1819,8.788041441221139e-07,5.744832947129908e-07
1820,8.543866556465218e-07,7.238553507704637e-07
1821,8.559771913496661e-07,5.226588655204978e-07
1822,7.348776307480875e-07,5.724626817027456e-07
1823,1.3064911854598904e-06,6.186562018228869e-07
1824,1.0787445035020937e-06,6.181096523505403e-07
1825,8.831859190649993e-07,6.753774641765631e-07
1826,9.63593492997461e-07,5.619493776976014e-07
1827,7.548946427959891e-07,5.051065841144009e-07
1828,7.814800824235135e-07,6.328887707240938e-07
1829,8.178810162462469e-07,7.921614724182291e-07
1830,7.848500445106765e-07,5.990743829897838e-07
1831,5.020368121222418e-07,3.648342215001321e-07
1832,5.168448069525766e-07,5.344338092072576e-07
1833,7.239767683131504e-07,3.8920993006286153e-07
1834,6.142121264929301e-07,4.181869712738262e-07
1835,8.727803333385964e-07,4.6059204805715126e-07
1836,8.300126523863582e-07,3.7300162603060016e-07
1837,6.776985514989065e-07,4.320850166550372e-07
1838,9.853284836935927e-07,4.3112066805406357e-07
1839,7.452912313965498e-07,4.306748735416477e-07
1840,6.739130640198709e-07,4.891920752925216e-07
1841,6.343502150230051e-07,3.4349935162936163e-07
1842,7.137593911465956e-07,4.434163258792978e-07
1843,7.170989988480869e-07,3.6504710010376584e-07
1844,6.805815928601078e-07,3.990184040958411e-07
1845,6.138250796539069e-07,4.04566520728622e-07
1846,6.966856744838879e-07,4.0864418338060204e-07
1847,6.692990268675203e-07,4.438623193436797e-07
1848,6.774076837245957e-07,3.0571843012694444e-07
1849,5.93262598158617e-07,2.9076571195219003e-07
1850,6.63284936308628e-07,3.7339478353715094e-07
1851,7.178225587267661e-07,3.656831779608183e-07
1852,5.436305627881666e-07,3.80866907789823e-07
1853,6.39593906726077e-07,4.0011943269746553e-07
1854,8.42217218632868e-07,3.8655744560855965e-07
1855,7.917950028968335e-07,3.661786536213185e-07
1856,6.797649234613345e-07,4.07444787242639e-07
1857,7.30273768567713e-07,4.871745886703138e-07
1858,6.763060014236544e-07,4.0470700923833647e-07
1859,7.261439236572187e-07,4.420006405325694e-07
1860,6.467560638157011e-07,4.096579573342751e-07
1861,6.800419782848621e-07,4.3245387360002496e-07
1862,7.070648280205205e-07,4.048115727073309e-07
1863,5.948593297944171e-07,4.070616057560983e-07
1864,6.913997481206025e-07,4.4207391169948096e-07
1865,5.728229552914854e-07,3.86431935339715e-07
1866,5.741423478866636e-07,3.4302570384170394e-07
1867,6.167923629618599e-07,3.5571108014664787e-07
1868,6.752807735210808e-07,3.408513009617309e-07
1869,5.508609319804236e-07,3.828679098205612e-07
1870,6.14116629549244e-07,3.492035602903343e-07
1871,4.768908752339485e-07,2.432249459616287e-07
1872,4.81972961097199e-07,3.120427152225602e-07
1873,5.764522370554914e-07,2.867296018393972e-07
1874,5.544437158278015e-07,3.148618930026714e-07
1875,5.137931111676153e-07,2.631902589200763e-07
1876,5.773944167231093e-07,3.222525890578254e-07
1877,5.015886017645244e-07,3.5933780395680515e-07
1878,5.628430699289311e-07,2.3794009962330165e-07
1879,5.706110073333548e-07,3.5372994489080156e-07
1880,4.511745999025152e-07,2.708331123812968e-07
1881,4.4554323608281265e-07,2.844783182354149e-07
1882,5.424138862508698e-07,2.761984774224402e-07
1883,4.733184937322221e-07,2.9448119676089846e-07
1884,3.6903486488881754e-07,2.851933231795556e-07
1885,4.0800873080115707e-07,3.6288929550210014e-07
1886,4.2334721683801035e-07,2.445862889999262e-07
1887,3.499503691273276e-07,2.3961152351148485e-07
1888,4.6983956281110295e-07,2.3396867732117244e-07
1889,4.147520655806147e-07,2.3619566036359174e-07
1890,4.155481008183415e-07,2.2874809246786754e-07
1891,3.588685899558186e-07,2.1162411201203213e-07
1892,4.40676416246788e-07,2.1626367185945128e-07
1893,3.454871659869241e-07,2.4448914359709306e-07
1894,3.138166562166589e-07,2.5458217578488984e-07
1895,3.3102378438343294e-07,2.262999032609514e-07
1896,3.561805499430193e-07,2.464958015480079e-07
1897,3.006584279319213e-07,1.8179346739088942e-07
1898,3.508179986511095e-07,2.2067584382057248e-07
1899,3.1562473168378347e-07,2.222086550318636e-07
1900,3.5247251162218163e-07,2.0919944176966965e-07
1901,3.347654740082362e-07,1.7660414641795796e-07
1902,2.9068880280647136e-07,1.5221880289573164e-07
1903,3.04032397480114e-07,1.857675755445598e-07
1904,2.977542408189038e-07,1.821997983597612e-07
1905,3.282242744262476e-07,1.847551800437941e-07
