year,profond_ADJ savoir_NOUN
1800,1.2262241000371432e-07
1801,1.1191558257905854e-07
1802,2.1483265300048515e-07
1803,2.925508795215137e-07
1804,1.8538882784469024e-07
1805,4.406460334394069e-07
1806,2.6511355599723174e-07
1807,1.8505208743135881e-07
1808,3.036539055756293e-07
1809,1.8749953767382976e-07
1810,3.5803938658318657e-07
1811,6.16740862824372e-07
1812,6.801381005061558e-07
1813,3.9397659179485345e-07
1814,3.146677158838429e-07
1815,2.265667831125029e-07
1816,4.3339193211977545e-07
1817,3.0826092256575066e-07
1818,2.9564520787062065e-07
1819,3.8195375395844167e-07
1820,2.515693893201387e-07
1821,3.1162304026111087e-07
1822,3.6593496588466223e-07
1823,3.6467113773142046e-07
1824,2.576860538283654e-07
1825,2.7825200277220574e-07
1826,2.4486195115969167e-07
1827,2.580836451215873e-07
1828,2.898447064580978e-07
1829,3.3092459261752083e-07
1830,3.3710981028889364e-07
1831,2.5413666548956826e-07
1832,1.7994858581005246e-07
1833,3.092828819717397e-07
1834,2.865700992060738e-07
1835,2.6017022491942043e-07
1836,3.138590329854196e-07
1837,2.741409161899355e-07
1838,2.947779478290613e-07
1839,3.160146775371686e-07
1840,2.8026630616295733e-07
1841,3.1203865091811167e-07
1842,3.179717680268368e-07
1843,3.3019631473507616e-07
1844,2.694883676213067e-07
1845,2.3660166448280506e-07
1846,2.359363975301676e-07
1847,3.16042900294633e-07
1848,1.9308532728246064e-07
1849,2.480306875440874e-07
1850,2.1113777393111377e-07
1851,2.321798007187681e-07
1852,2.7344290742803423e-07
1853,2.974022095258988e-07
1854,3.564225892205286e-07
1855,3.078023382840911e-07
1856,3.0907818882042193e-07
1857,3.5000419984498876e-07
1858,2.53981795594882e-07
1859,2.63774580844256e-07
1860,2.0551556190184783e-07
1861,2.494744819614425e-07
1862,2.3086909095582087e-07
1863,1.9578914134399383e-07
1864,2.6371003514213953e-07
1865,2.0757182994657342e-07
1866,1.8927234179955121e-07
1867,2.1255314663903846e-07
1868,1.5807597719685873e-07
1869,1.4992403407632082e-07
1870,2.1674703987173416e-07
1871,1.1895718898813357e-07
1872,1.3908879736845847e-07
1873,1.5384031826215505e-07
1874,1.4339062204271613e-07
1875,1.9453192123819463e-07
1876,1.305939179019333e-07
1877,1.4225076938600978e-07
1878,1.8962738579375582e-07
1879,1.2951770145264163e-07
1880,1.5659544772006484e-07
1881,1.1365187191358928e-07
1882,1.5440492973084474e-07
1883,1.3333804815829353e-07
1884,1.2213139655159466e-07
1885,8.637152149049143e-08
1886,1.2777859126344993e-07
1887,8.422312447464719e-08
1888,9.003672829521747e-08
1889,7.768769449967294e-08
1890,6.88210590737981e-08
1891,7.139126267929896e-08
1892,9.402768341715273e-08
1893,6.83584246985447e-08
1894,6.364554394622246e-08
1895,7.282523739604585e-08
1896,5.6021775662884465e-08
1897,7.866063356232189e-08
1898,8.374365023655628e-08
1899,7.185852268776216e-08
1900,6.69645885409409e-08
1901,5.3651895370876446e-08
1902,6.088752257937813e-08
1903,5.130209146386733e-08
1904,4.568431322127253e-08
1905,5.212366716023098e-08
1906,5.7100447037328195e-08
1907,5.3999855254005524e-08
1908,4.322022562064376e-08
1909,4.950885212906542e-08
1910,7.749018493541371e-08
1911,5.107559175598908e-08
1912,4.428008182344456e-08
1913,4.5075413623862914e-08
1914,4.085013571852869e-08
1915,2.3561524287174507e-08
1916,5.273981784625903e-08
1917,3.180263163926611e-08
1918,3.5607765624945387e-08
1919,4.788081042761405e-08
1920,8.556622077549036e-08
1921,3.634918854800162e-08
1922,2.951174238319254e-08
1923,3.290944050604594e-08
1924,4.512068585427187e-08
1925,5.719052609265418e-08
1926,5.015762383209221e-08
1927,4.0137209111890115e-08
1928,2.742249805010033e-08
1929,2.33948540540041e-08
