year,tombant_VERB en_ADP,tombant_VERB sans_ADP
1800,6.256887559175084e-07,3.458580977167003e-08
1801,6.429192840329279e-07,2.3811825844433088e-09
1802,4.095247447821748e-07,5.147032311469957e-08
1803,6.085058124050136e-07,2.7304748684287006e-08
1804,3.781931923185766e-07,4.943701892301533e-09
1805,3.18402292531772e-07,2.55858996212055e-08
1806,4.063153573596878e-07,3.1698359492793315e-08
1807,3.7864503088513857e-07,2.8469551160981155e-09
1808,4.600130236731559e-07,9.064295980465431e-09
1809,4.0888451735554554e-07,1.355418288717658e-08
1810,5.124877588968957e-07,1.8721014072298203e-08
1811,4.713304235792748e-07,1.504245972228091e-08
1812,4.3475495203892933e-07,5.3344166417446104e-08
1813,4.457399427337805e-07,0.0
1814,3.429878177030332e-07,3.1466772298927026e-08
1815,3.3445573421886365e-07,1.0788894222457657e-08
1816,3.8935746715651476e-07,1.8540831092650478e-08
1817,4.250264424854322e-07,2.6466848268569265e-08
1818,5.722164928556595e-07,2.2650237241350624e-08
1819,3.0949640539290613e-07,1.8631890696951814e-08
1820,3.500611853723967e-07,4.746592452420373e-09
1821,3.747365455719631e-07,1.577838126820552e-08
1822,3.3585813241643336e-07,1.5038423839541792e-08
1823,3.0735155898131694e-07,1.7788837070042973e-08
1824,5.12003680341877e-07,3.3684450784221553e-09
1825,4.913437234854712e-07,1.7610886082763955e-08
1826,5.364062286572491e-07,1.6735169694470642e-08
1827,3.8343856090250483e-07,1.2904182611350734e-08
1828,4.549461465330751e-07,3.210305266065916e-08
1829,4.406612493790263e-07,8.573175946935407e-09
1830,5.312349458108656e-07,1.3567886369969528e-08
1831,4.2252167986589484e-07,4.053713453799901e-08
1832,4.7219592680392e-07,1.8941957335982806e-08
1833,5.166298328029839e-07,2.548398292390175e-08
1834,4.891294043130046e-07,1.6802156110884425e-08
1835,5.51349117472455e-07,1.1344631900556124e-08
1836,6.209973326676277e-07,2.1506400216253496e-08
1837,5.107092051481743e-07,2.2961039292113128e-08
1838,4.3806402705293124e-07,1.5780404538645598e-08
1839,4.327723142072415e-07,1.2584655095793096e-08
1840,4.497000176684196e-07,3.121147429396842e-08
1841,5.181382474184204e-07,2.0545755319290038e-08
1842,4.655536001152427e-07,5.2324466537356784e-08
1843,5.286685129668456e-07,2.5990408047960045e-08
1844,4.088978022842582e-07,2.140538946093784e-08
1845,3.928480509785004e-07,1.674068350610014e-08
1846,4.2445134584845334e-07,1.0538102168666796e-08
1847,3.3707647872915913e-07,2.588747349818732e-08
1848,4.617957247154969e-07,3.861706332486392e-08
1849,4.080774955728117e-07,4.692472543865733e-08
1850,4.976334349038325e-07,2.7155984128057753e-08
1851,3.8954608783114963e-07,3.8696633453128015e-08
1852,4.1602384870387255e-07,2.7344290387532055e-08
1853,4.263959245687232e-07,1.3735442783158192e-08
1854,4.3591625509264986e-07,1.9223959313308114e-08
1855,4.6541838827351967e-07,1.8574279891936385e-08
1856,4.3695476836802527e-07,4.970101485923806e-08
1857,4.822931063408475e-07,3.7587619461376676e-08
1858,5.001337126664396e-07,2.2510910469009104e-08
1859,4.5676796345262005e-07,1.884104072757964e-08
1860,4.897586678431765e-07,2.9293977021893625e-08
1861,4.2302195191190606e-07,2.4994607272788016e-08
