year,observant_VERB en_ADP
1800,6.917161599062638e-08
1801,4.286128785224719e-08
1802,5.370816325012129e-08
1803,9.166594594489652e-08
1804,3.460591457837836e-08
1805,1.7057266266107263e-08
1806,3.7461699520235925e-08
1807,3.131650672116848e-08
1808,3.172503681980743e-08
1809,7.228897835886983e-08
1810,5.8503168531842675e-08
1811,2.0056614147279106e-08
1812,3.200649878465356e-08
1813,1.1215391992891455e-07
1814,5.664018853934749e-08
1815,2.9669459555847766e-08
1816,9.270415546325239e-08
1817,4.203558034987509e-08
1818,6.318224143875284e-08
1819,6.9352037890269e-08
1820,1.6613073583471305e-08
1821,6.015507891810046e-08
1822,1.303330066093622e-08
1823,2.7671523739059012e-08
1824,5.052667617633233e-08
1825,1.6730341556581152e-08
1826,4.315912149888135e-08
1827,3.410390903013649e-08
1828,6.328887991458032e-08
1829,5.3153692114449314e-08
1830,2.5048406460115302e-08
1831,2.8064171209152278e-08
1832,4.600189662529175e-08
1833,4.9809603552830595e-08
1834,3.733812325990016e-08
1835,3.479020449503878e-08
1836,4.301280043250699e-08
1837,3.3397876242347024e-08
1838,3.724175656749651e-08
1839,5.5232652673709026e-08
1840,3.3759348205819606e-08
1841,3.9165345633307425e-08
1842,2.1466448174578545e-08
1843,3.0125246297529884e-08
1844,4.445734536062673e-08
1845,3.571345796871128e-08
1846,6.439951505399222e-08
1847,5.501087940729121e-08
1848,4.585776280929821e-08
1849,2.5976186535103807e-08
1850,3.394498016007219e-08
1851,3.418202609850596e-08
1852,2.018269107395554e-08
1853,1.4332636411040767e-08
1854,5.143707682009335e-08
1855,2.4411910715116392e-08
1856,2.070875682047557e-08
1857,2.782460140071663e-08
1858,2.00640708492017e-08
1859,2.036869339860914e-08
1860,3.249800428761773e-08
1861,2.87673795895671e-08
1862,4.02100790442006e-08
1863,2.996772607843923e-08
1864,4.938569864165743e-08
1865,3.1065172656497e-08
1866,2.6274310116480848e-08
1867,1.8925964795357686e-08
1868,1.679557115608077e-08
1869,2.24641887314192e-08
1870,2.0642576092910758e-08
1871,4.354682658913589e-08
1872,2.9027228620748247e-08
1873,3.172582230259735e-08
1874,4.062734149101743e-08
1875,2.6891177951071654e-08
1876,3.204387866162506e-08
1877,2.040989288687456e-08
1878,2.7779808675632012e-08
1879,6.353698189798251e-08
1880,3.5939940801199555e-08
1881,2.3706525742461793e-08
1882,3.793569547383413e-08
1883,3.033282602871168e-08
1884,2.0465260597291035e-08
1885,3.0294486919046903e-08
1886,1.613365974151293e-08
1887,3.852065610931987e-08
1888,2.7264643875923866e-08
1889,1.50363277384713e-08
1890,3.473824811139892e-08
1891,4.46195412839856e-08
1892,1.817868522380195e-08
1893,2.894455697344256e-08
1894,3.7179082035265765e-08
1895,4.092657901466623e-08
1896,2.0049898130647392e-08
1897,1.3984112534615178e-08
1898,2.319925584970406e-08
1899,2.9296165493519766e-08
1900,4.464305858320472e-08
1901,3.6326803121156104e-08
1902,3.879124155226066e-08
1903,1.9980815890718873e-08
1904,3.708491203013864e-08
1905,3.973784590272089e-08
1906,2.6749759740596346e-08
1907,2.8799922446864912e-08
1908,3.241516921548282e-08
1909,3.1355606777694334e-08
1910,3.63402248293454e-08
1911,3.085816935310959e-08
1912,4.375913675858101e-08
1913,2.333315407554437e-08
1914,3.0135347550697134e-08
1915,2.709575319670421e-08
1916,2.307367097387214e-08
1917,3.289927263949721e-08
1918,2.6418664589300533e-08
1919,1.3811772170413406e-08
1920,2.8017257847068322e-08
1921,2.1960967044876156e-08
1922,2.656056830030451e-08
1923,2.653986985734491e-08
1924,3.3518222752881854e-08
1925,1.3197813508725176e-08
1926,3.232380019202452e-08
1927,3.010290705596219e-08
1928,2.1709478437159646e-08
1929,2.6736975744512392e-08
1930,3.571225137832812e-08
1931,4.448088919417614e-08
1932,2.7398842306070037e-08
1933,2.4088391059606806e-08
1934,1.9170528275935794e-08
1935,4.4282650435434334e-08
1936,4.364897332465034e-08
1937,2.0145788592884628e-08
1938,1.0372171566075394e-08
1939,2.5999886688055085e-08
1940,3.550096039361961e-08
1941,1.7709016475464523e-08
1942,2.4273694165799498e-08
1943,1.1612940831184915e-08
1944,4.819779064746399e-08
1945,3.921307278886843e-08
1946,1.6705325123211878e-08
1947,2.145756705651536e-08
1948,4.2400363886585524e-08
1949,2.0615717910565934e-08
1950,2.552486688678357e-08
1951,1.1727541604500402e-08
1952,1.7926167217297007e-08
1953,2.9089333608567358e-08
1954,3.713563656582153e-08
1955,3.848099083825218e-08
1956,4.0117249966442614e-08
1957,3.6223654298339625e-08
1958,2.3989505326671434e-08
1959,2.1702093455644444e-08
1960,2.4222915895322217e-08
1961,3.960450667417348e-08
1962,3.297817202652098e-08
1963,3.1037055370219946e-08
1964,2.3727476872181796e-08
1965,1.8057743078614408e-08
