year,eût_VERB eu_VERB,eût_VERB su_VERB
1800,3.851601377391489e-06,3.8673223912155663e-07
1801,3.540818397596013e-06,5.810085781376984e-07
1802,4.1735720515134744e-06,4.744221087094047e-07
1803,3.3877392979775323e-06,4.797834662895184e-07
1804,4.189787432551384e-06,6.500968083855696e-07
1805,3.644569233074435e-06,4.3780318037534016e-07
1806,3.855673185171327e-06,5.15818783242139e-07
1807,3.985737293987768e-06,4.868293217441533e-07
1808,4.22622815676732e-06,6.934186558282818e-07
1809,3.9781525629223324e-06,4.76655429793027e-07
1810,3.8144066820677835e-06,4.937667199556017e-07
1811,3.4021031751763076e-06,4.6882334459041886e-07
1812,4.3342133722035214e-06,4.6676143483637134e-07
1813,3.7557185805781046e-06,6.527933464894886e-07
1814,4.301507487980416e-06,7.961093047015311e-07
1815,3.5441516956780106e-06,5.070780275673314e-07
1816,3.0777780466451077e-06,3.221469455638726e-07
1817,4.0712238842388615e-06,5.760431349699502e-07
1818,3.90895411328529e-06,5.030736929256818e-07
1819,4.315352725825505e-06,5.42395014235808e-07
1820,3.838806605926948e-06,5.446714794743457e-07
1821,4.521492428466445e-06,6.163430157357652e-07
1822,4.339086444815621e-06,6.947751671759761e-07
1823,6.3427082750422414e-06,9.250194921150978e-07
1824,4.589506261254428e-06,5.414775614553946e-07
1825,5.403019713412505e-06,7.026743560345494e-07
1826,4.455959242477547e-06,6.905459599693131e-07
1827,4.209528469800716e-06,5.723926506107091e-07
1828,4.219258698867634e-06,4.356843135155941e-07
1829,4.006245035270695e-06,6.344150165205065e-07
1830,4.699707005784148e-06,5.103612465973129e-07
1831,3.063672011194285e-06,4.833273692383955e-07
1832,2.9684752007597126e-06,4.573129785967467e-07
1833,2.8009212655888405e-06,3.243415847009601e-07
1834,3.1858753573033027e-06,4.312553301133448e-07
1835,3.392801318113925e-06,3.4638941315279226e-07
1836,3.4134689030906884e-06,4.536506423846731e-07
1837,3.3279591207246995e-06,3.778134782805864e-07
1838,3.925533292203909e-06,4.904549655293522e-07
1839,3.2223708785750205e-06,3.7963710042276944e-07
1840,3.218603751520277e-06,3.8791404222138226e-07
1841,3.1049771678226534e-06,4.609953805356781e-07
1842,3.3360201996401884e-06,3.615754735619703e-07
1843,2.8110989660490304e-06,3.2665218441252364e-07
1844,3.1015858894534176e-06,3.512679143113928e-07
1845,2.6154527859034715e-06,2.9128790401955484e-07
1846,2.890952828238369e-06,2.9272507617861265e-07
1847,2.6189493382844375e-06,3.4948089933095616e-07
