year,peuvent_VERB avoir_VERB,peuvent_VERB savoir_VERB
1800,9.136942026088946e-06,9.118077315406481e-08
1801,8.143644663505256e-06,1.04772034603684e-07
1802,1.0287350960425101e-05,4.0281122437590966e-08
1803,9.262161256629042e-06,6.046051481689574e-08
1804,9.983806194213685e-06,1.1123329102247226e-07
1805,9.438354027224705e-06,8.52863308864471e-08
1806,9.595958545105532e-06,9.509508203109363e-08
1807,1.0696010576793924e-05,7.971474502710407e-08
1808,1.003644138108939e-05,7.251436784372345e-08
1809,9.637024049879983e-06,4.51806094758922e-08
1810,9.39794881560374e-06,5.616304221689461e-08
1811,8.346058166353032e-06,4.262030373070047e-08
1812,1.0671499694581144e-05,4.000812481308458e-08
1813,1.01398654805962e-05,8.91479885467561e-08
1814,9.282697646995075e-06,4.72001566720337e-08
1815,9.577840501151513e-06,2.6972236000233352e-08
1816,1.1034112503693905e-05,9.965696534663948e-08
1817,8.771425200393423e-06,1.8838167648027593e-07
1818,8.075405276031233e-06,9.656153565629211e-08
1819,9.467070412938483e-06,1.0972112818308233e-07
1820,9.118203706748318e-06,6.40789963313182e-08
1821,8.675151548231952e-06,1.1537941446704281e-07
1822,8.920793334254995e-06,1.233150754842427e-07
1823,7.865630323067307e-06,7.906149335212831e-08
1824,7.51668540033279e-06,1.1115868403521745e-07
1825,7.640483090654016e-06,1.2327620879659662e-07
1826,8.388724381802604e-06,7.134467239211517e-08
1827,9.081779353437014e-06,9.770309361556428e-08
1828,9.190645869239233e-06,9.080578422526742e-08
1829,8.898099622456357e-06,1.0802202154991392e-07
1830,9.768878044269513e-06,8.453837097022188e-08
1831,8.442638318229001e-06,7.795603096383275e-08
1832,7.929915227578022e-06,8.523880978827947e-08
1833,8.427089596807491e-06,6.02348677603004e-08
1834,8.851935490383767e-06,8.68111342811062e-08
1835,7.95863707026001e-06,6.126101226300307e-08
1836,8.104552762233652e-06,9.207427353885578e-08
1837,7.852675480535254e-06,1.071515214334795e-07
1838,8.099766091618221e-06,8.332053624826585e-08
1839,8.197504939744249e-06,7.900366938429215e-08
1840,7.844271749490872e-06,1.178392423639707e-07
1841,8.643342880532146e-06,8.218302127716015e-08
1842,7.825191460142378e-06,9.928232458378261e-08
1843,8.362413609575015e-06,1.0632439995106324e-07
1844,8.481473741994705e-06,6.915587391631561e-08
1845,7.893232577771414e-06,9.76539880070959e-08
1846,7.99783447291702e-06,1.1240642550092161e-07
1847,8.059633728407789e-06,8.737022483273904e-08
1848,8.000973139132839e-06,1.0297883790144624e-07
1849,8.6961572378641e-06,4.1897074254393374e-08
1850,7.611143246322172e-06,1.2559642925680237e-07
1851,7.755450496915728e-06,1.0383596560359365e-07
1852,8.304200491693337e-06,1.5299781352950959e-07
1853,7.393848591163987e-06,1.3496565998138976e-07
1854,7.502539574488765e-06,6.962190468584595e-08
1855,7.243969321280019e-06,9.021793090369101e-08
1856,7.287411790457554e-06,8.438818355216426e-08
1857,6.596871571673546e-06,7.908045063231839e-08
1858,7.046403879940044e-06,6.900083349137276e-08
1859,6.952853709663032e-06,1.013342512123927e-07
1860,6.511959327326622e-06,8.147387120516214e-08
1861,6.676861630694475e-06,8.583054267319312e-08
1862,7.4076901910302695e-06,6.551080389272101e-08
1863,7.040417585812975e-06,6.842630284609186e-08
1864,6.9811239882255904e-06,6.520829742839851e-08
1865,6.897880211909069e-06,6.118897744045171e-08
1866,6.9320385591709055e-06,6.130672147719451e-08
1867,6.691056569252396e-06,6.842464017609018e-08
1868,7.080321665853262e-06,7.607405905218911e-08
1869,7.2036791607388295e-06,6.690421372468336e-08
1870,7.0201958806137554e-06,6.995539791887495e-08
1871,6.896330432937248e-06,7.647247457498452e-08
1872,6.789347935409751e-06,9.917636134559871e-08
1873,7.1083804868976586e-06,4.968383748860106e-08
1874,7.073339929775102e-06,1.0037343400881582e-07
1875,7.245741926453775e-06,1.0870901689941093e-07
1876,6.988588665990392e-06,5.078652520751348e-08
1877,6.68887832944165e-06,7.421779457672528e-08
1878,6.488397048087791e-06,5.5559617351264023e-08
1879,7.130804533517221e-06,6.414791187125957e-08
1880,6.640545507252682e-06,6.546203223933844e-08
1881,6.9055713538546115e-06,5.9266312746331096e-08
1882,6.301318535406608e-06,5.790185042542362e-08
1883,6.905773716425756e-06,7.520013411976834e-08
1884,6.530398422910366e-06,4.357119820497246e-08
1885,6.718930762872333e-06,7.412481295432372e-08
1886,6.497992671938846e-06,6.582533274013258e-08
1887,6.94351138008642e-06,7.181817096579834e-08
1888,6.9074658313184045e-06,6.02358412038484e-08
1889,6.496946753031807e-06,6.390439466485986e-08
1890,7.0787373260827735e-06,6.226667181863377e-08
1891,7.25513746147044e-06,7.64906431527379e-08
1892,6.848349585197866e-06,6.70730813112641e-08
1893,7.155464118113741e-06,6.466337509891673e-08
1894,6.560532710864209e-06,5.8604314290278126e-08
1895,6.535613465530332e-06,5.476939080040211e-08
1896,7.08292145645828e-06,5.7201180680976904e-08
1897,6.602831945201615e-06,5.477110676110897e-08
1898,6.9592106228810735e-06,5.545187775624072e-08
1899,6.519778708025115e-06,3.703477347016815e-08
1900,6.674137239315314e-06,6.748368974740515e-08
1901,6.728841526637552e-06,5.4210769206974874e-08
1902,7.319760243262863e-06,7.365425602756659e-08
1903,6.621749889745843e-06,6.210253644667318e-08
1904,6.749454314558534e-06,7.631967946508667e-08
1905,6.8550361902453005e-06,4.7478984299687e-08
1906,6.736309842381161e-06,5.2985100751357095e-08
1907,6.692896477034083e-06,5.451413898072133e-08
1908,6.559160283359233e-06,7.219741604558294e-08
1909,6.569824563484872e-06,6.216111358980925e-08
1910,6.705306077492423e-06,6.145773312482561e-08
1911,6.677601504634367e-06,6.810078900798544e-08
1912,6.646179826930165e-06,6.199211100010871e-08
1913,6.391693659679731e-06,5.515109435805243e-08
1914,6.680001661152346e-06,7.969124737883249e-08
1915,6.501802545244573e-06,6.361611326610728e-08
1916,6.349654540827032e-06,6.482602543655958e-08
1917,6.2991143749968614e-06,9.102132025873289e-08
1918,5.81210633754381e-06,5.398596769623509e-08
1919,6.183990990393795e-06,7.918749389546065e-08
1920,6.133507667982485e-06,6.057785384427916e-08
1921,6.397457127604866e-06,5.9067428281878165e-08
1922,6.294854756561108e-06,8.853522359686394e-08
1923,6.222007414180553e-06,7.218844899625765e-08
1924,6.163485522847623e-06,7.60605871619191e-08
1925,6.3382499320141505e-06,6.598907020816114e-08
1926,5.8729001466417685e-06,4.904300965336006e-08
1927,5.8589175750967115e-06,6.801027296887696e-08
1928,6.023808964528143e-06,5.0274582719112004e-08
1929,6.428014330595033e-06,7.129860080112849e-08
1930,6.108895831857808e-06,6.827342247106571e-08
1931,6.059665793145541e-06,4.334035708097872e-08
1932,6.19433012616355e-06,4.274219378430644e-08
1933,5.687154498446034e-06,3.0970788600370724e-08
1934,5.6744765970506705e-06,4.7926320689839486e-08
1935,5.681344646291109e-06,5.6250936353308134e-08
1936,6.228465736057842e-06,5.092380206406233e-08
1937,5.925380264670821e-06,6.799204044227736e-08
1938,6.1299533626879565e-06,5.4453899167583586e-08
1939,6.062561624275986e-06,4.435274547631707e-08
1940,5.857658379682107e-06,7.86092684279538e-08
1941,5.905956641072407e-06,3.5418032950929046e-08
1942,5.731626060878625e-06,5.158160121254696e-08
1943,5.951632374490146e-06,5.2258233296242906e-08
1944,5.777308615506627e-06,4.177142187700156e-08
1945,5.134734237799421e-06,6.099811145077183e-08
1946,5.632478860206902e-06,6.542919095409161e-08
1947,5.693408184015425e-06,6.07964452115084e-08
1948,5.738182608183706e-06,5.544662684542345e-08
1949,6.128758286649827e-06,5.3011845579931105e-08
1950,6.035567821527366e-06,6.593923984610228e-08
1951,6.120710622781189e-06,6.290227361205325e-08
1952,6.3511351982015185e-06,4.428817490520487e-08
1953,6.004253918945324e-06,4.740483916521043e-08
1954,6.338466846500523e-06,6.058972701339371e-08
1955,6.152265996206552e-06,3.566530892840092e-08
1956,6.297536401689285e-06,4.7094165012140365e-08
1957,6.383314939739648e-06,4.8592706747285774e-08
1958,6.381208550010342e-06,5.21151335419745e-08
1959,6.24477752353414e-06,6.278105502133258e-08
1960,6.137394848337863e-06,4.3601250609981435e-08
1961,6.153289632493397e-06,4.794229724325305e-08
1962,6.267755452427082e-06,6.151697817813329e-08
1963,6.16602847003378e-06,5.819448034571906e-08
1964,6.386949735315284e-06,7.422441683502257e-08
1965,6.253451374504948e-06,5.581484074923537e-08
1966,6.13230986346025e-06,3.932743197765376e-08
1967,6.395138370862696e-06,7.740626983832044e-08
1968,5.908457751502283e-06,5.569355820966848e-08
1969,6.761315034964355e-06,5.313856732414024e-08
1970,6.445113285735715e-06,6.944074470993655e-08
1971,6.094653144828044e-06,3.648262136835001e-08
1972,6.261344424274284e-06,4.104117579117883e-08
1973,6.187468443386024e-06,4.520827090459534e-08
1974,6.2719500419916585e-06,3.4878542720662153e-08
1975,5.829136625834508e-06,4.3407247574123176e-08
1976,5.887789484404493e-06,4.685092136469393e-08
1977,5.712231995858019e-06,5.7592462354705276e-08
1978,5.624551704386249e-06,4.990096869050831e-08
1979,6.050355295883492e-06,4.330460257051527e-08
1980,5.810224138258491e-06,4.832378053265529e-08
1981,5.654408596456051e-06,4.3013738348918196e-08
1982,5.972858616587473e-06,4.4694015599588965e-08
1983,6.047546776244417e-06,6.44162270191373e-08
1984,6.015891358401859e-06,4.697196942515802e-08
1985,5.728616088163108e-06,4.511668549866954e-08
1986,5.619830062641995e-06,4.555808885697843e-08
1987,5.802220584882889e-06,4.27757171905796e-08
1988,5.759090072388062e-06,4.017691068725071e-08
1989,5.677462468156591e-06,4.555141330797596e-08
1990,5.734705155191477e-06,4.849299273246288e-08
1991,5.543187853618292e-06,4.1616402768340777e-08
1992,5.478537332237465e-06,4.7936513425383964e-08
1993,5.717015937989345e-06,5.483815357365529e-08
1994,5.904225417907583e-06,6.751906056479129e-08
1995,5.732615136366803e-06,5.9104714011937176e-08
1996,5.977061846351717e-06,5.3914732234261464e-08
1997,5.635919023916358e-06,6.856699030777236e-08
1998,6.077934358472703e-06,6.389293361053205e-08
1999,6.37588755125762e-06,6.032665567090589e-08
2000,6.3708012021379545e-06,7.599014395509585e-08
2001,6.425047104130499e-06,6.484193448841324e-08
2002,6.65551351630711e-06,5.739400066318012e-08
2003,6.681661034235731e-06,6.208715319644398e-08
2004,6.623924946325133e-06,6.03456413728054e-08
2005,6.7637311076396145e-06,5.4495369994356224e-08
2006,6.566387128259521e-06,5.5591513614672294e-08
2007,6.1574901337735355e-06,6.550946096695043e-08
2008,6.588387805095408e-06,6.343584857404494e-08
2009,6.4723444666014984e-06,5.674149150536323e-08
2010,6.5655999605951365e-06,7.180165084719192e-08
2011,6.637268143094843e-06,6.806670427295103e-08
2012,5.790634077129653e-06,7.353185793590455e-08
2013,5.623712695523864e-06,5.996619023562744e-08
2014,4.70811073682853e-06,8.09876468110815e-08
2015,5.041157237428706e-06,7.58068807726886e-08
2016,4.9546451919013634e-06,6.669714736062815e-08
2017,5.076251909486018e-06,6.741838376456144e-08
2018,4.922598691337043e-06,6.531110585683564e-08
2019,4.964732397638727e-06,7.499904342012087e-08
