year,contenant_VERB en_ADP
1800,2.6725399493443547e-07
1801,1.8811341817581706e-07
1802,2.752543366568716e-07
1803,2.788985149493328e-07
1804,1.507829097135982e-07
1805,2.985021634316354e-07
1806,2.766402245057975e-07
1807,2.2206249639111775e-07
1808,1.7448770339711928e-07
1809,1.7168632382436044e-07
1810,4.4696421763745775e-07
1811,5.139507379681163e-07
1812,3.0406173578967355e-07
1813,3.7384640450000006e-07
1814,2.580275229036033e-07
1815,2.88602933551374e-07
1816,2.4566601730668935e-07
1817,2.5844098028304785e-07
1818,3.2544815553592343e-07
1819,3.2088253743012274e-07
1820,2.6580917555918404e-07
1821,3.145814866378771e-07
1822,2.2657891918242967e-07
1823,2.6584427814668743e-07
1824,2.728440380295183e-07
1825,3.00265605712724e-07
1826,3.805049101357483e-07
1827,2.8573546728694055e-07
1828,3.191960710191566e-07
1829,3.154928885362729e-07
1830,4.07036589322729e-07
1831,5.41014856914046e-07
1832,4.0454609540052644e-07
1833,2.7221526777143623e-07
1834,2.492319879365823e-07
1835,3.305069569137231e-07
1836,4.146702721197215e-07
1837,3.59722974963006e-07
1838,3.982974274840956e-07
1839,3.8942517144313626e-07
1840,3.2485413026250853e-07
1841,4.81541137631325e-07
1842,3.9444597632609657e-07
1843,3.242894078825387e-07
1844,4.0780009902263714e-07
1845,4.03450472141742e-07
1846,4.677746616721379e-07
1847,4.055704172500896e-07
1848,5.060444383531149e-07
1849,4.3489162271370674e-07
1850,4.406058451422723e-07
1851,4.063146532562456e-07
1852,4.1537279038550423e-07
1853,3.601074904935331e-07
1854,5.06057697746698e-07
1855,4.128796931013312e-07
1856,5.187543390405835e-07
1857,4.3543060446182835e-07
1858,4.531543917885017e-07
1859,4.689891515141653e-07
1860,4.1240428294564424e-07
1861,4.918750442506337e-07
1862,4.4773244045615e-07
1863,4.6100349671007734e-07
1864,5.264611537825203e-07
1865,4.6127075692403707e-07
1866,4.495826297912231e-07
1867,5.396326248074956e-07
1868,5.695674527572692e-07
1869,4.3805167049271176e-07
1870,5.785655243784049e-07
1871,5.491148664660273e-07
