year,portant_VERB en_ADP
1800,8.929427197656992e-07
1801,1.1143934224300267e-06
1802,1.139060657351365e-06
1803,7.781853657018445e-07
1804,1.1815447908958276e-06
1805,1.424281687922857e-06
1806,5.965055152046261e-07
1807,1.110312533469937e-06
1808,6.662257638900826e-07
1809,9.397566762547882e-07
1810,5.943921812523456e-07
1811,7.270522770497223e-07
1812,9.095180089069288e-07
1813,7.735744795844823e-07
1814,8.621895477567421e-07
1815,8.145614875942897e-07
1816,1.0707329920478514e-06
1817,8.874178476503403e-07
1818,8.440193699499332e-07
1819,7.628724141284238e-07
1820,8.377735642994821e-07
1821,9.181045501627239e-07
1822,8.371389128569717e-07
1823,1.1157553050367142e-06
1824,1.1865347815387395e-06
1825,1.3032055932171716e-06
1826,8.191425338033298e-07
1827,8.267894144320387e-07
1828,1.081414362946731e-06
1829,9.061847198177375e-07
1830,9.027863272503822e-07
1831,1.0726749541944969e-06
1832,9.944527548100268e-07
1833,9.023646612149605e-07
1834,9.194512746724115e-07
1835,9.953023720754572e-07
1836,8.622722456053111e-07
1837,8.850437538399092e-07
1838,8.818090124762534e-07
1839,9.277687543773894e-07
1840,8.822018937593157e-07
1841,1.2224723935361226e-06
1842,9.337905062523078e-07
1843,8.694972919442989e-07
1844,9.286645674677629e-07
1845,1.235462500304152e-06
1846,9.929234145999999e-07
1847,1.0840379660592703e-06
1848,9.799080089578638e-07
1849,1.0566442565362877e-06
1850,1.0047714296135268e-06
1851,9.287191815587903e-07
1852,1.080099506944876e-06
1853,1.0839055910594197e-06
1854,9.970480063792309e-07
1855,1.0364448037591956e-06
1856,1.0794439022632218e-06
1857,1.1203062868503366e-06
1858,1.0653532696025536e-06
1859,1.0372757639487418e-06
1860,9.74940137066227e-07
1861,1.0724101828785138e-06
1862,1.059919562784728e-06
1863,1.0024203467295933e-06
1864,1.003536576504871e-06
1865,1.067041657698553e-06
1866,1.015940017445871e-06
1867,1.1345872898971265e-06
1868,1.0166260491217827e-06
1869,1.0436080781772716e-06
1870,1.111832085953779e-06
1871,1.2671064020253198e-06
1872,1.0703790671584557e-06
1873,1.1331506142298053e-06
