year,excellent_ADJ centre_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,2.3167257001688313e-09
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,6.9914751765765e-10
1840,0.0
1841,0.0
1842,0.0
1843,2.953455480181333e-09
1844,2.7442805805577564e-09
1845,0.0
1846,0.0
1847,5.393223645455691e-10
1848,0.0
1849,1.6758829879393033e-09
1850,0.0
1851,6.449438760824933e-10
1852,3.906327261660181e-09
1853,4.180352064508952e-09
1854,0.0
1855,4.2455496895854594e-09
1856,0.0
1857,2.4407544874094356e-09
1858,0.0
1859,1.018434669930457e-09
1860,3.204028820036342e-09
1861,3.772770984511453e-09
1862,0.0
1863,3.995696662428827e-09
1864,9.589455896019672e-10
1865,7.530950973944073e-09
1866,5.838735717134114e-09
1867,9.7056229719783e-10
1868,1.4819622196071691e-09
1869,1.4650557433881772e-09
1870,1.1468097582678638e-09
1871,2.1242354542039266e-09
1872,4.8378714367913744e-09
1873,0.0
1874,7.766991494406739e-09
1875,4.005069165202713e-09
1876,5.441413541973361e-09
1877,4.9478527941460015e-09
1878,3.0195443923020093e-09
1879,2.443730107160036e-09
1880,7.701415505323439e-09
1881,6.972507571312292e-10
1882,8.652000893505374e-09
1883,5.687405213450347e-09
1884,6.601696966868076e-09
1885,4.511945039809007e-09
1886,1.936039106809062e-09
1887,2.6115698492645834e-09
1888,5.706553452000662e-09
1889,3.759081934617825e-09
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,6.268512375839919e-09
1893,6.774258043407144e-09
1894,3.780923574225881e-09
1895,1.8055843487019274e-09
1896,5.89702897624278e-10
1897,6.409385022720926e-09
1898,7.355861253444118e-09
1899,9.949641111006713e-09
1900,5.710158568206225e-09
1901,8.38310842965484e-09
1902,5.4013122863239005e-09
1903,1.674068350610014e-08
1904,5.912087708281888e-09
1905,6.192911072844254e-09
1906,5.658602919567102e-09
1907,4.6285588695127444e-09
1908,4.911389073214423e-09
1909,8.801573692096554e-09
1910,6.947395991829808e-09
1911,1.9685383989553884e-08
1912,8.856016364688912e-09
1913,5.833288518886093e-09
1914,1.607218563792756e-08
1915,2.3561523843085297e-09
1916,4.394984820521586e-09
1917,4.386569774084137e-09
1918,9.189101035644853e-09
1919,1.1970202606903513e-08
1920,7.572231730534895e-09
1921,3.7863738810983705e-09
1922,1.1066902949607993e-08
1923,8.492758496458919e-09
1924,1.0313299436681689e-08
1925,1.6497267552040284e-08
1926,8.916910765321973e-09
1927,6.689535148041159e-09
1928,2.2852082892654835e-08
1929,1.2254447234738564e-08
1930,9.453243521306831e-09
1931,2.9653927313688655e-08
1932,2.520693342944469e-08
1933,5.735331320977366e-09
1934,0.0
1935,7.180970484910176e-09
1936,9.699771652549316e-09
1937,6.295559185076627e-09
1938,2.5930428915188486e-09
1939,9.176430282309411e-09
1940,0.0
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,5.568441707737293e-09
1947,1.1920871401116528e-08
1948,7.610321262063735e-09
1949,0.0
1950,7.444753258312176e-09
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,1.0773827163745864e-08
1954,7.818028890937967e-09
1955,9.385607846468247e-09
1956,1.0465369904011368e-08
1957,2.6505113659425206e-09
1958,4.136121722897457e-09
1959,6.200598257066758e-09
1960,4.152499955001332e-09
1961,6.25334317660986e-09
1962,3.805173953708163e-09
1963,4.526237162849611e-09
1964,1.1559539991878864e-08
1965,7.660860390501512e-09
1966,6.092982118843793e-09
1967,2.465167847631733e-09
1968,7.186265360559219e-09
1969,1.0446043141598693e-08
1970,5.518470042042978e-09
1971,3.5968783507200897e-09
1972,4.104117490300041e-09
1973,3.859242703185828e-09
1974,3.3753431161187564e-09
1975,7.4249242310031605e-09
1976,5.142174241967723e-09
1977,3.526069214387917e-09
1978,1.0099005187669263e-08
1979,7.607565244427406e-09
1980,3.411090521154847e-09
1981,1.0120879245789638e-08
1982,1.2415004579935385e-09
1983,5.052252838311233e-09
1984,5.219107812592938e-09
1985,1.8046674155058895e-09
1986,1.7983456390702202e-09
1987,2.4443267410134695e-09
1988,0.0
1989,5.488121956886971e-09
1990,7.083246433836621e-09
1991,5.8614650910726596e-09
1992,3.856960972825618e-09
1993,3.877445031719162e-09
1994,2.1099706426497278e-09
1995,3.795715741716776e-09
1996,4.270473752399084e-09
1997,2.3974471297094624e-09
1998,4.291316191284977e-09
1999,3.1991408688814005e-09
2000,2.6508188977203417e-09
2001,3.066848330846028e-09
2002,1.752488598683044e-09
2003,6.250384210204629e-09
2004,3.0833537945085254e-09
2005,4.5037495954858286e-10
2006,4.529679020759403e-09
2007,8.38840730210677e-09
2008,6.3861596011349775e-09
2009,4.768192729542875e-09
2010,1.086472406486294e-08
2011,2.3708625951357476e-08
2012,2.9957423541837613e-08
2013,2.9564726000685937e-08
2014,1.8839373394641257e-08
2015,2.393901499253559e-08
2016,2.1334802369210593e-08
2017,1.685459594114036e-08
2018,2.090988049374687e-08
2019,1.6836519289853413e-08
