year,peut_VERB avoir_VERB,peut_VERB savoir_VERB
1800,2.614687218738254e-05,1.2922515679747448e-06
1801,2.4085662516881712e-05,1.0167649406866985e-06
1802,2.824377952492796e-05,9.309414963354357e-07
1803,2.545582719903905e-05,7.567315947198949e-07
1804,3.486545756459236e-05,9.961559044313617e-07
1805,2.853396290447563e-05,9.353067866868514e-07
1806,2.8753294827765785e-05,8.097489967440197e-07
1807,3.2663116144249216e-05,1.1644046935543884e-06
1808,2.9896315027144738e-05,8.905670938474941e-07
1809,2.7325233531882986e-05,9.73642158896837e-07
1810,2.9462195016094483e-05,6.996979209361598e-07
1811,2.502062670828309e-05,9.025476401802734e-07
1812,3.0323490136652254e-05,1.0642161214491352e-06
1813,3.1699299142928794e-05,1.202060047944542e-06
1814,2.5629686206229962e-05,6.828289542681887e-07
1815,2.538087392167654e-05,6.958836706871807e-07
1816,2.756326284725219e-05,1.029016175380093e-06
1817,2.2068679754738696e-05,1.198792574541585e-06
1818,2.424171361781191e-05,1.1384723848095746e-06
1819,2.7070065698353574e-05,1.430515112588182e-06
1820,2.4338152798009105e-05,9.872912869468564e-07
1821,2.4237566321971826e-05,1.0532069154578494e-06
1822,2.527157084841747e-05,1.1208638852622244e-06
1823,2.1925729015492834e-05,1.0574475481917034e-06
1824,2.1675943571608514e-05,1.1023236083929078e-06
1825,2.2107826225692406e-05,1.016148075905221e-06
1826,2.2661182811134495e-05,1.11156759885489e-06
1827,2.6059995434479788e-05,9.668918892202782e-07
1828,2.5576044208719395e-05,9.355747465633613e-07
1829,2.550948556745425e-05,1.086221459445369e-06
1830,2.655235402926337e-05,1.2367650015221443e-06
1831,2.595779915282037e-05,1.144394559560169e-06
1832,2.51413894147845e-05,1.07563255369314e-06
1833,2.5609086151234806e-05,1.0228343398921425e-06
1834,2.4188570023397915e-05,9.763919024408096e-07
1835,2.3078762751538306e-05,1.000596512312768e-06
1836,2.3647631678613834e-05,1.0759920314740157e-06
1837,2.317047255928628e-05,8.558205877307046e-07
1838,2.1967585780657828e-05,9.78385060079745e-07
1839,2.2763544620829634e-05,8.781292990533984e-07
1840,2.2744883608538657e-05,9.815689736569766e-07
1841,2.5200653908541426e-05,1.1858753623528173e-06
1842,2.2930191335035488e-05,1.1162553619215032e-06
1843,2.3155091184889898e-05,1.1937867157030269e-06
1844,2.31952089961851e-05,1.1613796004894539e-06
1845,2.2802485545980744e-05,1.0066730737889884e-06
1846,2.250411853310652e-05,1.0028760470959242e-06
1847,2.325773675693199e-05,9.368029623146867e-07
1848,2.325390960322693e-05,8.53598010053247e-07
1849,2.334588862140663e-05,7.432540769514162e-07
1850,2.3139613404055126e-05,9.96624635263288e-07
1851,2.2263462597038597e-05,9.635461992729688e-07
1852,2.252453487017192e-05,1.1334859664202668e-06
1853,2.075664269796107e-05,1.3036727750659338e-06
1854,2.1267933334456757e-05,1.1222634839214152e-06
1855,2.0790457710972987e-05,1.0396289553682436e-06
1856,2.150397267541848e-05,1.032849240800715e-06
1857,1.9718856492545456e-05,9.919226613419596e-07
1858,2.0601886717486195e-05,9.586710802977905e-07
1859,2.152410706912633e-05,1.011814788398624e-06
1860,1.8880426068790257e-05,1.0985241942762514e-06
1861,2.0090004909434356e-05,9.436643608751183e-07
1862,1.9930192138417624e-05,9.058562682184856e-07
1863,2.0176270481897518e-05,9.709542609925848e-07
1864,1.9880859326804057e-05,9.939470828612684e-07
1865,1.9556468032533303e-05,9.837305015025777e-07
1866,2.0500772734521888e-05,9.916119552144664e-07
1867,1.8917715351562947e-05,8.880645054887282e-07
1868,2.0124552975175902e-05,9.440099120183731e-07
1869,2.020458305196371e-05,9.16636565762019e-07
1870,2.0127085008425638e-05,8.211158046833589e-07
1871,1.975645136553794e-05,9.53781750467897e-07
1872,1.9714325389941223e-05,9.839020549406996e-07
1873,2.009621493925806e-05,9.61352270678617e-07
1874,1.9838689695461653e-05,8.84242126630852e-07
1875,2.02078608708689e-05,9.286038675782038e-07
1876,2.0124160073464736e-05,8.343500326191133e-07
1877,1.8679998902371153e-05,8.856656563693832e-07
1878,1.79312628461048e-05,7.929323260214005e-07
1879,1.9788105419138446e-05,9.964309128918103e-07
1880,1.922465889947489e-05,9.947661965270527e-07
1881,1.9032157069887035e-05,8.380953886444331e-07
1882,1.881211210275069e-05,8.232711365963041e-07
1883,1.9507167962729e-05,7.766467433611979e-07
1884,1.855670961958822e-05,7.961646701915015e-07
1885,1.8800630641635507e-05,8.192403129214654e-07
1886,1.7824466340243816e-05,7.5699131230067e-07
1887,1.9353690731804818e-05,9.049089726431703e-07
1888,1.820327088353224e-05,7.684824936404766e-07
1889,1.8340560927754268e-05,7.881541819187987e-07
1890,1.9444898498477414e-05,7.983242653608613e-07
1891,1.9410137610975653e-05,9.089637842407683e-07
1892,1.8515931515139528e-05,8.011159025045345e-07
1893,1.8751146853901446e-05,7.630277991665935e-07
1894,1.8253038433613256e-05,8.05336696885206e-07
1895,1.842839628807269e-05,7.679752229705628e-07
1896,1.883570075733587e-05,8.161488267433015e-07
1897,1.890418934635818e-05,7.353312412305968e-07
1898,1.8905695469584316e-05,7.78023775183101e-07
1899,1.8562161130830646e-05,8.120012466861226e-07
1900,1.8077842469210736e-05,8.445843491244887e-07
1901,1.8780956452246755e-05,8.11484881069191e-07
1902,2.0197961930534802e-05,6.393189551090472e-07
1903,1.806373620638624e-05,7.538707222920493e-07
1904,1.8249002096126787e-05,7.669590331715881e-07
1905,1.835320654208772e-05,8.066266445894144e-07
1906,1.7943944840226322e-05,7.459067319359747e-07
1907,1.8895834728027694e-05,8.336548944498645e-07
1908,1.8270367945660837e-05,8.300247600345756e-07
1909,1.7652106180321425e-05,8.664048891660059e-07
1910,1.8488090063328855e-05,8.903355137590552e-07
1911,1.7913167539518327e-05,8.29446321404248e-07
1912,1.8174629076384008e-05,7.975623930178699e-07
1913,1.7864182154880837e-05,7.567366537841735e-07
1914,1.7747041056281887e-05,8.009305361156294e-07
1915,1.6814681657706387e-05,8.128725994538399e-07
1916,1.641087328607682e-05,9.548105026624398e-07
1917,1.6991378288366832e-05,9.080199561140034e-07
1918,1.5319379599532112e-05,7.615467438881751e-07
1919,1.606309160706587e-05,7.522812097704445e-07
1920,1.6996631529764272e-05,8.087143328339153e-07
1921,1.7097749150707386e-05,7.466729243787995e-07
1922,1.6618061636108905e-05,7.643541266588727e-07
1923,1.642287134018261e-05,8.407831160184287e-07
1924,1.713554775051307e-05,9.526910389467957e-07
1925,1.7113165085902438e-05,8.138651423905685e-07
1926,1.6037063687690534e-05,8.248142648881185e-07
1927,1.601809162821155e-05,8.61835076193529e-07
1928,1.720761792967096e-05,8.306731729135208e-07
1929,1.686323230387643e-05,7.620038218192349e-07
1930,1.6959118511294946e-05,8.161300115716585e-07
1931,1.6305097233271226e-05,8.54261202221096e-07
1932,1.587707993166987e-05,8.175814514288504e-07
1933,1.6130044969031587e-05,7.329753088924917e-07
1934,1.5405916201416403e-05,8.207382506952854e-07
1935,1.5914227333269082e-05,8.449608799310226e-07
1936,1.533776412543375e-05,7.67494441333838e-07
1937,1.5487075870623812e-05,7.730946549600048e-07
1938,1.6430816685897298e-05,8.284771979560901e-07
1939,1.5413344954140484e-05,8.075258506323735e-07
1940,1.4862223906675354e-05,8.19057902390341e-07
1941,1.5005439308879431e-05,7.850997008063132e-07
1942,1.5234777492878493e-05,8.465451060146734e-07
1943,1.5044564861455001e-05,8.767770509621187e-07
1944,1.4864199329167604e-05,9.286108024753048e-07
1945,1.3970746294944547e-05,1.039146468428953e-06
1946,1.5377252566395327e-05,9.118323305301601e-07
1947,1.5666408216929995e-05,9.012178452394437e-07
1948,1.4700966858072206e-05,8.817100933811162e-07
1949,1.5813237041584216e-05,8.383725003113796e-07
1950,1.6472047718707472e-05,9.827074336499209e-07
1951,1.6237314412137493e-05,1.048015747073805e-06
1952,1.6092424630187452e-05,8.899814361029712e-07
1953,1.5795509170857258e-05,8.780669418229081e-07
1954,1.57474642037414e-05,9.195956636176561e-07
1955,1.6015601431718096e-05,9.986287068386446e-07
1956,1.603905184310861e-05,9.148477602138883e-07
1957,1.5890698705334216e-05,9.312129805039149e-07
1958,1.5655221432098188e-05,9.843969337453018e-07
1959,1.581075048306957e-05,9.246642207472178e-07
1960,1.5558032828266732e-05,9.619958518669591e-07
1961,1.5414490917464718e-05,1.001924601951032e-06
1962,1.598490052856505e-05,9.89979412224784e-07
1963,1.532325222797226e-05,9.472768169871415e-07
1964,1.5990493920980953e-05,9.065112749340187e-07
1965,1.5918174540274777e-05,9.384554573443893e-07
1966,1.5311110473703593e-05,9.006535606204125e-07
1967,1.6604877600912005e-05,9.895182984109852e-07
1968,1.5436547982972115e-05,9.78230332293606e-07
1969,1.5662251826142892e-05,9.001764169624948e-07
1970,1.6301561117870733e-05,8.04316982794262e-07
1971,1.5293411706807092e-05,9.094963502320752e-07
1972,1.480303853895748e-05,8.141543048623134e-07
1973,1.4849262697680388e-05,8.181594353118271e-07
1974,1.4530289263348095e-05,8.269590239251556e-07
1975,1.412449091731105e-05,8.378741540582268e-07
1976,1.42741046147421e-05,8.130348874146875e-07
1977,1.3925622624810785e-05,8.791665777607705e-07
1978,1.401444933435414e-05,8.756431384426833e-07
1979,1.5177092791418545e-05,9.152486200036947e-07
1980,1.4291900697571691e-05,7.95352605109656e-07
1981,1.4468429071712308e-05,9.134093374996155e-07
1982,1.4765785635972861e-05,9.286423505727726e-07
1983,1.4478493540082127e-05,8.790919991952251e-07
1984,1.4328769793792162e-05,8.611527846369427e-07
