year,jouant_VERB en_ADP,jouant_VERB sans_ADP
1800,4.7162465932615305e-08,9.432493897065797e-09
1801,2.3811825400343878e-08,4.286128785224719e-08
1802,4.2518962573012686e-08,6.042168365638645e-08
1803,9.751696339321825e-09,1.1702034896643454e-08
1804,2.4718509905596875e-08,4.943701892301533e-09
1805,4.264316544322355e-08,7.107194477384837e-08
1806,3.458002950651462e-08,1.4408345627714425e-08
1807,0.0,2.2775640928784924e-08
1808,4.758755522971114e-08,3.3991110370834576e-08
1809,2.0331274441787173e-08,1.129515236897305e-08
1810,1.4040760554223652e-08,4.680253695710235e-08
1811,0.0,1.504245972228091e-08
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,1.1502966579257645e-08,7.476928232108548e-08
1814,6.293354459785405e-08,6.293354282149721e-09
1815,1.1058616422587875e-07,2.697223555614414e-09
1816,2.5493642752394408e-08,4.6352077731626196e-09
1817,1.8682481339737933e-08,9.341240669868967e-09
1818,6.556647247357716e-08,7.152706427149269e-09
1819,6.624672010957511e-08,4.140420006848444e-09
1820,3.322614716694261e-08,8.306536791735653e-09
1821,2.070912508145284e-08,7.88919063410276e-09
1822,3.0076847679083585e-08,6.015369535816717e-09
1823,3.261286707356703e-08,1.4824030003524058e-08
1824,1.2631669044083083e-08,2.3579115548955087e-08
1825,4.9310479255382234e-08,9.68598712347557e-09
1826,2.290075862276808e-08,3.5231937367541377e-09
1827,1.2904182611350734e-08,1.3825909306319772e-08
1828,1.6510142586412258e-08,1.3758452155343548e-08
1829,3.5150023336427694e-08,1.5431716349212365e-08
1830,6.470838087579978e-08,5.218417697960831e-09
1831,3.897801548191637e-08,7.795603274018958e-09
1832,5.1413883928042026e-08,2.1647950987357945e-08
1833,1.9692167896323554e-08,4.6334513115198206e-08
1834,4.0138484536100805e-08,2.42697808516823e-08
1835,2.8739734148075513e-08,1.5126175867408165e-08
1836,3.36037508930076e-08,1.4785650037651976e-08
1837,2.7135775293452014e-08,2.6439986200443855e-08
1838,2.4617431648721322e-08,1.9567702125300457e-08
1839,4.055055669027752e-08,1.677954131196202e-08
1840,3.3122379505812205e-08,1.4013314952876499e-08
1841,4.55858959469424e-08,2.8250413564023802e-08
1842,3.6224630406422875e-08,1.408735705865638e-08
1843,3.189732128427991e-08,2.8943864194275193e-08
1844,2.4698525891153622e-08,6.586273748609983e-09
1845,2.7343116215661212e-08,6.696273757711424e-09
1846,4.039605983052752e-08,1.5221703009160592e-08
1847,5.177494699637464e-08,1.833696128272777e-08
1848,3.942158599556933e-08,8.045221766561639e-09
1849,7.457679629396807e-08,7.54147322368226e-09
1850,2.1045888587423178e-08,1.4935791270431764e-08
1851,2.7087642351375507e-08,1.676854100018943e-08
1852,3.6459056218518526e-08,2.2135854926830234e-08
1853,3.3442816516071616e-08,2.8068079416243563e-08
1854,1.8704392368285028e-08,1.1430461910322265e-08
