year,sautant_VERB en_ADP
1800,1.2576658381391326e-08
1801,1.1905912700171939e-08
1802,5.147032311469957e-08
1803,2.7304748684287006e-08
1804,5.932442159739537e-08
1805,1.7057265822018053e-08
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,1.1330369531492579e-08
1809,4.518061036407062e-09
1810,2.574139479349924e-08
1811,7.521229861140455e-09
1812,5.3344164641089264e-09
1813,3.738464116054274e-08
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,9.341240669868967e-09
1818,3.5763532135746345e-09
1819,1.3456364911235141e-08
1820,5.933240565525466e-09
1821,6.7058117281249e-08
1822,3.8097340393505874e-08
1823,8.894418535021487e-09
1824,3.536867154707579e-08
1825,4.3146670236637874e-08
1826,1.3211976401805714e-08
1827,2.2121454890111636e-08
1828,1.1006761724274838e-08
1829,1.2002446148073886e-08
1830,5.218418053232199e-08
1831,2.0268567268999504e-08
1832,7.035583848846727e-08
1833,1.9692167896323554e-08
1834,2.8003591889813606e-08
1835,2.571449897459388e-08
1836,1.7473950453261722e-08
1837,3.270208637218275e-08
1838,2.0830134062066463e-08
1839,3.985140939466447e-08
1840,3.248541347034006e-08
1841,2.6966304744746594e-08
1842,4.360372329870188e-08
1843,3.6622846977252266e-08
1844,3.951764071530306e-08
1845,3.682950477923441e-08
1846,3.3370659346942944e-08
1847,2.6966118227278457e-08
1848,9.65426583121598e-09
1849,7.54147322368226e-09
1850,3.326607966869233e-08
1851,4.6435957301582675e-08
1852,2.408901877970493e-08
1853,1.911018188138769e-08
1854,2.338049043260071e-08
1855,2.9718847827098216e-08
1856,2.6403665032148638e-08
1857,2.0014186807859602e-08
1858,2.0064071293290908e-08
1859,6.823512288534062e-08
1860,2.288591893773173e-08
1861,2.452301117727984e-08
1862,2.710791768834042e-08
1863,5.394190516483377e-08
1864,3.5001512799226475e-08
1865,2.3534222126642135e-08
1866,2.5301186923343266e-08
1867,2.8631587767335986e-08
1868,3.853101837592021e-08
1869,3.613804200330861e-08
1870,1.0321287380321564e-08
1871,9.559059321873065e-09
1872,2.1165687758006868e-08
1873,4.0704829895599204e-08
1874,2.1508592240593316e-08
1875,2.4030413214859436e-08
1876,5.078652365320124e-08
1877,2.6594708657512456e-08
1878,2.536417298415472e-08
1879,1.9549840857280287e-08
1880,3.0805662465382966e-08
1881,3.137628490357258e-08
1882,4.725323421439498e-08
1883,4.802697617378726e-08
1884,3.1688145440966764e-08
1885,2.0626034324955356e-08
1886,3.872078280231506e-08
1887,7.18181687453523e-08
1888,4.56524276160053e-08
1889,3.00726554769426e-08
1890,2.294035211791723e-08
1891,2.358461470564066e-08
1892,2.3820346362057876e-08
1893,2.4633665829387752e-08
1894,3.4028310835765296e-08
1895,2.768562623600701e-08
1896,4.0689499769541726e-08
1897,2.563753909168298e-08
1898,2.093591344731749e-08
1899,2.9296165493519766e-08
1900,2.1802422311978376e-08
1901,2.1237207603608255e-08
1902,1.0311596021495006e-08
1903,2.1600881083827517e-08
1904,3.332267528577404e-08
1905,1.6514428602398823e-08
1906,2.0576737980171345e-08
1907,1.902852098112362e-08
1908,3.5362000438965424e-08
1909,1.9253442173905455e-08
1910,2.24454335118196e-08
1911,2.979409430281521e-08
1912,2.3963337536514473e-08
1913,1.378777320093505e-08
1914,1.1384464315700171e-08
1915,2.238344798399794e-08
1916,1.8678685265172135e-08
1917,3.5092558192673096e-08
1918,1.722956355365568e-08
1919,3.038589962978122e-08
1920,3.180337371233577e-08
1921,1.9689142760626055e-08
1922,1.623145839957374e-08
1923,2.3355086309351236e-08
1924,3.9964035636330664e-08
1925,2.1996356736053713e-08
1926,1.6719207018844884e-08
1927,5.0171511389862644e-08
1928,2.9707706294956893e-08
1929,3.0079096546842266e-08
1930,1.1553964007759987e-08
1931,1.2545892325022123e-08
1932,2.301502632917618e-08
1933,2.2941325283909464e-08
1934,2.036868629318178e-08
1935,8.377798899061872e-09
1936,2.7886843056990074e-08
1937,2.0145788925951535e-08
1938,2.7226949583791793e-08
1939,2.5999884911698246e-08
1940,2.282204625281281e-08
1941,5.017554371988808e-08
1942,3.034211770724937e-08
