year,pouvant_VERB avoir_VERB,pouvant_VERB savoir_VERB
1800,8.269152544926328e-07,1.2576657937302116e-08
1801,7.357854201472946e-07,9.524730337773235e-09
1802,7.92195407939289e-07,1.5664880947952042e-08
1803,5.10988854784955e-07,1.950339267864365e-08
1804,7.316678534152743e-07,3.9549615138412264e-08
1805,5.799470272904728e-07,0.0
1806,8.673824254401552e-07,6.051504897186533e-08
1807,9.138726113633311e-07,2.8469551160981155e-09
1808,6.911525929353957e-07,2.2660739062985158e-08
1809,9.804192586670979e-07,1.3554183553310395e-08
1810,7.418202017106523e-07,1.4040760554223652e-08
1811,7.370805974460382e-07,2.5070767684098882e-09
1812,8.001624678399821e-07,0.0
1813,9.259887860935123e-07,5.751483289628823e-09
1814,5.47521835869702e-07,9.440030979135372e-09
1815,7.983781529219414e-07,5.1247248222807684e-08
1816,7.323628210542665e-07,3.9399267848239106e-08
1817,8.220291647376143e-07,2.80237220096069e-08
1818,5.674480689776829e-07,1.1921176934492905e-08
1819,7.225032732094405e-07,6.210630232317271e-09
1820,6.146836994957994e-07,1.1866481131050932e-09
1821,8.056836122705135e-07,3.155676253641104e-08
1822,8.912772386793222e-07,2.7069162911175226e-08
1823,8.696764552951208e-07,2.9648060007048116e-08
1824,7.654791716049658e-07,5.4737231636181605e-08
1825,6.841829076620343e-07,8.805443485471187e-09
1826,8.992951734398957e-07,1.4973572604048968e-08
1827,7.373818675660004e-07,3.6869092667757286e-08
1828,7.172739628913405e-07,1.6510142586412258e-08
1829,6.935699161658704e-07,8.573175946935407e-09
1830,8.829563284962205e-07,3.026682549034376e-08
1831,8.013880119506211e-07,2.0268567268999504e-08
1832,7.847382335057773e-07,2.0294953273491956e-08
1833,7.448273322552268e-07,1.1583628500844156e-09
1834,7.971689228725154e-07,6.534171426153534e-09
1835,7.956368790473789e-07,8.31939672707449e-09
1836,7.715420906606596e-07,3.091545153210973e-08
1837,7.598017077725672e-07,9.74104708006962e-09
1838,7.87126566592633e-07,1.199310784016916e-08
1839,6.956518063816475e-07,1.7478688718597368e-08
1840,6.019355964781425e-07,2.1019973317493168e-08
1841,8.571432204007579e-07,3.659712533021775e-08
1842,7.258342975546839e-07,1.341653010911159e-08
1843,6.10183917615359e-07,1.8311423488626133e-08
1844,6.487479140560026e-07,2.030767731753258e-08
1845,6.618150223403063e-07,1.5066614622583074e-08
1846,6.732676638421253e-07,2.985795788390533e-08
1847,7.280851832547341e-07,2.1033571329098777e-08
1848,7.047614190014428e-07,8.84974404868899e-09
1849,6.954914510970411e-07,1.8434713311421547e-08
1850,8.072116202129109e-07,2.1724787302446202e-08
1851,8.590652669226984e-07,7.739326512989919e-09
1852,7.382958528978634e-07,1.8229528109259263e-08
1853,7.82920267283771e-07,8.360704129017904e-09
1854,7.144038818296394e-07,2.4419623656513068e-08
1855,6.83002781443065e-07,1.1675261646360013e-08
1856,7.196293267952569e-07,2.174419400091665e-08
1857,6.673022880931967e-07,1.757343248698362e-08
1858,7.599878699693363e-07,2.2510910469009104e-08
1859,7.857223636165145e-07,3.513599722282379e-08
1860,6.449251941376133e-07,3.112485202905191e-08
1861,7.654008982171945e-07,1.3204698667834691e-08
1862,7.10679216808785e-07,2.6204320491274302e-08
1863,7.142307936192083e-07,1.6482248454963155e-08
1864,6.837282171545667e-07,6.233146443435089e-09
1865,7.206178906926652e-07,2.3534221238463715e-09
1866,7.0697353748983e-07,1.2650593461671633e-08
1867,6.730849690939067e-07,2.1837651686951176e-08
1868,8.05199476872076e-07,2.321740844024589e-08
1869,7.720843768765917e-07,2.2952539424636598e-08
1870,6.909529020049376e-07,1.3188312664169644e-08
1871,8.666880830787704e-07,9.559059321873065e-09
1872,8.236476105594193e-07,2.3584624031514068e-08
1873,8.033218250602658e-07,9.577607151811662e-09
1874,8.059747642619186e-07,1.0754296120296658e-08
1875,6.390945941348036e-07,2.4030413214859436e-08
1876,7.781221142977301e-07,1.6928840551599933e-08
1877,6.852775982224557e-07,1.2988113695655557e-08
1878,6.800013920837955e-07,1.7513357875031943e-08
1879,7.532797781095724e-07,2.016077260691418e-08
1880,8.266185886895983e-07,1.4761046607247863e-08
