year,voulait_VERB avoir_VERB,voulait_VERB savoir_VERB
1800,3.144164395507687e-07,1.8550569791386806e-07
1801,3.1907845254863787e-07,2.3573707608193217e-07
1802,2.304975339484372e-07,1.1412984690650774e-07
1803,2.7304750460643845e-07,8.776526527753958e-08
1804,3.806650568094483e-07,1.6314216111368296e-07
1805,2.899735136452364e-07,1.5351540127994667e-07
1806,3.688536480694893e-07,4.034336598124355e-08
1807,6.405649060070573e-07,1.224190668835945e-07
1808,5.325273946255038e-07,1.0877155176558517e-07
1809,5.534624847314262e-07,1.5135503872443223e-07
1810,3.9080117630874156e-07,2.1529166360778618e-07
1811,6.418116527129314e-07,1.8301660986708157e-07
1812,4.56092607237224e-07,1.2802598803318688e-07
1813,5.061305046183406e-07,1.6679301495514665e-07
1814,7.583491878904169e-07,9.754699448194515e-08
1815,5.340502866602037e-07,1.2407228666688752e-07
1816,3.870398472827219e-07,1.8540831092650478e-07
1817,5.153250981493329e-07,2.350878816059776e-07
1818,5.149948378857516e-07,1.8477824426099687e-07
1819,4.978854803994182e-07,1.770029598446854e-07
1820,6.49096534743876e-07,1.779972222948345e-07
1821,7.277778308889538e-07,2.623155808123556e-07
1822,6.987854135331872e-07,2.3359685030754918e-07
1823,6.967294439164107e-07,2.193956447626988e-07
1824,7.39373717806302e-07,2.1558048501901794e-07
1825,7.370155685748614e-07,2.447913232117571e-07
1826,7.275394864336704e-07,2.3164999163327593e-07
1827,7.567381317130639e-07,2.0923209831380518e-07
1828,6.86088128531992e-07,2.293075311854409e-07
1829,1.1179421335327788e-06,4.338027110861731e-07
1830,8.04680041710526e-07,2.713577202939632e-07
1831,6.033797035343014e-07,2.463410453401593e-07
1832,8.172101502168516e-07,2.1783250758744543e-07
1833,6.370995606630458e-07,3.822597420821694e-07
1834,8.699782938492717e-07,2.2589564707686804e-07
1835,7.888300501690537e-07,3.456331114648492e-07
1836,5.867214554200473e-07,2.3388210479424743e-07
1837,8.092027314887673e-07,3.047556162982801e-07
1838,7.549345468760293e-07,2.6763567007037636e-07
1839,7.040415539449896e-07,2.3071868326951517e-07
1840,8.554491728318681e-07,3.242171544570738e-07
1841,7.274481390595611e-07,2.6067428393616865e-07
1842,8.412164334004046e-07,3.407798772059323e-07
1843,7.726239914518374e-07,2.8235035642865114e-07
1844,9.149431434707367e-07,3.133968391466624e-07
1845,1.0747519354481483e-06,3.59924712256543e-07
1846,8.664662232149567e-07,3.5829549460686394e-07
1847,8.645337743473647e-07,3.4786293667821155e-07
1848,7.152202101678995e-07,2.703194468267611e-07
1849,7.348746748903068e-07,4.4075721916669863e-07
1850,6.483491006292752e-07,2.898901243497676e-07
1851,7.732876952104561e-07,3.1344271178568306e-07
1852,7.610827879034332e-07,3.092509075486305e-07
1853,6.993132046773098e-07,3.3681695299492276e-07
1854,6.91023387844325e-07,2.836832777575182e-07
1855,7.833039035176625e-07,3.444202150149067e-07
1856,7.869327873777365e-07,3.101136485383904e-07
1857,7.322263400055817e-07,3.446345431257214e-07
1858,7.384556965917e-07,3.327699573674181e-07
1859,8.106740096991416e-07,3.595074247186858e-07
1860,8.595951612733188e-07,3.8402572499762755e-07
1861,7.620997166668531e-07,3.5181088264835125e-07
1862,7.418533414238482e-07,3.4246335189891397e-07
1863,7.631780363226426e-07,3.3513904895698943e-07
1864,6.64069830236258e-07,3.2604148714199255e-07
1865,6.867285833322967e-07,3.370100500887929e-07
1866,6.553980824719474e-07,2.403612882062589e-07
1867,7.560680046481139e-07,3.2368251368097845e-07
1868,6.490994337582379e-07,2.7169306804353255e-07
1869,6.382759352163703e-07,3.218239044144866e-07
1870,7.683625540266803e-07,2.815417872170656e-07
1871,6.255873472582607e-07,3.1120049470700906e-07
1872,6.646025667578215e-07,3.5618828064798436e-07
1873,7.267009323186358e-07,3.2743443512117665e-07
1874,7.456312118847563e-07,4.044810282266553e-07
1875,7.066086027407437e-07,3.61028355655435e-07
1876,6.336223350444925e-07,2.2188874027051497e-07
1877,5.807542038382962e-07,2.616177141590015e-07
1878,6.19006584656745e-07,2.017055606984286e-07
1879,7.636656391696306e-07,3.4517688618507236e-07
1880,5.949343631073134e-07,2.6826597832041443e-07
1881,5.794153707938676e-07,3.144600952964538e-07
1882,6.35589287867333e-07,3.5273541243441286e-07
1883,6.016010729581467e-07,2.963770100450347e-07
1884,5.888713872082008e-07,3.003772235388169e-07
1885,5.71727866827132e-07,2.784514663289883e-07
1886,6.124337232904509e-07,2.7298150939714105e-07
1887,5.601817179012869e-07,2.761735231615603e-07
1888,6.511811534437584e-07,2.865957924313989e-07
1889,5.488259944286256e-07,2.3619566036359174e-07
1890,5.427032192528713e-07,2.890484438466956e-07
1891,5.029259568800626e-07,2.154486367089703e-07
1892,4.6825786625959154e-07,2.6703861522037187e-07
1893,4.791248215951782e-07,2.709703323944268e-07
1894,4.6316313273564447e-07,3.049945007660426e-07
1895,4.760724152674811e-07,3.021344525677705e-07
1896,5.159900524631666e-07,2.8423679054867534e-07
1897,4.4283024180913344e-07,2.656981337167963e-07
1898,4.611559347722505e-07,2.931027722752333e-07
1899,4.5381418090073566e-07,2.443189544010238e-07
1900,4.656374699152366e-07,2.1542869887980487e-07
1901,4.0909569065661344e-07,2.7328934493198176e-07
1902,3.604148446356703e-07,2.2047174752515275e-07
1903,4.4929834075446706e-07,2.6245069761898776e-07
1904,3.7891106785536977e-07,2.1982216935612087e-07
1905,4.5105034018888546e-07,2.3791099579284491e-07
1906,4.351980180672399e-07,2.1914226522312674e-07
1907,4.4382738906278973e-07,2.1445656273044733e-07
1908,4.5135666937312635e-07,2.544099402257416e-07
1909,3.8946964764363656e-07,2.656975084391888e-07
1910,4.216534819079243e-07,2.474341727065621e-07
1911,4.4318716163616045e-07,2.255838609244165e-07
1912,4.4905212348567147e-07,2.3963337980603683e-07
1913,3.828758678992017e-07,2.3492243883538322e-07
1914,4.4868181703350274e-07,2.3304667706725013e-07
1915,3.0629979619334335e-07,1.5314989809667168e-07
1916,3.955486249651585e-07,2.175517437308372e-07
1917,3.3337929039589653e-07,1.831392921758379e-07
1918,3.9742860735714203e-07,2.1594387078494037e-07
1919,3.7015550446994894e-07,2.532158305257326e-07
1920,3.725538135768147e-07,2.370108518334746e-07
1921,3.483463899556227e-07,2.0446418602659833e-07
1922,3.600432592065772e-07,2.3461835496618733e-07
1923,3.9491325765084184e-07,2.3461245746148052e-07
1924,3.2357976920138753e-07,2.114226447247347e-07
1925,4.399271062993648e-07,2.485588197487232e-07
1926,3.655933369373088e-07,3.176649556735356e-07
1927,4.403943876241101e-07,3.500856564642163e-07
1928,4.124800909721671e-07,1.8852968253213476e-07
1929,3.698614818858914e-07,2.7962420290350565e-07
1930,4.264462916125922e-07,2.415828816992871e-07
1931,3.2049052833826863e-07,2.4293410660902737e-07
1932,3.78104004994384e-07,2.6631673222254904e-07
1933,4.03767302259439e-07,2.4432509349026077e-07
1934,3.546547873156669e-07,2.9354870889619633e-07
1935,3.4708023122220766e-07,2.4295616185554536e-07
1936,2.570439505689137e-07,2.5825642069321475e-07
1937,3.3618286465753044e-07,2.1404900962807005e-07
1938,3.176477605393302e-07,1.8021647463228874e-07
1939,3.0129280048640794e-07,2.4470480752825097e-07
1940,2.510425076707179e-07,2.510425076707179e-07
1941,2.7448973582977487e-07,2.4792620934022125e-07
1942,2.2453167503044824e-07,2.791474855712295e-07
1943,3.8322704654092377e-07,3.1064615768627846e-07
1944,3.084658715124533e-07,2.634812688029342e-07
1945,3.7034567412774777e-07,3.180615806286369e-07
1946,3.0765639280616597e-07,3.5359605021767493e-07
1947,3.7193117918832286e-07,3.147110021473054e-07
1948,3.163719384247088e-07,2.696228307286219e-07
1949,2.7978472871836857e-07,2.650592136888008e-07
1950,2.9459951633725723e-07,2.9885364938309067e-07
1951,2.9638695764333534e-07,2.9638695764333534e-07
1952,3.1318066362473473e-07,2.5729320896061836e-07
1953,2.7365521759747935e-07,2.585718448244734e-07
1954,3.1565292601953843e-07,3.2640269864714355e-07
1955,2.6842837996809976e-07,2.515342885089922e-07
1956,2.389592737017665e-07,2.8518132921817596e-07
1957,2.738861724083108e-07,2.9685728009098966e-07
1958,2.456856407206942e-07,2.547851067902229e-07
1959,2.7050108997173083e-07,2.7515153533386183e-07
1960,2.5399458536412567e-07,3.1974249736776983e-07
1961,2.688937570383132e-07,3.279531313182815e-07
1962,2.87924819986074e-07,2.720699399105797e-07
1963,2.7092764298686234e-07,3.1166376857072464e-07
1964,2.914220829097758e-07,2.944640584701119e-07
1965,2.768854017176636e-07,2.9220711894595297e-07
1966,3.2292805940414837e-07,3.2514370218450495e-07
1967,3.0518776839016937e-07,3.027226114227233e-07
1968,3.2293280582962325e-07,2.90594613261419e-07
1969,2.6750953452392423e-07,2.2708789515490935e-07
1970,2.6718592494034965e-07,2.556891161020758e-07
1971,2.4664308284627623e-07,2.0913277865020063e-07
1972,2.2572646685148356e-07,2.2983057590408862e-07
1973,2.3541380755887076e-07,2.282466340375322e-07
1974,2.2727309101355786e-07,2.5483839749540493e-07
1975,2.3245723923537298e-07,2.3017264538793825e-07
1976,2.1482861711774603e-07,2.2454160841789417e-07
1977,1.9628451752851106e-07,2.321328764764985e-07
1978,2.180197071766088e-07,2.39405835600337e-07
1979,1.9662630279526638e-07,2.8850229227828095e-07
1980,2.1262464144911064e-07,2.859630683360592e-07
1981,1.9672458506647672e-07,3.15012357532396e-07
1982,2.1602107835860807e-07,2.7933759838560945e-07
1983,2.04616242172051e-07,2.9808290946675697e-07
1984,2.0586480786732864e-07,2.7719261197489686e-07
1985,2.1956786611099233e-07,2.688954339191696e-07
1986,2.40978323517993e-07,2.8953365927009145e-07
1987,2.2304482172330609e-07,2.9698568937419623e-07
1988,2.1227801028089743e-07,3.771832268739672e-07
1989,2.2446420189226046e-07,3.232503900107986e-07
1990,2.0650387000387127e-07,3.0512444482155843e-07
1991,2.0573742176566157e-07,3.012793001744285e-07
1992,2.1598981447823462e-07,2.749462169049366e-07
1993,2.1547516837472358e-07,3.284750107468426e-07
1994,2.3578921570788225e-07,3.3548533906468947e-07
1995,2.2232048024761752e-07,2.9823479508195305e-07
1996,1.8256275780004216e-07,3.02669832308311e-07
1997,1.9946760687616916e-07,2.876936662232765e-07
1998,1.993078058148967e-07,2.937167664640583e-07
1999,2.0200289441163477e-07,3.0940262263357e-07
2000,2.063220705394997e-07,2.8805564511458215e-07
2001,2.2913737041108106e-07,3.237715588966239e-07
2002,2.1949919926100847e-07,3.5444082868707483e-07
2003,2.4418167754447495e-07,3.775232073621737e-07
2004,2.369777689636976e-07,3.633952871950896e-07
2005,2.4680548449396156e-07,3.715593379638449e-07
2006,2.532502207941434e-07,4.3443739627946343e-07
2007,2.856052958577493e-07,6.143509381217882e-07
2008,3.2824860340952e-07,6.654378239545622e-07
2009,3.4664759596125805e-07,7.419307621603366e-07
2010,4.175832941655244e-07,9.523166681901785e-07
2011,4.351680047420814e-07,1.0592402759357356e-06
2012,5.460421448333364e-07,1.3450202231979347e-06
2013,6.172333542053821e-07,1.5616311657140614e-06
2014,6.39239431166061e-07,1.5701642723797704e-06
2015,7.093041176631232e-07,1.5101528560990118e-06
2016,6.785709842915821e-07,1.4977860018916545e-06
2017,5.68779739751335e-07,1.5385478491225513e-06
2018,6.923493742760911e-07,1.6663367432556697e-06
2019,6.660629310317745e-07,1.5601841596435406e-06
