year,maintenant_VERB en_ADP
1800,1.8864987794131594e-08
1801,8.334139067756041e-08
1802,1.1189200677108602e-07
1803,7.411289004721766e-08
1804,8.157108055684148e-08
1805,4.5486043376286034e-08
1806,5.187004603612877e-08
1807,4.839823830593559e-08
1808,2.039466551195801e-08
1809,4.292158095609011e-08
1810,4.212228077449254e-08
1811,5.0141537144554604e-08
1812,5.3344166417446104e-08
1813,6.614205716459765e-08
1814,5.97868634599763e-08
1815,1.0249449644561537e-07
1816,1.1819779643928996e-07
1817,8.251429051142622e-08
1818,8.702459552978326e-08
1819,4.0369094733705424e-08
1820,8.543866414356671e-08
1821,7.691961201317099e-08
1822,1.3634837614517892e-07
1823,9.487379770689586e-08
1824,1.1621135342920752e-07
1825,1.2415674177645997e-07
1826,9.424542923852641e-08
1827,1.1060727445055818e-07
1828,8.346793833879929e-08
1829,7.973054039212002e-08
1830,8.871310797076148e-08
1831,1.387617345471881e-07
1832,1.1906372776593344e-07
1833,1.054110185805257e-07
1834,1.3348379468425264e-07
1835,1.2554725969948777e-07
1836,9.073012563476368e-08
1837,1.1758835682940116e-07
1838,9.278878110308142e-08
1839,1.5241415951550152e-07
1840,8.853866972913238e-08
1841,1.2841097429827641e-07
1842,1.1001554867107188e-07
1843,1.5771452410717757e-07
1844,1.0592923160857026e-07
1845,9.542189616240648e-08
1846,1.33482629394166e-07
1847,1.1865091664731153e-07
1848,1.3033259449457546e-07
1849,1.0641856817983353e-07
1850,9.911934029105396e-08
1851,9.093708541740853e-08
1852,9.570501902089745e-08
1853,1.8632427156717313e-07
1854,1.4236120193800161e-07
1855,1.2630511037059478e-07
1856,1.439258596747095e-07
1857,1.0348799150960986e-07
1858,1.2772494528690004e-07
1859,1.0795407234809318e-07
1860,1.7118668438342866e-07
1861,1.4949604576486308e-07
1862,1.4141296844627504e-07
1863,1.433456162658331e-07
1864,1.6302074357099627e-07
1865,1.6803434732537426e-07
1866,1.7954111797280348e-07
1867,1.412168160186411e-07
1868,1.0521931415041763e-07
1869,1.450405164860058e-07
1870,1.5309910850191955e-07
1871,1.327647112248087e-07
1872,1.348556679658941e-07
1873,1.2750189171129023e-07
1874,1.69678898487291e-07
1875,1.4017741989391652e-07
1876,1.451043516453865e-07
1877,1.292626592430679e-07
1878,1.6124366197800555e-07
1879,1.4418007765470975e-07
1880,1.559536570994169e-07
1881,1.3178039637296024e-07
1882,1.3377324137309188e-07
1883,1.6493474674916797e-07
1884,1.333542769543783e-07
1885,1.3858117142717674e-07
1886,2.084468775365167e-07
1887,1.7040493105469068e-07
1888,1.5154068933043163e-07
1889,1.5850795875849144e-07
1890,1.4616281873713888e-07
1891,1.7274136610012647e-07
1892,1.498174526659568e-07
1893,1.5334457259541523e-07
1894,1.4052432106836932e-07
1895,1.2518718506271398e-07
1896,2.0403720668582537e-07
1897,1.462505139215864e-07
1898,1.0354789736766179e-07
1899,1.74118724771688e-07
1900,1.5625070659552875e-07
1901,1.391595958466496e-07
1902,2.6662840468816285e-07
1903,1.663267852336503e-07
1904,1.7628769910515985e-07
1905,1.60499610046827e-07
1906,1.6821483939111204e-07
1907,1.517138770168458e-07
1908,1.5618216764323734e-07
1909,1.1937135013795341e-07
1910,1.4108557877534622e-07
1911,1.5375881901036337e-07
1912,1.4482191090792185e-07
1913,1.5961998656166543e-07
1914,1.6139152592131722e-07
1915,1.649306682338647e-07
1916,1.6810817271561973e-07
1917,2.708706858811638e-07
1918,2.3087616796146904e-07
1919,1.9612717494510434e-07
1920,1.5901686367669754e-07
1921,1.7568774524079345e-07
1922,1.4829650751835288e-07
1923,1.443768979925153e-07
1924,1.5341032622018247e-07
1925,1.8366957021953567e-07
1926,1.270659737429014e-07
1927,1.438250052387957e-07
1928,1.3939769871740282e-07
1929,1.6487801701714488e-07
1930,1.7225909232365666e-07
1931,2.1784231307719892e-07
1932,1.8631212128639163e-07
1933,1.537068783363793e-07
1934,1.5815686538189766e-07
1935,1.9268937023753097e-07
1936,1.6368365152175102e-07
1937,1.6998009755297971e-07
1938,1.6206517727823666e-07
1939,1.6823454984660202e-07
1940,1.343965010391912e-07
1941,1.151085982087352e-07
1942,1.7598428314613557e-07
1943,1.3935529352693266e-07
1944,1.2210107058763242e-07
1945,1.5903079031431844e-07
1946,1.7958224418634927e-07
1947,1.609317621387163e-07
1948,1.7503739968560694e-07
1949,1.8161465220600803e-07
1950,1.7867407109406486e-07
1951,1.7591312939657655e-07
1952,1.9613335666690546e-07
1953,1.7669077578830183e-07
1954,1.8860994543956622e-07
1955,1.6612526110293402e-07
1956,1.8227186160402198e-07
1957,1.7405024266281544e-07
1958,1.7537156793423492e-07
1959,1.5346481063716055e-07
1960,1.5502666883548955e-07
1961,1.7370398097682482e-07
1962,1.5347534088050452e-07
1963,1.4613280541198037e-07
1964,1.3871448345526005e-07
1965,1.4665076264464005e-07
1966,1.4955502081193117e-07
1967,1.602359134267317e-07
1968,1.5719955115400808e-07
1969,1.4170284146075574e-07
