year,étant_VERB à_ADP,étant_VERB a_ADP,étant_VERB çà_ADJ,etant_VERB à_ADP,etant_VERB a_ADP
1800,5.222456984199653e-06,2.2009152278457123e-08,0.0,3.5529058095562505e-07,0.0
1801,4.47424213945169e-06,1.6668277869058556e-08,0.0,1.357274115321161e-07,2.3811825844433088e-09
1802,4.815831744053867e-06,2.4616241489638924e-08,0.0,3.513409012612101e-07,4.475680270843441e-09
1803,4.415568085391897e-06,9.751696339321825e-09,0.0,2.2428900603443935e-07,3.900678446910888e-09
1804,4.600114820618728e-06,2.9662211797898408e-08,0.0,2.867347088653105e-07,0.0
1805,4.989250385278865e-06,1.421438877713399e-08,0.0,2.7860202944651746e-07,2.842877711017877e-09
1806,6.172535130133383e-06,6.627838988748636e-08,0.0,1.8154515579738018e-07,8.645007376628655e-09
1807,5.224162585193426e-06,1.9928686256776018e-08,0.0,3.074711489858828e-07,0.0
1808,5.420449035398178e-06,5.4385777215060216e-08,0.0,3.3084679529338246e-07,2.2660739951163578e-09
1809,4.65134366578468e-06,2.4849335922283444e-08,0.0,2.8915589211919723e-07,4.518061036407062e-09
1810,5.30038721535675e-06,2.3401267590372754e-08,0.0,4.188826903117615e-07,0.0
1811,5.698585312075011e-06,2.2563690915688994e-08,0.0,4.136676814425755e-07,7.521229861140455e-09
1812,5.339750757116235e-06,4.267533304513904e-08,0.0,2.2671270727414594e-07,0.0
1813,5.023920792268655e-06,2.8757416004054903e-08,0.0,1.6104152678053651e-07,0.0
1814,5.396551486569479e-06,3.1466771410748606e-08,0.0,4.81441601252186e-07,0.0
1815,4.223852066331801e-06,5.1247248222807684e-08,0.0,2.346584526691231e-07,2.697223555614414e-09
1816,5.105681310624277e-06,6.257530493769536e-08,0.0,1.9467872292011634e-07,2.3176038865813098e-09
1817,5.066066044889794e-06,1.8682480673604118e-08,0.0,2.895784492196185e-07,1.556873407970727e-09
1818,5.982046808128416e-06,5.841376982118618e-08,0.0,4.780392250935961e-07,1.0729059418679299e-08
1819,4.585515089416958e-06,2.1737205702088147e-08,0.0,2.3496883194695783e-07,1.035105001712111e-09
1820,4.274306718343723e-06,4.6279276411098635e-08,0.0,3.4531461068354474e-07,0.0
1821,4.465281975285507e-06,2.2681422517933925e-08,0.0,2.1793889448673553e-07,0.0
1822,5.440901901465622e-06,4.0102463572111446e-08,0.0,2.9475310725501913e-07,3.0076847679083585e-09
1823,6.603611424793598e-06,5.237823907933148e-08,0.0,3.4095269541012385e-07,2.9648061783404955e-09
1824,5.291827093856227e-06,6.063201052342038e-08,0.0,2.2737004190531707e-07,5.894778887238772e-09
1825,5.714732679962253e-06,4.3146669792548664e-08,0.0,2.6592437762928967e-07,2.641632912414593e-09
1826,6.674690510521941e-06,4.844391454650321e-08,0.0,1.682325017071662e-07,8.807984341885344e-10
1827,5.710100666078688e-06,2.94952732793341e-08,0.0,1.8342373486746055e-07,9.217273055917019e-10
1828,4.799865180871166e-06,1.9261832961969816e-08,0.0,2.4856936420292186e-07,1.8344602503717056e-09
1829,5.197059365968926e-06,2.0575622539098504e-08,0.0,2.254745297136651e-07,1.714635211591542e-09
1830,5.106743699911931e-06,2.922313990794123e-08,0.0,2.52571431325066e-07,7.305784865963005e-09
1831,4.671125132915677e-06,4.5214497923495856e-08,0.0,1.5903030003983076e-07,3.1182412207897414e-09
1832,4.804492270693572e-06,1.7588960066206027e-08,0.0,1.3529968878600585e-07,1.3529969367098715e-09
1833,4.247716802296964e-06,1.5058717162119706e-08,0.0,1.308949988398922e-07,1.1583628500844156e-09
1834,4.678466922314328e-06,2.987049874114689e-08,7.467624740797874e-09,1.98825508945788e-07,0.0
1835,5.012058323927704e-06,4.0084366048631637e-08,0.0,1.346229581145053e-07,2.2689263801112247e-09
1836,4.931014103704001e-06,5.712637507482299e-08,0.0,1.7137912422526824e-07,1.3441500135158435e-09
1837,5.0472539072643485e-06,3.757261057835137e-08,0.0,1.5585675372520313e-07,4.870523429012508e-09
1838,5.396267312107739e-06,4.986607771151341e-08,0.0,2.133510705881747e-07,6.312161904276081e-09
