year,devenant_VERB en_ADP
1800,1.0375742931501009e-07
1801,3.809892135109294e-08
1802,5.818384352096473e-08
1803,2.5354410126965377e-08
1804,1.730295728918918e-08
1805,3.1271653710973624e-08
1806,1.4120178093435243e-07
1807,4.839823830593559e-08
1808,5.4385775882792586e-08
1809,2.25903047379461e-08
1810,3.042164919975221e-08
1811,2.2563691359778204e-08
1812,1.3336041604361526e-08
1813,2.8757416004054903e-08
1814,2.2026739543434815e-08
1815,5.3944472000466703e-08
1816,3.7081662185300956e-08
1817,6.227493631882908e-09
1818,3.5763532135746345e-09
1819,4.5544620519422097e-08
1820,2.254631326081835e-08
1821,2.5639868894700157e-08
1822,3.0076847679083585e-08
1823,7.906149512848515e-09
1824,3.2000230021367315e-08
1825,1.7610886970942374e-08
1826,1.2331177856594877e-08
1827,3.041700225026034e-08
1828,2.8434133270138773e-08
1829,2.2290258527846163e-08
1830,4.0703660886265425e-08
1831,7.016042502527853e-08
1832,4.7354891563600177e-08
1833,2.7800709290204395e-08
1834,3.267085801894609e-08
1835,2.4201881387853064e-08
1836,1.6129799718100912e-08
1837,1.87863058442872e-08
1838,1.7674054220151447e-08
1839,1.8876983531868063e-08
1840,3.121147429396842e-08
1841,3.531301828729738e-08
1842,2.2137275124123335e-08
1843,2.008349753168659e-08
1844,2.7991662321369404e-08
1845,2.9017185099178278e-08
1846,3.33706573485415e-08
1847,3.883121024728098e-08
1848,3.942158599556933e-08
1849,2.5976186535103807e-08
1850,3.733947906425783e-08
1851,1.4188765717904062e-08
1852,1.9531636752390114e-08
1853,2.9859659633757474e-08
1854,1.610655964157104e-08
1855,2.7065379271107304e-08
1856,3.882891874695815e-08
1857,5.369659916709679e-08
1858,3.034079298913639e-08
1859,3.258990943777462e-08
1860,4.897586691754441e-08
1861,2.5937801240161207e-08
1862,2.981871105589562e-08
1863,2.946826249683454e-08
1864,3.404256787575832e-08
1865,3.294790928975999e-08
1866,2.919367680931373e-08
1867,3.008743121313273e-08
1868,6.076044911651479e-08
1869,2.197583626184496e-08
1870,2.465641024684828e-08
1871,1.911811864374613e-08
1872,2.9027228620748247e-08
1873,4.1303430009520525e-08
1874,5.735624597491551e-08
1875,3.3757011408397375e-08
1876,2.7811667635546655e-08
1877,3.587193120324628e-08
1878,5.435179772916854e-08
1879,2.504823370941267e-08
1880,3.0805662021293756e-08
1881,2.998178416646624e-08
1882,3.1945848633085916e-08
1883,3.033282780506852e-08
1884,4.2250860587955685e-08
1885,4.640857653726016e-08
1886,4.001147502208369e-08
1887,3.4603299781110763e-08
1888,2.3460273723685532e-08
1889,4.1976417008982025e-08
1890,2.6872983838188702e-08
1891,3.1871099537283953e-08
1892,3.761107336686109e-08
1893,4.3724757148311255e-08
1894,4.663139208105349e-08
1895,2.467631965430428e-08
1896,4.0689499769541726e-08
1897,4.8944393427063915e-08
1898,5.2056865484928494e-08
1899,4.0351324059884064e-08
1900,4.049021384844309e-08
1901,3.297355988252093e-08
1902,4.17374117489544e-08
1903,2.4841012802312434e-08
1904,1.666133897515465e-08
1905,6.708986433068276e-08
1906,2.5206503551089554e-08
1907,3.3428481316377656e-08
1908,3.487086175368859e-08
1909,2.6954818821423032e-08
1910,3.153049021875631e-08
1911,3.351835786702395e-08
1912,4.740573444905749e-08
1913,3.340883480973389e-08
1914,2.8126324380650658e-08
1915,4.123266705846618e-08
1916,1.9777431248257926e-08
1917,2.631941953268324e-08
1918,2.412139110674616e-08
1919,2.3940405213807026e-08
1920,2.7260034229925623e-08
1921,3.1048266180278006e-08
1922,1.9920426197472807e-08
1923,3.1847843473542525e-08
1924,4.512068585427187e-08
1925,3.189471442510694e-08
1926,3.4553028882555736e-08
1927,2.2298449309232637e-08
1928,3.085031252680892e-08
1929,3.230717737778832e-08
1930,2.6259009189288918e-08
1931,3.5356606531422585e-08
1932,4.4934100884574946e-08
1933,7.685343916818965e-08
1934,3.354842448288764e-08
1935,4.188899538348778e-08
1936,5.577368611398015e-08
1937,5.0364473480613015e-08
1938,3.759912203804561e-08
1939,4.5882153187903896e-08
1940,4.81798743123818e-08
1941,5.60785480274717e-08
1942,3.034211815133858e-08
1943,2.0322646676618206e-08
1944,3.855823393905666e-08
1945,4.574858536443571e-08
1946,2.227376683094917e-08
1947,2.5033829231801974e-08
1948,5.979538286737807e-08
1949,5.3011845579931105e-08
1950,3.616023036556726e-08
1951,4.797630737130021e-08
1952,3.9015773722894664e-08
1953,4.0940545176226806e-08
1954,4.397641362174909e-08
1955,4.129667274810345e-08
1956,4.883839466174322e-08
1957,5.742774433770137e-08
1958,3.3088973339090444e-08
1959,4.4954337141689393e-08
1960,5.3982500247684584e-08
1961,5.975417138870398e-08
1962,5.580921680348183e-08
1963,4.849539791962343e-08
1964,5.901449284806404e-08
1965,6.894774884358412e-08
1966,6.813061759203265e-08
1967,6.015009290649687e-08
1968,5.88375463905777e-08
1969,4.3146698658347304e-08
1970,6.99006221793752e-08
1971,5.087013477123037e-08
1972,4.6684338173008655e-08
1973,6.450448353234606e-08
1974,8.550868813017587e-08
1975,8.224531455880424e-08
1976,5.4278505245974884e-08
1977,6.346924408262566e-08
1978,5.940591307762588e-08
1979,6.086052195541924e-08
1980,6.253665674194053e-08
1981,7.717170547039132e-08
1982,8.566352960315271e-08
1983,8.273064366903782e-08
1984,6.668859953151696e-08
1985,6.978047650818553e-08
1986,8.272390061847545e-08
1987,6.783006512023348e-08
1988,7.675588875599715e-08
1989,8.561470821177863e-08
1990,8.71784138212206e-08
1991,8.616353852630709e-08
1992,8.650612670635383e-08
1993,7.921066469407378e-08
1994,6.962903142948562e-08
1995,8.621697134003625e-08
1996,8.967995057673761e-08
1997,8.534912154800622e-08
1998,9.393214384090243e-08
1999,8.226361813967742e-08
2000,9.05696424524649e-08
2001,8.10524198868734e-08
2002,8.411944918407244e-08
2003,9.625591701478697e-08
2004,9.954828072977762e-08
2005,8.962461350847661e-08
2006,1.0171188336016712e-07
2007,7.789235212385393e-08
2008,7.280221581140722e-08
2009,7.581426331171315e-08
2010,7.038451599328255e-08
2011,7.380265998335744e-08
2012,6.263825014229951e-08
2013,4.9088601628000106e-08
2014,4.828942934409497e-08
2015,6.006919051060322e-08
2016,4.370527406649671e-08
2017,5.3330960980702e-08
2018,5.601782859798732e-08
2019,4.897896488387232e-08
