year,appelant_VERB en_ADP,appelant_VERB sans_ADP
1800,1.2576657937302116e-08,2.5153315874604232e-08
1801,3.333655484993869e-08,0.0
1802,8.503792514602537e-08,3.1329761895904085e-08
1803,6.826187615160961e-08,2.145373123596528e-08
1804,8.404293083685843e-08,4.943701892301533e-09
1805,1.194008660831969e-07,1.1371510844071508e-08
1806,7.492339726411501e-08,0.0
1807,2.1352163415144787e-07,4.27043254092041e-08
1808,1.087715486569607e-07,6.345007363961486e-08
1809,1.0843346842648316e-07,7.228897658251299e-08
1810,1.4508786394529238e-07,3.042164919975221e-08
1811,1.6546707115594472e-07,2.0056614147279106e-08
1812,2.2404549326893175e-07,3.7340914360584065e-08
1813,1.380355929558874e-07,2.8757416004054903e-08
1814,2.2970742463712668e-07,1.5733385705374303e-08
1815,1.6722786710943183e-07,4.045835311217161e-08
1816,5.0987285504788815e-08,1.8540831092650478e-08
1817,3.7364962679475866e-08,9.341240669868967e-09
1818,8.821671326764147e-08,1.3113295338484932e-08
1819,1.0351050150347874e-07,1.5526575580793178e-08
1820,9.611849804969097e-08,3.20394981656591e-08
1821,5.719663043191048e-08,2.0709125858608957e-08
1822,1.3233812978796777e-07,2.3058916553964082e-08
1823,1.620760627929485e-07,3.656594316225892e-08
1824,1.4315891938565528e-07,1.7684335773537896e-08
1825,1.4000654857682093e-07,3.874394849390228e-08
1826,1.1890779205714352e-07,6.605988289720699e-08
1827,1.9356274094661785e-07,5.2538457140371975e-08
1828,2.283903057787029e-07,5.77854990524429e-08
1829,1.6117570567075745e-07,1.0287811136322489e-07
1830,1.3672254794983019e-07,3.652892388572582e-08
1831,1.808579952466971e-07,3.274153215215847e-08
1832,1.6235962618793565e-07,7.576783067619886e-08
1833,8.571885246055899e-08,2.3167257112710615e-08
1834,5.880754372356023e-08,3.640467127752345e-08
1835,7.563087933704082e-08,2.193295500774184e-08
1836,7.661655132551459e-08,5.511014999903807e-08
1837,1.1897993390519446e-07,4.313892532081809e-08
1838,8.458297173774554e-08,4.5447563934430946e-08
1839,1.2584655451064464e-07,8.389770300709642e-08
1840,1.2611982924681797e-07,5.414235326739458e-08
1841,1.5216699544851053e-07,3.531301828729738e-08
1842,1.247737344556299e-07,5.2324466537356784e-08
1843,1.1459407289748924e-07,2.3627643841450663e-08
1844,7.629099935124728e-08,2.6893950177964143e-08
1845,1.2722919962016022e-07,6.138250796539069e-08
1846,1.3582442437432007e-07,7.318126904465316e-08
1847,1.024712474873013e-07,5.3392914090011345e-08
1848,1.5446825329945568e-07,4.263967667839097e-08
1849,1.407741716530353e-07,8.547003460535052e-08
1850,1.6768819754986453e-07,8.554135177973876e-08
1851,2.521730433358016e-07,6.900899762740664e-08
1852,2.2005643884881465e-07,4.8829090104618444e-08
1853,1.0092565183583702e-07,3.4637203327747557e-08
1854,1.4288077476720673e-07,5.7152309551611324e-08
1855,1.6557643078840556e-07,4.139410947345823e-08
1856,1.0665009470001152e-07,1.7602443946884705e-08
1857,1.1862067106349627e-07,2.636014961865385e-08
1858,1.732361247785974e-07,6.802209640000001e-08
1859,1.7466154877965323e-07,3.1571474323754956e-08
1860,9.840945480732444e-08,3.661747205452315e-08
1861,9.196129219235516e-08,3.8670901147952463e-08
1862,1.034618861972536e-07,3.930648162508987e-08
1863,1.1687412665439822e-07,3.6960195182178524e-08
1864,9.445614068681607e-08,4.123465868755005e-08
1865,9.978510306929422e-08,2.8241066374334878e-08
1866,9.05004030049561e-08,1.0704348518686402e-08
1867,8.735060852416154e-08,3.736664844211646e-08
1868,8.595380962539423e-08,3.754304245262574e-08
1869,1.1036753555515588e-07,3.662639447288285e-08
