year,baisant_VERB en_ADP,baisant_VERB sans_ADP
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,3.1205427575287104e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,1.9900143755080535e-08
1806,1.152667650217154e-08,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,9.036122072814123e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,1.7254450312975678e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,1.3486118000116676e-08
1816,9.270415546325239e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,6.210630232317271e-09,2.070210003424222e-09
1820,2.8479554714522237e-08,0.0
1821,9.86148829262845e-10,0.0
1822,3.0076847679083585e-08,0.0
1823,1.4824030003524058e-08,1.9765373782121287e-09
1824,8.421112696055388e-10,0.0
1825,6.163809906922779e-09,0.0
1826,2.6423952803611428e-08,0.0
1827,0.0,0.0
1828,9.172301140836225e-09,0.0
1829,6.858540846366168e-09,1.800366966620004e-08
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,6.764984572527055e-09,4.058990921151917e-09
1833,0.0,0.0
1834,3.733812370398937e-09,0.0
1835,7.563087933704082e-10,1.5126175867408165e-09
1836,7.392825018825988e-09,5.376600054063374e-09
1837,1.6698937344017395e-08,0.0
1838,1.5149188570262595e-08,1.3255539776935166e-08
1839,2.0974426639952526e-09,2.7965900706306e-09
1840,1.2739377330817092e-09,0.0
1841,1.2841097074556274e-09,3.2102742686390684e-09
1842,1.0733224087289273e-08,0.0
1843,9.451057714215949e-09,0.0
1844,4.9397050894128824e-09,2.7442805805577564e-09
1845,5.580227946389016e-10,1.674068439427856e-09
1846,6.439951683034906e-09,0.0
1847,1.9954928376364478e-08,0.0
1848,7.24069959545659e-09,0.0
1849,0.0,3.3517659758786067e-09
1850,6.788996032014438e-09,2.7155984128057753e-09
1851,5.159551008659946e-09,1.9348316282474798e-09
1852,4.557382027314816e-09,4.557382027314816e-09
1853,8.360704129017904e-09,4.777545470346922e-09
1854,1.2469595134234623e-08,2.5978321716024766e-09
1855,1.0083180512765466e-08,1.5920811335945473e-09
1856,3.6240324075009767e-09,1.0354378465748937e-09
1857,6.345961978126979e-09,1.4644527812635033e-09
1858,6.8511463169329545e-09,1.468102750479261e-09
1859,5.092173349652285e-09,3.055304009791371e-09
1860,8.696649622663699e-09,0.0
1861,5.187560159214399e-09,4.715963730639317e-10
1862,4.9697850279528666e-09,4.517986262886353e-10
1863,3.496234635136375e-09,0.0
1864,8.151037178549814e-09,3.3563094525845827e-09
1865,5.6482134525026595e-09,4.706844358715045e-10
1866,1.216403244796993e-08,1.4596839292835284e-09
1867,5.338092634588065e-09,2.426405742994575e-09
1868,1.975949626142892e-09,0.0
1869,1.4650557433881772e-09,4.883519144627257e-10
1870,5.734048791339319e-09,5.734048791339319e-10
1871,9.559059321873065e-09,0.0
1872,3.628403577593531e-09,6.047339295989218e-10
1873,1.2570609442263958e-08,0.0
1874,9.559374625212058e-09,1.1949218281515073e-09
1875,8.010138330405425e-09,0.0
1876,6.04601479992084e-10,0.0
1877,2.4739263970730008e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,8.55305515301552e-09,6.10932526790009e-10
1880,2.5671385017744797e-09,1.0268554007097919e-08
1881,3.4862537301449947e-09,2.7890030285249168e-09
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,1.2638677882037541e-09,1.8958017378167824e-09
1884,0.0,0.0
1885,6.445635691854079e-10,3.2228177904158883e-09
1886,3.872078213618124e-09,0.0
1887,6.528924512139156e-09,1.9586774424595887e-09
1888,6.340614699951175e-10,1.268122939990235e-09
1889,8.771191772893872e-09,1.2530273485467092e-09
1890,3.9326319978272295e-09,0.0
1891,6.374220040683554e-10,0.0
1892,0.0,0.0
1893,6.158416554491453e-10,6.158416554491453e-10
1894,2.520615716150587e-09,0.0
1895,6.018614495673091e-09,0.0
1896,0.0,7.076434549446731e-09
1897,4.078699600285063e-09,0.0
1898,5.092519295146758e-09,0.0
1899,6.080336234504102e-09,0.0
1900,8.30568502863116e-09,5.191053142894475e-10
1901,7.824234593556412e-09,0.0
1902,4.910283846193408e-10,0.0
1903,0.0,1.6200660812870638e-09
1904,0.0,5.374625189347171e-10
1905,3.6125313851442797e-09,5.160759042333041e-10
1906,0.0,0.0
1907,0.0,0.0
1908,4.911389073214423e-10,0.0
1909,2.7504918342913243e-09,2.7504918342913243e-09
1910,5.344150677544235e-10,0.0
1911,2.128149656499545e-09,2.128149656499545e-09
1912,2.6047106693738442e-09,0.0
1913,5.30298971401777e-10,0.0
1914,1.3393487430235496e-09,1.3393487430235496e-09
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,1.514446346106979e-09,0.0
1921,7.572747429129834e-10,0.0
1922,3.6889677978990676e-09,2.2133805899215986e-09
