year,ressemblant_VERB en_ADP,ressemblant_VERB sans_ADP
1800,1.3519907327008696e-07,1.5720821977538435e-08
1801,7.381665767525192e-08,0.0
1802,1.0070280609397742e-07,6.713520406265161e-09
1803,1.6577882888668682e-07,5.851017448321727e-09
1804,4.943701981119375e-08,0.0
1805,1.3361525930122298e-07,0.0
1806,2.881669125542885e-08,0.0
1807,6.263301344233696e-08,0.0
1808,1.6089124699192325e-07,0.0
1809,8.358412628695078e-08,0.0
1810,8.89248141788812e-08,0.0
1811,3.008491944456182e-08,0.0
1812,3.467370746079723e-08,0.0
1813,4.026038169513413e-08,0.0
1814,6.922689976818219e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,6.721051448721482e-08,0.0
1817,9.652615062805125e-08,0.0
1818,9.656153565629211e-08,0.0
1819,6.93520334493769e-08,0.0
1820,6.051905643289501e-08,0.0
1821,9.368413600441272e-08,2.9584463767662328e-09
1822,5.012807946513931e-08,1.0025615893027862e-09
1823,5.138997138942614e-08,9.882686891060644e-10
1824,7.410579172528742e-08,7.57900142644985e-09
1825,1.2063456722444243e-07,0.0
1826,8.367585024871005e-08,0.0
1827,6.083400450052068e-08,8.295545583791863e-09
1828,5.4116576109208836e-08,0.0
1829,9.087566610332942e-08,8.57317605795771e-10
1830,8.140732177253085e-08,7.305785310052215e-09
1831,7.795603096383275e-08,1.091384405071949e-08
1832,1.2176973029909277e-07,0.0
1833,7.066013552048389e-08,0.0
1834,7.747660646373333e-08,0.0
1835,7.184933537018878e-08,0.0
1836,6.04867480547e-08,2.016224964762614e-09
1837,1.224588856985065e-07,0.0
1838,6.56464820281144e-08,0.0
1839,6.50207212515852e-08,0.0
1840,5.477932418784803e-08,0.0
1841,7.704657889462396e-08,0.0
1842,8.117000760421433e-08,2.0124795163667386e-09
1843,7.029224491361674e-08,1.1813822142769936e-09
1844,4.50062032086862e-08,0.0
1845,4.185170965342877e-08,5.580227946389016e-10
1846,6.439951505399222e-08,7.025401593807601e-09
1847,4.314578916364553e-08,0.0
1848,5.229394162142853e-08,0.0
1849,6.954914510970411e-08,0.0
1850,6.721106160512136e-08,2.7155984128057753e-09
1851,5.546517201082679e-08,2.579775504329973e-09
1852,6.250123618656289e-08,6.510545436100301e-10
1853,5.912212586167698e-08,0.0
1854,5.0917510208137173e-08,2.5978321716024766e-09
1855,7.005156987816008e-08,1.0613874223963649e-09
1856,6.523258377910679e-08,1.0354378465748937e-09
1857,4.29572786231347e-08,4.881509085841174e-10
1858,6.410715513993637e-08,4.893676019968041e-10
1859,7.027199444564758e-08,2.036869339860914e-09
1860,1.0024032803812588e-07,0.0
1861,3.6312922446768425e-08,0.0
1862,7.048058847658467e-08,5.421583626485926e-09
