year,rentrant_VERB en_ADP,rentrant_VERB sans_ADP
1800,2.1694735607979965e-07,1.2576657937302116e-08
1801,2.809795489611133e-07,7.143547975374531e-09
1802,3.826706631571142e-07,8.951360541686881e-09
1803,3.7836579735994746e-07,1.950339223455444e-09
1804,4.375176274606929e-07,0.0
1805,3.3261667908845993e-07,0.0
1806,2.9681191904273874e-07,0.0
1807,3.3309373748124926e-07,2.8469551160981155e-09
1808,7.319418955376022e-07,1.5862518409903714e-08
1809,2.643065784013743e-07,1.3554183553310395e-08
1810,2.92515835553786e-07,0.0
1811,2.131015293116434e-07,0.0
1812,2.9872731621694015e-07,0.0
1813,1.8692320691293673e-07,8.627225156487839e-09
1814,3.27254436438551e-07,3.1466771410748606e-09
1815,2.1847511155748123e-07,0.0
1816,3.8008704450476216e-07,4.6352077731626196e-09
1817,3.409552850053288e-07,3.113746815941454e-09
1818,3.4332990139773756e-07,2.026600220972341e-08
1819,3.1156659696662814e-07,8.280840013696888e-09
1820,3.298881745550375e-07,1.0679833017945839e-08
1821,3.264152618198679e-07,0.0
1822,3.2282483175549714e-07,0.0
1823,3.8443652139452666e-07,0.0
1824,3.722131953765029e-07,8.421112696055388e-10
1825,3.9536439544463065e-07,1.7610886082763955e-09
1826,2.4926594277552283e-07,2.642395191543301e-09
1827,4.037165632908568e-07,5.530363722527909e-09
1828,3.72395442482798e-07,9.172301251858528e-10
1829,2.880587173237359e-07,1.714635211591542e-09
1830,1.9725619049282272e-07,5.218417697960831e-09
1831,2.806417001011141e-07,7.795603274018958e-09
1832,3.111893076557237e-07,0.0
1833,3.6951774262661274e-07,4.6334514003376626e-09
1834,2.912373622265818e-07,1.8669061851994684e-09
1835,3.093303106993517e-07,2.2689263801112247e-08
1836,3.441023936900933e-07,1.2769425516978572e-08
1837,3.6041875572934146e-07,1.3915781860163179e-09
1838,3.206578327308307e-07,5.049729523420865e-09
1839,2.9853597638407336e-07,2.7965900706306e-09
1840,3.197583851033414e-07,7.0066574764382494e-09
1841,2.728733248247295e-07,8.346713542550788e-09
1842,2.99188635199954e-07,4.024959032733477e-09
1843,2.6758308324659197e-07,2.3627644285539873e-09
1844,3.221785567220081e-07,4.9397050894128824e-09
1845,3.11376720851797e-07,1.2834524554250493e-08
1846,2.523290101308362e-07,5.269050973311096e-09
1847,2.5456015162461654e-07,2.1572894581822766e-08
1848,2.4135665710467435e-07,4.82713291560799e-09
1849,2.8825188103098753e-07,2.5976186535103807e-08
1850,3.1025711866305983e-07,1.3577992064028876e-09
1851,2.921595729787896e-07,9.029214709244116e-09
1852,2.864639978561456e-07,1.9531636308300904e-09
1853,2.765004429861051e-07,1.1943863675867306e-09
1854,2.769289260129426e-07,8.832629738719788e-09
1855,3.125786030011568e-07,5.306937111981824e-10
1856,3.3082239037085515e-07,1.0354378410237786e-08
1857,2.5383846402604604e-07,1.1715622250108026e-08
1858,2.877481559693251e-07,1.468102794888182e-08
1859,3.248806663691539e-07,4.073738679721828e-09
1860,3.423733461183076e-07,1.327383358784573e-08
1861,2.829578198415561e-07,5.187560159214399e-09
