year,fuyant_VERB en_ADP,fuyant_VERB sans_ADP
1800,5.345079756580162e-08,5.345079756580162e-08
1801,5.476719877606229e-08,1.904946067554647e-08
1802,9.175144555229053e-08,1.7902721083373763e-08
1803,6.046051481689574e-08,7.801356893821776e-09
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,4.264316544322355e-08,6.822906328807221e-08
1806,1.152667650217154e-08,8.645007376628655e-09
1807,2.562259648897225e-08,8.540865792383556e-09
1808,9.970725756147658e-08,4.7587552565175884e-08
1809,9.487928309681593e-08,3.388545710691915e-08
1810,4.212228166267096e-08,2.3401267590372754e-09
1811,6.518399686683551e-08,2.5070767684098882e-09
1812,1.5469807124190993e-07,2.6672083208723052e-08
1813,8.052076805320496e-08,3.738464116054274e-08
1814,8.496028414128887e-08,0.0
1815,1.0249449644561537e-07,1.0788894222457657e-08
1816,9.270415546325239e-08,3.7081662185300956e-08
1817,1.214361304846534e-07,4.3592454090912724e-08
1818,1.263644833215949e-07,1.4305412854298538e-08
1819,7.038713845108902e-08,2.173720581311045e-08
1820,9.018525481963025e-08,6.170570543417853e-08
1821,9.664258804331638e-08,2.5639868894700157e-08
1822,8.321261191213125e-08,1.5038423839541792e-08
1823,1.3341627891350072e-07,3.557767380701904e-08
1824,1.2042190622452154e-07,3.03160057057994e-08
1825,9.862096272961196e-08,2.993850500843109e-08
1826,1.0569581121444571e-07,3.52319382557198e-08
1827,5.438191053031005e-08,2.7651818612639545e-08
1828,5.319934714975716e-08,2.2930752408001354e-08
1829,5.3153691226270894e-08,8.573175946935407e-09
1830,6.783943584665053e-08,5.218417920005436e-09
1831,4.053713453799901e-08,3.1182412207897414e-09
1832,7.441482807735156e-08,2.0294953273491956e-08
1833,5.3284690437749305e-08,4.1701060937704426e-08
1834,7.28093425550469e-08,2.240287422239362e-08
1835,7.487457054367042e-08,3.403389570166837e-08
1836,1.0753200285762432e-07,1.344150035720304e-08
1837,1.0436836106464398e-07,3.1310509740478665e-08
1838,1.0730675370496101e-07,1.3255539776935166e-08
1839,9.22874718867206e-08,3.705481788074394e-08
1840,7.006657226638069e-08,1.97460351958334e-08
1841,7.640452537316378e-08,8.988767952189392e-09
1842,8.519496930148307e-08,1.0733224087289273e-08
1843,6.615740599791309e-08,1.1223130869097986e-08
1844,8.232841963717874e-08,2.250310204843231e-08
1845,5.524425716885162e-08,2.3436958151989984e-08
1846,9.133022160767723e-08,1.1709002212256792e-08
1847,6.202207458727571e-08,5.3932236454556914e-09
1848,8.447483018647617e-08,3.378993085334514e-08
1849,1.2150151462719805e-07,1.6758829879393033e-09
1850,1.2763312717822828e-07,2.647708541303473e-08
1851,6.578427536041431e-08,5.159551008659946e-09
1852,7.617337871579366e-08,9.765818598239662e-09
1853,1.0331442013011838e-07,1.0152284346531815e-08
1854,7.585670003251721e-08,8.832629738719788e-09
1855,7.535851054285558e-08,1.6451505047143655e-08
1856,6.471486813097727e-08,1.0354378687793542e-08
1857,6.736482305313984e-08,1.2691923956253959e-08
1858,9.444794946134039e-08,1.8106600441214482e-08
1859,1.0744485479108334e-07,1.2221216039165483e-08
1860,8.422018379916629e-08,1.830873586072812e-08
1861,8.535894124861443e-08,1.226150558863992e-08
1862,9.71367062341244e-08,8.132375661773494e-09
1863,8.640694204586907e-08,1.4983863039219614e-08
1864,8.774351822893323e-08,1.1986819536957682e-08
1865,6.91906112404439e-08,1.3179164426446732e-08
1866,8.563478398615487e-08,2.0435575009969398e-08
1867,5.483676801532056e-08,1.6014277903764196e-08
1868,8.150792041305976e-08,7.409810987013543e-09
1869,6.885761649755295e-08,1.70923168951731e-08
1870,7.11022067889644e-08,1.6628741494884025e-08
1871,5.735435681941681e-08,7.434824311758348e-09
1872,5.261185076488317e-08,1.693255002876981e-08
1873,6.943765046285577e-08,4.788803575905831e-09
1874,5.37714810455725e-08,1.0754296453363565e-08
1875,5.549881265665135e-08,6.293679799540541e-09
1876,6.408775865551775e-08,1.1487428341894201e-08
1877,4.886004489890183e-08,6.184815992682502e-10
1878,1.4493813166316372e-07,1.0266450800600069e-08
1879,6.536978247595471e-08,1.0996785704264767e-08
1880,4.0432430070680425e-08,1.7969970400599777e-08
1881,5.787181223126936e-08,7.669758161910067e-09
1882,5.723631146814512e-08,1.3976308999019693e-08
1883,7.772786708715174e-08,9.479008689083912e-09
1884,5.149323811792783e-08,8.582206056928499e-09
1885,5.5432465728699754e-08,6.445635580831777e-09
1886,6.77613698485402e-08,5.808117542471791e-09
1887,6.463635315867577e-08,9.793386546164129e-09
1888,6.086990267384351e-08,1.7119659467823567e-08
1889,6.39043964412167e-08,8.771191772893872e-09
1890,3.932631753578164e-08,1.2453334363726754e-08
1891,5.86428245963333e-08,8.286486163910922e-09
1892,5.140180148188733e-08,2.7581453565517222e-08
1893,4.310891560388441e-08,8.005941687372342e-09
1894,5.2932931593474564e-08,1.0082462864602348e-08
1895,6.379731587458082e-08,5.416753268150387e-09
1896,4.599682629224944e-08,3.5382172747233653e-09
1897,6.409384667449558e-08,1.2236098356765979e-08
1898,4.9793523970720344e-08,1.4711722506888236e-08
1899,5.638130140539488e-08,1.6029977345510815e-08
1900,3.8413792369240696e-08,7.26747462209687e-09
1901,5.532851693468288e-08,2.794369402536745e-09
1902,5.057592389334786e-08,3.4371986368242347e-09
1903,3.294134276465854e-08,2.7001101354784396e-09
1904,5.96583396017536e-08,1.3436562973367927e-08
1905,3.560923644840841e-08,5.160758931310738e-09
1906,6.121579304574354e-08,1.0288368990085672e-08
1907,3.548562038657721e-08,7.71426478252124e-09
1908,5.451641738041246e-08,9.331639461152008e-09
1909,3.6856590113210075e-08,9.351672325408344e-09
1910,4.7028526739545384e-08,8.550641084070776e-09
1911,6.065226187956796e-08,7.448523575703803e-09
1912,5.4177979436076384e-08,1.0418842677495377e-08
1913,4.1363318104004065e-08,7.954484182448596e-09
1914,5.357394883276356e-08,6.6967438816512015e-09
1915,3.887651445211304e-08,5.890381071793627e-09
