year,continuant_VERB en_ADP
1800,1.5720821977538435e-08
1801,6.191074675143682e-08
1802,8.503792514602537e-08
1803,6.046051481689574e-08
1804,9.887403784603066e-09
1805,5.685755510853596e-08
1806,1.0374009207225754e-07
1807,1.7081731584767113e-08
1808,9.064295980465431e-09
1809,4.743964154840796e-08
1810,6.31834211617388e-08
1811,3.008491944456182e-08
1812,1.3336041604361526e-08
1813,1.4378708002027452e-08
1814,3.776012391654149e-08
1815,5.394447111228828e-09
1816,3.0128852301913867e-08
1817,5.1376822796100896e-08
1818,4.768470773797162e-08
1819,5.796588098405664e-08
1820,9.493184816022904e-08
1821,8.678109963966563e-08
1822,8.521773509073682e-08
1823,1.7492355652848346e-07
1824,1.0105335235266466e-07
1825,8.629334047327575e-08
1826,1.409277530228792e-07
1827,1.087638210606201e-07
1828,6.237164740241496e-08
1829,5.229637523029851e-08
1830,5.4271545479878114e-08
1831,4.5214498811674275e-08
1832,4.6001897402447867e-08
1833,5.5601415582806624e-08
1834,9.334530659543816e-08
1835,1.0437061348511634e-07
1836,1.357591514761225e-07
1837,1.5237780537358248e-07
1838,1.3949878052699205e-07
1839,8.11011120482874e-08
1840,6.369688909657611e-08
1841,8.603535084361624e-08
1842,6.77534757187459e-08
1843,1.0041748765843295e-07
1844,8.342613000422716e-08
1845,7.756516851031847e-08
1846,8.723206690319785e-08
1847,7.280851921365183e-08
1848,6.194820656446609e-08
1849,5.111443002192573e-08
1850,9.708264236962805e-08
1851,8.964720166204643e-08
1852,1.1784087217137085e-07
1853,1.283965378462426e-07
1854,1.288524771325683e-07
1855,8.384960636931282e-08
1856,4.5041547158675144e-08
1857,9.616572738124773e-08
1858,1.1598011973035227e-07
1859,1.3443337709695413e-07
1860,8.742421284124724e-08
1861,8.064298029353267e-08
1862,1.0526908067465257e-07
1863,7.941446966697185e-08
1864,1.304165988535999e-07
1865,6.401308599857103e-08
1866,1.1677471312143695e-07
1867,4.2462100147133697e-07
1868,1.0867722588514539e-07
1869,1.0939082528693689e-07
1870,1.0952033147049178e-07
1871,1.2108142599664973e-07
1872,1.0824737195491707e-07
1873,1.1373408170811672e-07
1874,1.3084394578921632e-07
1875,1.2644574587383772e-07
1876,1.2454790976335062e-07
1877,1.3235506268749475e-07
1878,1.1595049898005527e-07
1879,1.0813505701978698e-07
1880,8.599914025353428e-08
1881,9.203709794292081e-08
1882,1.1447262293629024e-07
1883,1.1248423553711362e-07
1884,1.1288901902162252e-07
1885,1.4180398011376383e-07
1886,1.1035423497229857e-07
1887,1.2078510280844057e-07
1888,1.5027256461408456e-07
1889,1.29688328964761e-07
1890,1.2125615561631164e-07
1891,9.115134869119856e-08
1892,9.778879217492431e-08
1893,1.2008912642080816e-07
1894,1.172086305789577e-07
1895,1.257890465122813e-07
1896,1.0319800697322634e-07
1897,1.153689276334191e-07
1898,1.4089303190800706e-07
1899,1.0115468285221141e-07
1900,1.0434016894933507e-07
1901,1.246288727774214e-07
1902,1.1784681108739647e-07
1903,9.666394173990511e-08
1904,1.1877921579639406e-07
1905,1.4656556307501845e-07
1906,7.973486021439768e-08
1907,9.925688004841504e-08
1908,6.925058393392192e-08
1909,1.3202361026642961e-07
1910,7.588694161952958e-08
1911,6.650467909707913e-08
1912,1.1669103727740548e-07
1913,7.901454668335361e-08
1914,1.0312985576632627e-07
1915,5.419150617136381e-08
1916,9.559091784794305e-08
1917,4.7155623406069935e-08
1918,4.364822903113463e-08
1919,6.99796469660896e-08
1920,7.269342239268894e-08
1921,1.2116395670114244e-07
1922,7.968170656624807e-08
1923,9.448193738492705e-08
1924,9.539802170444034e-08
1925,8.468597201272132e-08
1926,8.136681306503135e-08
1927,6.689535014814396e-08
1928,6.512843508943433e-08
1929,8.578113042112534e-08
1930,7.35252236871986e-08
1931,9.238338893879927e-08
1932,6.575722011348262e-08
1933,8.029463405279103e-08
1934,8.866368972348937e-08
1935,8.138433482685059e-08
1936,6.911087346850309e-08
1937,8.813782370609147e-08
1938,9.464606876008475e-08
1939,7.647025235257843e-08
1940,7.353770170581697e-08
1941,8.854508060096578e-08
1942,1.365395358998711e-07
1943,1.016132318287788e-07
1944,6.747690939334916e-08
1945,1.0456819232729231e-07
1946,4.037120238109537e-08
1947,5.602809416416221e-08
1948,8.153916208897272e-08
1949,5.1048444582590946e-08
1950,6.912985295315366e-08
1951,8.635735726514326e-08
1952,6.221433979103352e-08
1953,4.632745842503283e-08
1954,6.156697907044872e-08
1955,7.039206240122553e-08
1956,5.319896456690287e-08
1957,6.007825775755649e-08
1958,4.715178603120762e-08
1959,5.5805385201779245e-08
1960,5.3982499803595374e-08
1961,5.0721560951316746e-08
1962,5.5175019664233105e-08
1963,5.172842576506298e-08
1964,4.806335057727651e-08
1965,4.7059574459495934e-08
1966,4.9297764426192714e-08
1967,5.5219757877367215e-08
1968,3.5482184745916356e-08
1969,5.677197312259352e-08
1970,4.73668670952776e-08
1971,4.059333935657605e-08
1972,5.181448292645996e-08
1973,2.866866033457427e-08
1974,3.994155872710792e-08
1975,1.7191555778950374e-07
1976,4.113739382471948e-08
1977,3.819908300783936e-08
1978,3.267325376921093e-08
1979,3.101545864581112e-08
1980,3.638496570701477e-08
1981,4.0483517649292367e-08
1982,3.1658262233946743e-08
1983,2.9681984869966982e-08
1984,2.3775934998582215e-08
1985,3.0077790924565306e-08
1986,2.937297871596911e-08
1987,2.688759437319277e-08
1988,2.6384837426007834e-08
1989,3.018467165105676e-08
1990,2.3429199524915845e-08
1991,2.8135033858234237e-08
1992,3.746761989553704e-08
1993,4.099013439784471e-08
1994,2.162719953124892e-08
1995,2.4943273557731516e-08
1996,4.003569165078602e-08
1997,3.979762241979046e-08
1998,2.5747897702821376e-08
1999,3.976075069189733e-08
2000,2.960081080249921e-08
2001,3.066848319743798e-08
2002,3.242103874256941e-08
2003,2.625161354963268e-08
2004,3.479784940751962e-08
2005,2.927437159350177e-08
2006,2.2236605001779708e-08
2007,2.1570189912001325e-08
2008,2.5970381734019554e-08
2009,2.145686650578682e-08
2010,2.5980861906305108e-08
2011,2.5238214157452532e-08
2012,2.4510620005857575e-08
2013,2.7333426189102283e-08
2014,2.0355183871778593e-08
2015,2.4160671019402002e-08
2016,2.7341688912940754e-08
2017,2.264050161238096e-08
2018,1.910285429840286e-08
2019,2.0407902090457952e-08
