year,grand_ADJ antre_NOUN,grand_ADJ centre_NOUN
1800,0.0,4.4018303668735825e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,4.2518962573012686e-08
1803,0.0,5.851017448321727e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,5.685755422035754e-09
1806,0.0,6.916005901302924e-08
1807,0.0,0.0
1808,0.0,2.2660739062985158e-08
1809,2.259030518203531e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,0.0,7.521229861140455e-09
1812,0.0,1.0668832928217853e-08
1813,0.0,1.1502966579257645e-08
1814,6.293354282149721e-09,2.2026739543434815e-08
1815,0.0,4.8550024445148665e-08
1816,0.0,5.3304887615013286e-08
1817,0.0,1.401186100480345e-08
1818,0.0,3.9339884239097955e-08
1819,0.0,8.280840013696888e-09
1820,0.0,2.966620371580575e-08
1821,1.97229765852569e-09,1.8736827200882544e-08
1822,0.0,1.5038423839541792e-08
1823,0.0,4.249555374258307e-08
1824,0.0,1.6842225392110777e-09
1825,0.0,7.924898959288385e-09
1826,0.0,3.6112734136395375e-08
1827,0.0,1.3825909306319772e-08
1828,0.0,1.2841221419535032e-08
1829,0.0,4.029392641768936e-08
1830,0.0,5.114049628218709e-08
1831,0.0,7.639690835503643e-08
1832,0.0,1.0688675899928057e-07
1833,0.0,9.035230219556212e-08
1834,0.0,7.654315115068755e-08
1835,0.0,7.411826175030001e-08
1836,0.0,9.879502727017098e-08
1837,0.0,1.0854309806518359e-07
1838,6.312161904276081e-10,1.5022945376585994e-07
1839,0.0,1.922655741282142e-07
1840,0.0,2.2102820196323592e-07
1841,0.0,2.1187810261835693e-07
1842,0.0,2.6833060928765917e-07
1843,0.0,2.634482427765761e-07
1844,0.0,2.952845932213677e-07
1845,0.0,3.8001352020700097e-07
1846,0.0,3.413174169963895e-07
1847,0.0,3.273686672855547e-07
1848,0.0,3.612304573241687e-07
1849,0.0,4.7092311206142767e-07
1850,0.0,3.217984003711649e-07
1851,0.0,3.2505170111107873e-07
1852,0.0,3.548247207163513e-07
1853,0.0,4.019110235731205e-07
1854,0.0,3.4551168592855674e-07
1855,5.306937111981824e-10,4.3251537817923236e-07
1856,0.0,4.2918898657262616e-07
1857,4.881509085841174e-10,5.252504053920859e-07
1858,0.0,4.4434577262109087e-07
1859,6.619825576592575e-09,3.7274708120094147e-07
1860,4.577183909670879e-10,5.639090661091473e-07
1861,0.0,5.456370217871154e-07
1862,9.035972525772706e-10,5.222792083259264e-07
1863,4.994620828036034e-10,4.220454741243884e-07
1864,0.0,4.765959715768986e-07
1865,0.0,4.735085347151724e-07
1866,0.0,5.644110956382065e-07
1867,0.0,4.993543143427814e-07
1868,0.0,6.436655801689284e-07
1869,0.0,4.785848659594194e-07
1870,0.0,5.32119738938519e-07
1871,0.0,6.69134180952824e-07
1872,0.0,4.31175299797637e-07
1873,0.0,5.662760429459013e-07
1874,0.0,5.353250003281573e-07
1875,1.716458086775674e-09,5.349627989481576e-07
1876,0.0,5.870680297448416e-07
1877,1.8554447978047506e-09,6.04256538472292e-07
1878,0.0,6.190065977573767e-07
1879,0.0,5.076849399765493e-07
1880,2.5671385017744797e-09,5.705465124794529e-07
1881,2.091752326904839e-09,4.6994700625413444e-07
1882,0.0,5.257754196463793e-07
1883,2.5277355764075082e-09,5.181858000469219e-07
1884,0.0,6.007544275377086e-07
1885,0.0,4.5054993891291417e-07
1886,1.2906927748801422e-09,5.362828732202729e-07
1887,0.0,4.93586709504612e-07
1888,1.268122939990235e-09,5.211985312225664e-07
1889,1.8795409673089125e-09,5.331631314220431e-07
1890,6.554386478008212e-10,5.617109195554804e-07
1891,0.0,5.768669231187573e-07
1892,0.0,6.763724571534624e-07
1893,0.0,6.195367068251301e-07
1894,0.0,7.353896518402792e-07
1895,0.0,6.48806639969024e-07
1896,1.179405795248556e-09,6.109321928349232e-07
1897,0.0,6.957096045923095e-07
1898,0.0,5.743230445665048e-07
1899,0.0,6.633094091768044e-07
1900,0.0,7.324575999057004e-07
1901,0.0,6.689720317698544e-07
