year,soit_VERB avant_ADP,soit_VERB savant_ADJ
1800,1.1633408547595536e-07,6.288328968651058e-09
1801,5.000483582762172e-08,9.524730337773235e-09
1802,1.4545960880241182e-07,1.5664880947952042e-08
1803,5.460949736857401e-08,1.3652374342143503e-08
1804,1.087614407424553e-07,1.730295728918918e-08
1805,9.950071699904584e-08,7.675770063997334e-08
1806,7.780506905419315e-08,6.051504897186533e-08
1807,1.1672516109229036e-07,2.562259560079383e-08
1808,6.345007363961486e-08,0.0
1809,9.03612189517844e-08,1.8072244145628247e-08
1810,9.594519667643908e-08,2.574139479349924e-08
1811,4.512738271955641e-08,2.5070768572277302e-08
1812,7.734903562095496e-08,0.0
1813,4.3136125782439194e-08,2.8757416004054903e-08
1814,4.72001566720337e-08,9.440030979135372e-09
1815,3.506390555685357e-08,5.394447111228828e-09
1816,1.1588019432906549e-08,1.3905623319487859e-08
1817,3.580808893843823e-08,2.6466848268569265e-08
1818,6.795070817133819e-08,2.1458118837358597e-08
1819,3.415846450138815e-08,2.6912729822470283e-08
1820,4.865257352548724e-08,1.4239777357261119e-08
1821,6.114122896860863e-08,3.35290586406245e-08
1822,6.115625694746996e-08,1.604098542884458e-08
1823,6.226093063332883e-08,1.581229902569703e-08
1824,7.663212642228245e-08,1.1789557774477544e-08
1825,5.371320099811783e-08,7.924898959288385e-09
1826,8.896063974361823e-08,2.1139161532346407e-08
1827,8.387718253288767e-08,1.1982455028203276e-08
1828,6.512333783348367e-08,2.935136400594729e-08
1829,9.344761764396026e-08,6.858540846366168e-09
1830,4.696576283436116e-08,3.1310507520032616e-09
1831,6.392394169552063e-08,1.5591206103948707e-09
1832,6.088486514954639e-08,1.0823975493678972e-08
1833,7.992703388026712e-08,9.266902800675325e-09
1834,7.934351486937885e-08,1.120143711119681e-08
1835,4.4622218808854086e-08,2.2689263801112247e-08
1836,5.107770206791429e-08,2.419469957715137e-08
1837,5.6358917532861597e-08,1.530736071231331e-08
1838,5.680945847075236e-08,8.2058102535143e-09
1839,6.222413162504381e-08,2.307186797168015e-08
1840,4.267691267045848e-08,1.0828470564661075e-08
1841,7.062603657459476e-08,5.778493683550323e-09
1842,8.989075439558292e-08,5.366612043644636e-09
1843,5.434358030242947e-08,1.1813821920725331e-08
1844,7.903528143060612e-08,8.232841963717874e-09
1845,5.859239493588575e-08,1.897277535078956e-08
