year,devaient_VERB aider_VERB,devaient_VERB céder_VERB
1800,2.829747991484055e-08,3.144164484325529e-09
1801,0.0,2.3811825400343878e-08
1802,1.1189200677108602e-08,6.713520406265161e-09
1803,5.851017448321727e-09,1.5602713787643552e-08
1804,4.943701892301533e-09,2.2246657849223084e-08
1805,0.0,4.264316544322355e-08
1806,0.0,2.881669125542885e-09
1807,8.540865792383556e-09,1.7081731584767113e-08
1808,1.1330369531492579e-08,2.4926814390369145e-08
1809,1.581321384946932e-08,3.162642769893864e-08
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,2.757784400841956e-08,1.7549536934780008e-08
1812,1.8670457180292033e-08,5.867858021701977e-08
1813,0.0,5.751483289628823e-09
1814,4.405347908686963e-08,3.776012391654149e-08
1815,5.394447111228828e-09,1.8880564667256294e-08
1816,6.952811659743929e-09,3.0128852301913867e-08
1817,2.490997452753163e-08,7.784366928831332e-09
1818,1.668964877410417e-08,3.695565098382758e-08
1819,2.173720581311045e-08,2.070209959015301e-08
1820,2.7292905713238724e-08,4.2719332071783356e-08
1821,2.7612166775270452e-08,2.859831660373402e-08
1822,1.7043547018147365e-08,4.3110148340019805e-08
1823,3.162459805139406e-08,5.5343047478118024e-08
1824,1.7684335773537896e-08,4.29476756380609e-08
1825,6.163809906922779e-09,2.8177417732422327e-08
1826,7.0463874735082754e-09,6.429828403042848e-08
1827,3.6869092667757286e-08,2.3043183361437514e-08
1828,1.9261833017480967e-08,5.228211819030548e-08
1829,1.7146351893870815e-08,3.772197487705853e-08
1830,1.2524203008013046e-08,3.652892388572582e-08
1831,4.365537620287796e-08,2.9623292263636358e-08
1832,5.276687886635045e-08,3.92369123858316e-08
1833,1.853380560135065e-08,6.602667923516492e-08
1834,2.0535967593104942e-08,4.29388435918554e-08
1835,3.1764969321557146e-08,5.3697924329298985e-08
1836,2.755507466645213e-08,4.099657502365517e-08
1837,2.1569462660409044e-08,7.792837664055696e-08
1838,1.830527018853445e-08,5.7440672662778525e-08
1839,1.8876983531868063e-08,7.2012191765225e-08
1840,2.6752692505738196e-08,6.751869818799605e-08
1841,1.733548060656176e-08,5.200644181968528e-08
1842,4.695785449371215e-08,7.043678351692506e-08
1843,4.3120451209688326e-08,5.611565612184677e-08
1844,5.927646284931143e-08,6.366730787021879e-08
1845,3.57134588568897e-08,5.9150416120701266e-08
1846,3.2785209214125643e-08,5.854501239355159e-08
1847,3.3977308078192436e-08,5.824681537092147e-08
1848,4.424871846708811e-08,4.424871846708811e-08
1849,3.603148357456121e-08,6.284561493430374e-08
1850,1.425689166723032e-08,3.394497838371535e-08
1851,2.3217978650791338e-08,9.158203084780325e-08
1852,5.1433307390880145e-08,5.1433307390880145e-08
1853,2.030456869306363e-08,2.8068079416243563e-08
1854,3.117398605922972e-08,5.403490987987425e-08
1855,3.555647865027822e-08,2.7065379271107304e-08
1856,2.5368226630462232e-08,4.918329921110853e-08
1857,3.758761835115365e-08,5.9554409403972386e-08
1858,4.208561321661364e-08,6.704335930862726e-08
1859,2.8516170758052795e-08,4.7357211485632433e-08
1860,3.158256944857385e-08,4.8060432078500526e-08
1861,1.6977470096435354e-08,6.555189457913002e-08
1862,4.246907181482129e-08,6.641440108978713e-08
1863,3.146611149418277e-08,6.193329937786984e-08
1864,2.445311331200628e-08,7.3359338159662e-08
1865,5.742350239756888e-08,4.471502279557171e-08
1866,3.843834051053818e-08,5.011581194480641e-08
1867,3.105799351033056e-08,4.85281148598915e-08
