year,buvant_VERB en_ADP,buvant_VERB sans_ADP
1800,6.288328968651058e-09,0.0
1801,0.0,7.143547753329926e-09
1802,8.951360541686881e-09,4.475680270843441e-09
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,1.1371510844071508e-08,2.2743021688143017e-08
1806,0.0,0.0
1807,5.693910232196231e-09,8.540865792383556e-09
1808,0.0,4.5321479902327155e-09
1809,3.162642769893864e-08,0.0
1810,2.8081521108447305e-08,7.020380277111826e-09
1811,2.5070768572277302e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,6.952811659743929e-09,0.0
1817,0.0,4.670620223912181e-09
1818,7.152706427149269e-09,1.1921177378582115e-09
1819,2.070210003424222e-09,1.2421260020545333e-08
1820,2.0173018810965004e-08,0.0
1821,2.9584463767662328e-09,7.889190412058156e-09
1822,2.0051231786055723e-09,1.0025615893027862e-08
1823,6.917880934764753e-09,3.95307486744656e-09
1824,1.6842225392110777e-09,8.421112696055388e-09
1825,1.7610886082763955e-09,7.92489873724378e-09
1826,1.4973572604048968e-08,7.0463874735082754e-09
1827,9.217273055917019e-10,0.0
1828,3.668920500743411e-09,5.5033806956039655e-09
1829,5.143905745796928e-09,2.571952872898464e-09
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,6.764984572527055e-09,9.470978445946798e-09
1833,1.2741991461950875e-08,1.6217079790159517e-08
1834,5.600718555598405e-09,1.0267984462686286e-08
1835,5.294161553592858e-09,2.2689263801112247e-09
1836,1.2769425516978572e-08,2.6882999715205358e-09
1837,7.653680356156656e-09,8.349469449164815e-09
1838,6.312161904276081e-09,1.8936485712828244e-09
1839,4.194885327990505e-09,4.194884994923598e-09
1840,7.0066574764382494e-09,1.0191501864653674e-08
1841,1.0272877659645019e-08,1.6051370899106132e-08
1842,1.9453969102301016e-08,8.720744570922534e-09
1843,5.906910960362666e-09,9.451057714215949e-09
1844,6.037417232818143e-09,6.5862733600319245e-09
1845,5.580227835366713e-09,5.022205318283568e-09
1846,5.269050973311096e-09,7.610851726624901e-09
1847,9.707802561820245e-09,1.0786447290911383e-09
1848,4.82713291560799e-09,2.413566457803995e-09
1849,2.9327951622803994e-08,1.6758829879393033e-09
1850,2.7155984128057753e-09,1.9009188889640427e-08
1851,3.2247193804124663e-09,3.2247193804124663e-09
1852,5.859490670445666e-09,1.4974254725075298e-08
1853,4.180352064508952e-09,5.3747386541402875e-09
1854,1.8704392701351935e-08,5.195664343204953e-09
1855,5.306937111981824e-09,3.1841622671890946e-09
1856,6.73034605824796e-09,9.318940730196346e-09
1857,1.1715622250108026e-08,7.322263684272912e-09
1858,2.936205500958522e-09,1.1744822780990205e-08
1859,6.110608019582742e-09,3.5645213447565993e-09
1860,4.119465657481669e-09,2.746310290291376e-09
1861,2.0750240636857598e-08,4.2443675241088386e-09
1862,6.776979422085105e-09,3.6143890103090826e-09
1863,3.995696662428827e-09,7.491931519609807e-09
1864,8.63051052846231e-09,1.0068929134909865e-08
1865,1.4120533187167439e-08,4.236159922843541e-09
1866,6.3252967308358166e-09,8.271541673821048e-09
1867,3.88224918879132e-09,4.367530337390235e-09
1868,1.0867722721741302e-08,7.409811098035846e-09
1869,8.790334682373668e-09,9.767038289254515e-10
1870,5.734048791339319e-10,6.880858549607183e-09
1871,5.3105884134652115e-09,7.434824311758348e-09
1872,3.628403577593531e-09,9.675742873582749e-09
1873,2.3944017879529156e-09,4.190203295451056e-09
1874,5.974609140757536e-10,8.961913322558246e-09
1875,5.721527251978387e-09,0.0
1876,3.02300739996042e-09,7.255217759905008e-09
1877,9.27722432209066e-09,4.329371083855449e-09
1878,3.0195443923020093e-09,3.6234530931267273e-09
1879,1.4051448005147904e-08,1.832797580370027e-09
1880,1.2835692508872398e-09,5.134277003548959e-09
1881,4.8807553554297556e-09,1.2550513517339823e-08
1882,5.324308105514319e-09,9.983077475794744e-09
1883,7.58320695126713e-09,7.583206784733676e-09
1884,1.0562715146988921e-08,7.922036360241691e-09
1885,4.511945039809007e-09,6.445635636342928e-09
1886,3.2267319927115068e-09,1.0325542587619196e-08
1887,2.6115698492645834e-09,3.2644623670918804e-09
1888,7.60873763994141e-09,5.07249175996094e-09
1889,1.2530273707511697e-08,1.2530273485467092e-09
1890,5.243509182406569e-09,3.9326319978272295e-09
1891,5.099376032546843e-09,2.549687905251119e-09
1892,7.522214851007902e-09,1.8805537127519756e-09
1893,4.310891643655168e-09,4.926733243593162e-09
1894,8.822155450616265e-09,5.671385361338821e-09
1895,5.416753268150387e-09,7.22233739480771e-09
1896,7.076434549446731e-09,4.7176231254830725e-09
1897,1.6897470089816125e-08,5.826713556089658e-10
