year,indiquant_VERB en_ADP,indiquant_VERB sans_ADP
1800,6.288328968651058e-09,0.0
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,1.7902721083373763e-08,0.0
1803,4.8758479920252285e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,4.839823830593559e-08,0.0
1808,5.891792298484688e-08,0.0
1809,4.51806094758922e-08,6.7770917766551975e-09
1810,3.978215445954447e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,7.476928232108548e-08,0.0
1814,1.0384034254684593e-07,0.0
1815,5.664169577812572e-08,0.0
1816,5.0987285504788815e-08,0.0
1817,1.0275364559220179e-07,0.0
1818,3.099506074022429e-08,2.384235475716423e-09
1819,2.898294049202832e-08,3.1053151161586356e-09
1820,1.4239777357261119e-08,2.3732962262101864e-09
1821,3.35290586406245e-08,5.9168927535324656e-09
1822,3.0076847679083585e-08,1.0025615893027862e-09
1823,7.708495530778237e-08,3.9530747564242574e-09
1824,1.6000115010683658e-08,0.0
1825,7.924898426381333e-08,7.924898959288385e-09
1826,2.6423952803611428e-08,8.80798456392995e-09
1827,7.558163872545265e-08,0.0
1828,3.485474309172787e-08,1.1006761724274838e-08
1829,3.8579290873030914e-08,6.001223074036943e-09
1830,3.339787468803479e-08,1.5655253093882493e-08
1831,4.5214498811674275e-08,1.2472964883158966e-08
1832,6.3590853471851e-08,1.0823975493678972e-08
1833,4.6334513115198206e-08,5.791814139399776e-09
1834,6.534171603789218e-08,9.334530925997342e-10
1835,4.764745398233572e-08,3.781543966852041e-09
1836,5.107770206791429e-08,9.409050427677812e-09
1837,5.0096815584765864e-08,2.7831563720326358e-09
1838,6.122797202579022e-08,1.5780404538645598e-08
1839,4.6842885126352485e-08,2.0974426639952526e-09
1840,3.821813265858509e-08,3.1848443882154243e-09
1841,6.548959419205858e-08,6.420548537278137e-09
1842,7.848669980603518e-08,1.0733224087289273e-08
1843,7.265500556741245e-08,1.1813821920725331e-08
1844,6.970472554712615e-08,7.1351298203126134e-09
1845,6.305657507255091e-08,6.138250796539069e-09
1846,4.156695965207291e-08,1.1123552745573306e-08
1847,5.3392913201832926e-08,1.6179670936367074e-08
1848,3.298540818263973e-08,1.287235473768078e-08
1849,4.9438547478075634e-08,7.54147322368226e-09
1850,5.5669765686161554e-08,8.82569484161877e-09
1851,5.611011744122152e-08,1.483370937194195e-08
