year,fut_VERB avant_ADP,fut_VERB savant_ADJ
1800,6.917161954334006e-08,2.5153315874604232e-08
1801,4.286128785224719e-08,0.0
1802,9.175144555229053e-08,4.699464284385613e-08
1803,1.014176405078615e-07,9.751696339321825e-09
1804,9.145848167690929e-08,1.730295728918918e-08
1805,1.1371511021707192e-07,4.8328921309348516e-08
1806,3.7461699520235925e-08,5.76333825108577e-09
1807,1.0533734240425474e-07,5.124519120158766e-08
1808,1.1330369886763947e-07,4.305540457494317e-08
1809,1.0165637576164954e-07,0.0
1810,8.89248141788812e-08,0.0
1811,1.0780430415024966e-07,2.5070768572277302e-08
1812,1.0402111882967802e-07,3.200649700829672e-08
1813,1.552900528167811e-07,1.1502966579257645e-08
1814,6.608021863030444e-08,0.0
1815,3.776112933451259e-08,5.394447111228828e-09
1816,1.2051540920765547e-07,1.3905623319487859e-08
1817,9.341240314597599e-08,2.3353100786493997e-08
1818,1.3828565670337412e-07,1.1921177378582115e-09
1819,2.1116142079335987e-07,3.519356894798875e-08
1820,1.5189095847745193e-07,1.0679833017945839e-08
1821,1.1735171057125626e-07,3.155676253641104e-08
1822,1.6341753905635414e-07,1.303330066093622e-08
1823,7.609668983832307e-08,2.7671523739059012e-08
1824,1.4484314192486636e-07,1.0947446504872005e-08
1825,1.259178361578961e-07,4.226612659863349e-08
1826,1.3123896280831104e-07,2.8185549894033102e-08
1827,2.617705661123182e-07,1.3825909306319772e-08
1828,1.5684635457091645e-07,2.384798314380987e-08
1829,1.3374155116707698e-07,8.573175946935407e-09
1830,1.2628571255390852e-07,1.1480519646056564e-08
1831,7.483778574624012e-08,6.236482441579483e-09
1832,1.3665268738805025e-07,4.058990921151917e-09
1833,1.2973663388038403e-07,1.6217079235048004e-08
1834,1.157481861469023e-07,1.4001796166951408e-08
1835,1.6790055212823063e-07,7.563087933704082e-09
1836,1.438240531115298e-07,1.68018754465038e-08
1837,1.8020936920493114e-07,1.530736071231331e-08
1838,1.4770458278690057e-07,5.049729523420865e-09
1839,8.87917366299007e-08,1.3982949909063791e-08
1840,1.2866770759956125e-07,2.8026629905752998e-08
1841,1.4189411956522235e-07,1.2841097074556274e-09
1842,8.854910049649334e-08,1.341653010911159e-09
1843,1.4826346728114004e-07,5.31621990873532e-09
1844,1.0373381087447342e-07,1.975882035765153e-08
1845,1.1774280750387334e-07,5.022205318283568e-09
1846,1.2118817949158256e-07,6.439951683034906e-09
1847,1.2620142797459266e-07,6.47186837454683e-09
1848,1.1343762906790289e-07,3.539897619475596e-08
1849,1.5250535057020898e-07,1.0893239199560867e-08
1850,1.0862393651223101e-07,3.394498016007219e-09
1851,7.932809609201286e-08,1.4188765717904062e-08
1852,1.0351767087968256e-07,1.3672145193766028e-08
1853,1.3914601026954188e-07,4.180352064508952e-09
1854,1.3093074358039303e-07,7.79349651480743e-09
1855,1.3851105507001193e-07,5.837630823180007e-09
1856,1.2062851340033376e-07,7.248064815001953e-09
1857,1.6645945777327142e-07,4.881508974818871e-09
1858,1.8595969208945462e-07,4.893676130990343e-09
1859,1.3901633622026566e-07,1.0693564256314403e-08
1860,1.9041084442505962e-07,2.746310290291376e-09
1861,1.372345508343642e-07,1.4619487842537637e-08
1862,1.911108142849116e-07,4.066187830886747e-09
1863,1.2436605345556018e-07,1.6981710260211003e-08
1864,1.6637706323763268e-07,5.274200631788517e-09
1865,1.7179982592097076e-07,1.2237795665726026e-08
1866,1.8100080012573017e-07,7.298419202328432e-09
1867,2.0187695781714865e-07,8.73506067478047e-09
1868,1.457262897019973e-07,1.5807597009143137e-08
1869,1.6652799672556284e-07,1.904572499711321e-08
1870,1.5195229252640274e-07,4.587239033071455e-09
1871,1.4232377054668177e-07,0.0
1872,1.5844028666833765e-07,3.628403577593531e-09
1873,1.8915774546712782e-07,4.190203295451056e-09
1874,1.0336074041106258e-07,1.7923826867161097e-09
1875,1.3331158754681383e-07,1.716458086775674e-08
1876,1.7412523334314756e-07,1.3905833817773328e-08
1877,1.6204218411530746e-07,1.1751150275074451e-08
1878,1.2984040154151444e-07,1.0266450800600069e-08
1879,1.3012862609684817e-07,6.109325489944695e-09
1880,1.8868468032451347e-07,1.2835692508872398e-09
1881,2.0987248205983633e-07,5.5780060570498335e-09
1882,1.550704666897218e-07,1.9966155395678697e-09
1883,1.88316306548586e-07,3.791603475633565e-09
1884,1.8352717745528935e-07,1.3203393933736152e-09
1885,2.1850705422821193e-07,3.86738152613475e-09
1886,1.3229600881459191e-07,8.38950331427668e-09
1887,1.5799997754584183e-07,1.3057849246322917e-09
1888,1.9909529669348558e-07,7.60873763994141e-09
1889,1.804359328616556e-07,5.6386229019267375e-09
1890,1.5468351932668156e-07,3.2771931834929546e-09
1891,1.5234385841722542e-07,5.099376032546843e-09
1892,2.2002478772265022e-07,3.761107425503951e-09
1893,1.878317021919429e-07,2.463366621796581e-09
1894,2.438695787532197e-07,2.520615716150587e-09
1895,1.9560496866688482e-07,1.2037228991346183e-09
1896,2.2172828550992563e-07,2.358811590497112e-09
1897,1.7654942041644972e-07,4.078699600285063e-09
1898,1.7597483292774996e-07,2.8291773368493978e-09
1899,2.4542447363273823e-07,5.527578395003729e-10
1900,2.31001862971425e-07,7.786579381274805e-09
1901,2.0790108123946993e-07,2.235495566438317e-09
1902,2.312743703214437e-07,2.9461704187383475e-09
1903,2.4408996068814304e-07,5.400220270956879e-09
1904,2.225094846153297e-07,8.599400302955473e-09
1905,2.3016986006041407e-07,3.096455536422127e-09
1906,2.412622563952027e-07,7.716276506641861e-09
1907,2.427422032269533e-07,7.199980611716228e-09
1908,2.470428626111243e-07,1.4734167219643268e-09
