year,étant_VERB en_ADP,étant_VERB sans_ADP,etant_VERB en_ADP,etant_VERB sans_ADP
1800,3.7321232291276374e-06,4.0559720559940615e-07,6.602745550310374e-08,3.144164484325529e-09
1801,3.4741454344455747e-06,4.2861286875250926e-07,1.7858869938436328e-07,4.0480102825313224e-08
1802,3.844609238967678e-06,4.1400042505301826e-07,1.5217312920867698e-07,6.713520406265161e-09
1803,4.343405606732631e-06,4.895351253253466e-07,1.4042442231243513e-07,1.5602713787643552e-08
1804,5.099428335597622e-06,4.32573926900659e-07,1.581984623300059e-07,2.4718509461507665e-09
1805,4.306959755062678e-06,4.491746778967354e-07,1.5351539239816248e-07,5.685755422035754e-09
1806,5.521278126252582e-06,5.215821143877974e-07,1.210301006082659e-07,1.729001475325731e-08
1807,4.9423142129967346e-06,5.89319711252756e-07,1.1957211576429927e-07,1.4234776024579787e-08
1808,4.976298363601472e-06,5.642524456561659e-07,2.356716954921012e-07,0.0
1809,5.356161150160688e-06,6.890043096063891e-07,1.197286163545641e-07,6.7770917766551975e-09
1810,4.567927526011317e-06,7.254392926370201e-07,1.521082442224042e-07,1.4040760554223652e-08
1811,5.074323180309648e-06,6.042055225030651e-07,1.2786091829752877e-07,2.2563691359778204e-08
1812,4.899661725232818e-06,5.227728365753137e-07,1.333604089381879e-07,3.467370524035118e-08
1813,4.2560978030792285e-06,6.642962944169994e-07,9.202373263406116e-08,8.627225156487839e-09
1814,4.200813766175315e-06,5.129083842092541e-07,1.321604372606089e-07,3.1466771410748606e-09
1815,4.016165856768339e-06,4.828029886994045e-07,1.0249449866606142e-07,2.6972236000233352e-08
1816,3.919068232605127e-06,5.168256596022047e-07,1.1124498655590287e-07,9.270415546325239e-09
1817,3.8018847732246286e-06,5.480194449347664e-07,1.0742426859167153e-07,1.4011860338669635e-08
1818,3.902993460869197e-06,5.698322969038827e-07,1.5855165669265148e-07,5.9605886892910576e-09
1819,3.986189266669271e-06,6.324491437226243e-07,1.2214239220043055e-07,8.280840013696888e-09
1820,4.051216883738107e-06,4.568595235454609e-07,6.763894067063347e-08,1.5426425470366212e-08
1821,4.151686432862789e-06,5.118112422763943e-07,1.0650407178403043e-07,7.88919063410276e-09
1822,4.951651646933897e-06,5.574242436523491e-07,1.082766516447009e-07,1.0025615893027862e-09
1823,5.864386366738472e-06,4.042018876271314e-07,1.0277994721974437e-07,1.9765373782121287e-09
1824,4.448031553749843e-06,6.66110011593446e-07,9.852701765566962e-08,8.421112696055388e-09
1825,4.328755657923011e-06,6.542444452861673e-07,1.3384273311878303e-07,7.044354211060977e-09
1826,6.642100764508996e-06,5.126246955811098e-07,5.460950169844381e-08,3.5231937367541377e-09
1827,6.782991427201068e-06,5.908272306953677e-07,9.032927827945514e-08,9.217273166939322e-09
1828,4.667784043732581e-06,6.310543008147818e-07,1.1281930173412391e-07,1.0089531210510927e-08
1829,5.137047132564021e-06,5.924064845896915e-07,6.515613792945629e-08,1.971830521085849e-08
1830,5.750696530526511e-06,6.04292799355477e-07,9.080046936560393e-08,7.30578508800761e-09
