year,mangeant_VERB en_ADP,mangeant_VERB sans_ADP
1965,1.0396882743624047e-08,2.188817349590977e-09
1966,7.754704434148607e-09,9.416426749453422e-09
1967,9.367637554547059e-09,4.437302081328198e-09
1968,9.88111459321317e-09,6.737123747768692e-09
1969,1.1808570538063279e-08,7.266812457329408e-09
1970,1.103694025061941e-08,2.7592350626548523e-09
1971,6.679916619845017e-09,3.5968783507200897e-09
1972,1.1799337507056862e-08,4.6171320100540925e-09
1973,1.4334330167287135e-08,1.6539611902288698e-09
1974,9.00091468025721e-09,2.2502286700643026e-09
1975,1.4849848462006321e-08,3.998036124386317e-09
1976,9.712995741040231e-09,7.998937512354587e-09
1977,6.464460078348111e-09,1.7630346071939584e-09
1978,1.128712323605896e-08,7.128709622605811e-09
1979,1.1703946256602649e-08,7.02236779837051e-09
1980,5.68515062804309e-09,3.411090521154847e-09
1981,1.2651098835192442e-08,1.0120879245789638e-08
1982,7.449002747961231e-09,4.966001831974154e-09
1983,1.1999100379966876e-08,5.68378455412244e-09
1984,7.538711266352749e-09,6.378909234161512e-09
1985,5.4140022465176685e-09,4.210890747202711e-09
1986,4.7955883708539204e-09,6.593933843390687e-09
1987,6.110816741511371e-09,4.888653315493485e-09
1988,7.195864348830128e-09,5.99655392008458e-09
1989,7.683371272548811e-09,2.7440609784434855e-09
1990,9.80757214330552e-09,1.6345953479657283e-09
1991,6.4476117778156095e-09,9.96449056600568e-09
1992,7.162927584403178e-09,9.91789939064347e-09
1993,1.2740176913439427e-08,4.985286850001103e-09
1994,7.384897138251745e-09,5.274926717646622e-09
1995,1.4640617607142303e-08,7.0491861237087505e-09
1996,8.007137841659073e-09,5.871901187504136e-09
1997,8.630810066634353e-09,4.315404922294874e-09
1998,1.3350761940422728e-08,6.198567881199324e-09
1999,8.683382013430219e-09,2.285100553223174e-09
2000,7.068850393920911e-09,4.418031274155965e-09
2001,8.324302136486494e-09,3.5049694258049158e-09
2002,8.324320788233308e-09,4.819343757400674e-09
2003,8.750537905388711e-09,5.416999737661854e-09
2004,6.166707589017051e-09,5.726228824443069e-09
2005,2.1617998058331978e-08,4.954124666056714e-09
2006,1.2353669365250397e-08,7.823991232669414e-09
2007,4.793375391054511e-09,6.391167151065247e-09
2008,9.792111205220166e-09,6.3861596011349775e-09
2009,1.3350938798950551e-08,8.105927262747059e-09
2010,1.747803468621356e-08,1.086472406486294e-08
2011,1.414869643667771e-08,1.5295888000643743e-08
2012,1.1234034147378225e-08,1.5319137958158535e-08
2013,1.4503450496139436e-08,1.1435412616833673e-08
2014,1.9055918065724597e-08,2.165445245339015e-08
2015,1.6845973865864394e-08,1.5072713036023977e-08
2016,1.9263462214258453e-08,1.3463710146766061e-08
2017,1.78608410839054e-08,1.1823373391450787e-08
2018,2.090988004965766e-08,1.6005094138904497e-08
2019,1.9132408879407592e-08,1.198964222348664e-08
