year,aurait_VERB empli_VERB,aurait_VERB rempli_VERB
1800,0.0,7.545995117652637e-08
1801,0.0,9.524730337773235e-09
1802,0.0,2.0140561218795483e-08
1803,0.0,4.095712213825209e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,6.254330742194725e-08
1806,0.0,7.204172902675055e-08
1807,0.0,7.117387923472052e-08
1808,0.0,4.758755522971114e-08
1809,0.0,1.4909601020463015e-07
1810,0.0,9.828532654410083e-08
1811,0.0,1.3036799373367103e-07
1812,0.0,1.520308643421231e-07
1813,0.0,1.4091133948568313e-07
1814,0.0,1.6677388714469998e-07
1815,0.0,5.933891955578474e-08
1816,0.0,7.648093003354006e-08
1817,0.0,1.5724421587037796e-07
1818,0.0,8.106400883889364e-08
1819,0.0,1.2835302243274782e-07
1820,0.0,5.3399165977907614e-08
1821,0.0,6.311352507282209e-08
1822,0.0,1.4136118409169285e-07
1823,0.0,1.1859224002819246e-07
1824,0.0,9.936913158981042e-08
1825,0.0,8.981552213072064e-08
1826,0.0,8.543744911548856e-08
1827,0.0,1.0968555130830282e-07
1828,0.0,9.906085551847355e-08
1829,0.0,1.4574399642697244e-07
1830,0.0,1.2941676175159955e-07
1831,0.0,1.5435294642429653e-07
1832,0.0,1.1094574858816486e-07
1833,0.0,1.332117278707301e-07
1834,0.0,1.0828055962974759e-07
1835,0.0,9.680752555141225e-08
1836,0.0,9.341842854837523e-08
1837,0.0,1.0158520780123581e-07
1838,0.0,1.0162580821315714e-07
1839,0.0,1.1046530801195331e-07
1840,0.0,7.898413656448611e-08
1841,0.0,1.1492782192590312e-07
1842,0.0,8.519496930148307e-08
1843,0.0,7.442707783411606e-08
1844,0.0,9.769639319756607e-08
1845,0.0,9.318980431771706e-08
1846,0.0,1.147482251440124e-07
1847,0.0,1.224261723109521e-07
1848,3.218088684420195e-09,8.447482713336285e-08
1849,0.0,9.971503800443315e-08
1850,0.0,8.825694663983086e-08
1851,0.0,1.2060451126671978e-07
1852,6.510545436100301e-10,8.333498158208386e-08
1853,0.0,6.569125332589465e-08
1854,0.0,9.352196173040284e-08
1855,0.0,1.0720012966203285e-07
1856,0.0,9.577799886528737e-08
1857,0.0,8.103305049189657e-08
1858,0.0,8.906490478466367e-08
1859,0.0,7.485494535330872e-08
1860,0.0,7.964300152707438e-08
1861,0.0,1.028080092169148e-07
1862,0.0,7.454677586338221e-08
1863,0.0,7.691716064073262e-08
1864,4.794727948009836e-10,8.966141251676163e-08
1865,5.6482134525026595e-09,7.813361690978127e-08
1866,0.0,1.0753004886510098e-07
1867,0.0,1.057912868418498e-07
1868,4.93987406535723e-10,9.830349512185421e-08
1869,0.0,7.569454396616493e-08
1870,0.0,7.454263339923273e-08
1871,1.0621177271019633e-09,9.45284810427438e-08
1872,0.0,9.433849612605627e-08
1873,0.0,7.063485440994555e-08
1874,2.9873046258899194e-09,7.169531102135807e-08
1875,0.0,7.666846357778923e-08
1876,4.232210137899983e-09,1.0399145367046003e-07
1877,0.0,4.9478529717816855e-08
1878,6.039088673581716e-10,6.401433694236403e-08
1879,0.0,9.102894438228759e-08
1880,6.417846254436199e-10,7.701415682959123e-08
1881,4.8807553554297556e-09,7.530308465675262e-08
1882,0.0,7.254369904785563e-08
1883,0.0,7.140852886777793e-08
1884,4.621187876807653e-09,8.252121119767253e-08
1885,6.445635691854079e-10,1.0184104581867359e-07
1886,2.5813855497602844e-09,8.583106847481758e-08
1887,1.3057849246322917e-09,1.0380990289604597e-07
1888,0.0,6.911270133969083e-08
1889,0.0,1.0400127337106824e-07
1890,0.0,5.2435090935887274e-08
1891,0.0,6.629188931128738e-08
1892,1.2537024751679837e-09,5.955086734843462e-08
1893,8.621783287310336e-09,8.005941509736658e-08
1894,0.0,8.002955098618258e-08
1895,1.2037228991346183e-09,5.11582243234443e-08
1896,2.948514543632541e-09,6.958494225273171e-08
1897,2.330685422435863e-09,8.273933360669616e-08
1898,0.0,8.374365023655628e-08
1899,5.527578395003729e-10,6.356714976618605e-08
1900,1.038210628578895e-09,5.191053276121238e-08
1901,5.588738916095792e-10,6.538824237622975e-08
1902,0.0,5.548620762851897e-08
1903,1.0800440541913758e-09,7.88432146237028e-08
1904,5.374625189347171e-10,4.998401337275027e-08
1905,0.0,7.276670288547393e-08
1906,3.0865106026567446e-09,5.5042775670699484e-08
1907,5.142843373384665e-10,6.42855439991763e-08
1908,9.822778146428846e-10,6.826830656336824e-08
