year,pourraient_VERB ouvrir_VERB,pourraient_VERB rouvrir_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,0.0,6.798221985349073e-09
1809,9.036122072814123e-09,0.0
1810,0.0,2.3401267590372754e-09
1811,7.521229861140455e-09,0.0
1812,1.600324850414836e-08,0.0
1813,3.738464116054274e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,6.952811659743929e-09,0.0
1817,1.71256075987003e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,5.933240565525466e-09,0.0
1821,6.903041693817613e-09,0.0
1822,0.0,0.0
1823,1.680056804787e-08,0.0
1824,2.863178316658832e-08,0.0
1825,8.805443485471187e-09,0.0
1826,1.0569580766173203e-08,8.807984341885344e-10
1827,1.474763688946723e-08,0.0
1828,3.668920500743411e-09,0.0
1829,6.858540846366168e-09,0.0
1830,1.6698937344017395e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,2.705993873419743e-09,0.0
1833,1.2741991461950875e-08,0.0
1834,1.4001796166951408e-08,3.733812370398937e-09
1835,6.050470346963266e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,7.653680356156656e-09,0.0
1838,5.680945491803868e-09,0.0
1839,2.0974426639952526e-09,0.0
1840,1.2102408852854296e-08,0.0
1841,1.2841097074556274e-08,7.704658244733764e-09
1842,1.475818312002275e-08,0.0
1843,1.1813821920725331e-08,0.0
1844,5.488561272137815e-10,6.037417232818143e-09
1845,1.0602432709561072e-08,5.580227946389016e-10
1846,7.610851504580296e-09,0.0
1847,1.4022381478184798e-08,0.0
1848,1.6090443422100975e-09,0.0
1849,2.262441967104678e-08,0.0
1850,1.2899092460827433e-08,0.0
1851,7.739326512989919e-09,2.579775504329973e-09
1852,1.1067927019325907e-08,0.0
1853,2.09017620989016e-08,3.5831591027601917e-09
1854,1.454786069388092e-08,0.0
1855,1.8574279891936385e-08,0.0
1856,8.28350277259915e-09,0.0
1857,6.8341128311999455e-09,0.0
1858,1.4191660291373864e-08,1.468102750479261e-09
1859,4.582956236731661e-09,0.0
1860,5.492620580582752e-09,0.0
1861,1.226150558863992e-08,0.0
1862,1.1294965851504912e-08,3.6143890103090826e-09
1863,1.2486552236623538e-08,0.0
1864,4.794728170054441e-09,9.589455896019672e-10
1865,8.001635798393636e-09,1.4120533631256649e-09
1866,2.7247432754506917e-08,0.0
1867,2.426405742994575e-08,1.1161466417775046e-08
1868,1.3831646938911035e-08,4.93987406535723e-10
1869,2.3440891894210836e-08,6.8369265804335555e-09
1870,1.204150201772336e-08,7.454262984651905e-09
1871,9.559059321873065e-09,0.0
1872,1.7537283625301825e-08,0.0
1873,6.584604861359367e-09,5.986004469882289e-10
1874,7.169530746864439e-09,0.0
1875,4.005069165202713e-09,0.0
1876,1.0882827083946722e-08,0.0
1877,8.040260901509555e-09,3.0924081073635534e-09
1878,1.1474268646338714e-08,2.4156354694326865e-09
1879,1.649517855639715e-08,0.0
1880,1.3477476912271413e-08,6.417846254436199e-10
1881,2.2312024228199334e-08,4.8807553554297556e-09
1882,6.655385131892899e-09,0.0
1883,9.479008689083912e-09,0.0
1884,1.0562715146988921e-08,0.0
1885,3.86738152613475e-09,1.2891271383708158e-09
1886,1.355227396970804e-08,1.936039106809062e-09
1887,9.140494583448344e-09,0.0
1888,1.2047167707862627e-08,0.0
1889,2.318100555953606e-08,0.0
1890,1.3108772733971819e-08,0.0
1891,7.649063604731055e-09,0.0
1892,6.268512375839919e-09,0.0
1893,8.621783287310336e-09,0.0
1894,3.150769645188234e-09,0.0
1895,8.426059849853118e-09,0.0
1896,1.0024948871034667e-08,0.0
1897,1.7480140002135158e-08,0.0
1898,1.3580051749784161e-08,0.0
1899,1.713549302451156e-08,0.0
1900,1.5054054003371675e-08,0.0
1901,7.824234593556412e-09,0.0
1902,5.4013122863239005e-09,4.910283846193408e-10
1903,1.83607493653426e-08,0.0
1904,6.987012746151322e-09,0.0
1905,1.8062657147766004e-08,5.160759042333041e-10
1906,2.1091157265118454e-08,0.0
1907,1.0285686968813934e-08,0.0
1908,1.080505640516094e-08,0.0
1909,2.2003934674330594e-08,5.500983557560346e-10
1910,9.085056262847502e-09,0.0
1911,2.181353409014264e-08,0.0
1912,6.772247651554153e-09,0.0
1913,1.0605979205990934e-08,0.0
1914,8.705766774141921e-09,1.3393487430235496e-09
1915,7.068456930880984e-09,2.3561523843085297e-09
1916,3.29623865980011e-08,0.0
1917,1.2063066989753679e-08,0.0
1918,1.722956355365568e-08,0.0
1919,1.2890987832747669e-08,9.207848372660976e-10
1920,1.514446346106979e-08,0.0
1921,8.330022005509363e-09,3.0290989716519334e-09
1922,7.377935595798135e-09,7.377935484775833e-10
1923,6.369568872344189e-09,0.0
1924,6.445812328337297e-09,0.0
1925,9.898360353588487e-09,0.0
