year,ont_VERB apporté_VERB,ont_VERB rapporté_VERB
1800,1.141331722465111e-06,8.55212761052826e-07
1801,1.2644079561141552e-06,1.0191461115027778e-06
1802,1.3180878113416838e-06,9.108009635383496e-07
1803,7.469799356840667e-07,1.2033592611260246e-06
1804,8.948100571615214e-07,1.18648847546865e-06
1805,8.01691498963919e-07,8.95506502729404e-07
1806,8.529740398444119e-07,1.2218276879139012e-06
1807,8.654743623992545e-07,1.1814863682957366e-06
1808,1.0106690524480655e-06,1.1670281310216524e-06
1809,9.352386314276373e-07,9.60087959356315e-07
1810,7.371399419753288e-07,1.2145258097007172e-06
1811,9.501820841251174e-07,9.351396101919818e-07
1812,9.201868351738085e-07,1.1255618801442324e-06
1813,7.879531835897069e-07,1.1589238511078293e-06
1814,1.04469677353336e-06,1.0761635849121376e-06
1815,8.658087722324126e-07,1.1894755971297855e-06
1816,8.64466244365758e-07,1.25150609164848e-06
1817,7.021499186521396e-07,1.7078900782507844e-06
1818,8.559405273445009e-07,1.0383345170339453e-06
1819,8.384350280721264e-07,1.2617930451597204e-06
1820,9.125324140768498e-07,9.208389428749797e-07
1821,9.78259663497738e-07,1.121251216318342e-06
1822,7.980390250850178e-07,9.70479618445097e-07
1823,8.933948834055627e-07,1.0100105782839819e-06
1824,7.51163270251709e-07,1.194113792735152e-06
1825,7.942509796521335e-07,1.4300039765657857e-06
1826,8.323545444000047e-07,1.0622428590068012e-06
1827,9.254142128156673e-07,1.1917934443772538e-06
1828,9.163128993350256e-07,1.1923991678486345e-06
1829,9.867725339063327e-07,1.2053885711793555e-06
1830,8.892184268916026e-07,1.3620070831166231e-06
1831,1.0976209523505531e-06,1.10385735752061e-06
1832,1.0147476814381662e-06,9.173319313049433e-07
1833,1.099286350836337e-06,8.907810524760862e-07
1834,1.0258650036121253e-06,1.0697372090362478e-06
1835,8.86393877408409e-07,1.0074032843476743e-06
1836,9.31495947043004e-07,1.1754591469070874e-06
1837,1.0506415719646611e-06,1.163359343081538e-06
1838,9.922719073074404e-07,1.1065219496231293e-06
1839,1.1347163990649278e-06,1.2221098586451262e-06
1840,1.0255198503728025e-06,1.0873058045035577e-06
1841,1.0991979024765897e-06,1.0465494142408716e-06
1842,1.4550226978826686e-06,1.4261771639212384e-06
1843,1.109317850023217e-06,9.852727771431091e-07
1844,9.121988568949746e-07,9.895876473819953e-07
1845,9.503128239884973e-07,8.643772844152409e-07
1846,1.028050405693648e-06,9.98777977656573e-07
1847,1.169790152744099e-06,8.995896791930136e-07
1848,1.340333938060212e-06,1.1963244332946488e-06
1849,1.2284222066227812e-06,8.32075897960749e-07
1850,1.0495788274056395e-06,9.022575682138267e-07
1851,1.0228809514956083e-06,7.790922040840087e-07
1852,1.1002821338479407e-06,8.580898906984658e-07
1853,1.07315611330705e-06,9.710361155157443e-07
1854,1.213187601933896e-06,8.988499757833779e-07
