year,auraient_VERB apporté_VERB,auraient_VERB rapporté_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.524246932646747e-08,2.3811825844433088e-09
1802,0.0,0.0
1803,1.3652374342143503e-08,1.5602713787643552e-08
1804,3.460591457837836e-08,0.0
1805,4.264316544322355e-08,2.842877711017877e-09
1806,1.729001475325731e-08,1.4408345627714425e-08
1807,4.839823830593559e-08,2.8469550272802735e-08
1808,3.3991110370834576e-08,2.7192887941396293e-08
1809,1.8072244145628247e-08,4.518061036407062e-09
1810,4.914266327205041e-08,1.1700633351097167e-08
1811,1.2535384286138651e-08,1.504245972228091e-08
1812,2.6672083208723052e-08,1.8670457180292033e-08
1813,4.3136125782439194e-08,0.0
1814,6.293354282149721e-09,6.293354282149721e-09
1815,5.3944472000466703e-08,2.4275012222574333e-08
1816,1.622322720606917e-08,1.622322720606917e-08
1817,3.89218364205135e-08,1.401186100480345e-08
1818,2.8610825708597076e-08,1.4305412854298538e-08
1819,1.449147024601416e-08,1.1386155129855524e-08
1820,4.390598107306687e-08,3.085285271708926e-08
1821,5.423818549843418e-08,6.903041693817613e-09
1822,2.90742860897808e-08,4.0102463572111446e-08
1823,1.581229902569703e-08,8.894418535021487e-09
1824,1.8526447931321854e-08,4.210556348027694e-09
1825,2.0252519661312363e-08,1.4969252504215547e-08
1826,4.051672775062798e-08,1.4973572604048968e-08
1827,2.488663675137559e-08,1.566936447261469e-08
1828,4.1275356466030644e-08,1.3758452155343548e-08
1829,7.887322084343396e-08,2.4862210068476998e-08
1830,3.965997663613052e-08,2.0873671680021744e-09
1831,3.585977381703742e-08,2.182768810143898e-08
1832,6.764984572527055e-09,1.352996914505411e-08
1833,2.548398292390175e-08,3.8225973497674204e-08
1834,4.760610750054184e-08,2.9870498963191494e-08
1835,4.764745398233572e-08,1.5126175867408165e-08
1836,4.9061476659062464e-08,1.68018754465038e-08
1837,2.5744196108234974e-08,2.1569462660409044e-08
1838,4.418513199766494e-08,9.468243078458727e-09
1839,4.194885150354821e-08,7.690622361167243e-09
1840,6.815567132889555e-08,1.2739377552861697e-08
1841,3.852328944731198e-08,2.5040138851295524e-08
1842,7.915753030829364e-08,1.8112315203211438e-08
1843,3.603215859016018e-08,1.8311423488626133e-08
1844,4.555505839221041e-08,1.975882035765153e-08
1845,4.464182268293371e-08,1.674068350610014e-08
1846,3.454155717008689e-08,2.5759806732139623e-08
1847,8.521293182184309e-08,4.7460368080010085e-08
1848,4.505324113779352e-08,4.424871846708811e-08
1849,5.781796375003978e-08,2.0948537127196687e-08
1850,6.44954596396019e-08,1.5614691761811628e-08
1851,3.611685883697646e-08,3.611685883697646e-08
1852,4.948014620254071e-08,8.463708844885787e-09
1853,6.449686651421871e-08,3.5831591027601917e-09
1854,4.052618152172727e-08,2.1302223984775992e-08
1855,4.5108965451845506e-08,2.865746040470185e-08
1856,3.572260709461261e-08,1.6049286344355096e-08
1857,3.905207179855097e-08,2.4407546206361985e-08
1858,3.6213201326518174e-08,1.1744822003834088e-08
1859,4.124660435422811e-08,3.0043821652725455e-08
1860,7.140406665939736e-08,2.1055045706930287e-08
1861,7.451222927556955e-08,2.782418562219391e-08
1862,8.493814362964258e-08,1.490935552794781e-08
1863,6.592899381985262e-08,8.490855130105501e-09
1864,5.657778956447146e-08,1.4863656971897399e-08
1865,7.013198199956605e-08,2.118079933666195e-08
1866,6.665889884516218e-08,1.9949013108089275e-08
1867,7.036576477048584e-08,3.202855580752839e-08
1868,5.9278487896108345e-08,3.1615194018286275e-08
1869,5.909058131692291e-08,2.490594752657671e-08
1870,7.396923251690168e-08,3.039045992636602e-08
