year,devrait_VERB établir_VERB,devrait_VERB rétablir_VERB
1800,3.772997558826319e-08,3.144164484325529e-09
1801,2.3811825400343878e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,1.950339267864365e-08,1.950339223455444e-09
1804,2.9662210465630778e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,1.4234775136401367e-08,0.0
1808,6.798221985349073e-09,0.0
1809,1.129515236897305e-08,9.036122072814123e-09
1810,7.020380277111826e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,8.627225156487839e-09,0.0
1814,1.8880061958270744e-08,2.5173417128598885e-08
1815,1.6183340889597275e-08,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,6.227493631882908e-09,6.227493631882908e-09
1818,2.8610825708597076e-08,3.5763532135746345e-09
1819,1.6561680027393777e-08,2.070210003424222e-09
1820,6.170570543417853e-08,0.0
1821,2.2681422962023134e-08,9.86148829262845e-10
1822,1.303330066093622e-08,9.023054303725075e-09
1823,5.336650943377208e-08,9.882686891060644e-10
1824,3.2842340402794434e-08,0.0
1825,5.107157008410468e-08,8.805443041381977e-10
1826,3.082794464148719e-08,7.0463874735082754e-09
1827,6.636436467033491e-08,1.1982455028203276e-08
1828,5.77854990524429e-08,3.668920500743411e-09
1829,1.8860987438529264e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,0.0
1831,5.9246584527272717e-08,0.0
1832,2.4353944638733083e-08,2.705993873419743e-09
1833,6.834341093053808e-08,0.0
1834,5.787409307345115e-08,9.334530925997342e-10
1835,3.1764969321557146e-08,7.563087933704082e-10
1836,2.6210924986003192e-08,2.688300027031687e-09
1837,4.87052354003481e-08,5.5663127440652715e-09
1838,3.1560809077291196e-08,3.787297142565649e-09
1839,1.3982949909063791e-08,4.894032734625853e-09
1840,4.1402977046800515e-08,8.280594876453051e-09
1841,5.200644181968528e-08,1.0272877659645019e-08
1842,4.427455024824667e-08,6.708265054555795e-09
1843,3.603215859016018e-08,4.134837805480629e-09
1844,3.1833653935109396e-08,5.488561272137815e-10
1845,2.7901139176833567e-08,7.254296274794569e-09
1846,4.27378594736183e-08,5.854501328173001e-10
1847,4.1527822958187244e-08,7.550513103637968e-09
1848,7.562508130831702e-08,1.769948809737798e-08
