year,tout_ADV acheté_VERB,tout_ADV racheté_VERB
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,5.851017448321727e-09,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,0.0
1806,4.3225035994964855e-08,8.645007376628655e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.7192887941396293e-08,2.2660739951163578e-09
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.401186100480345e-08,3.113746815941454e-09
1818,3.5763530803478716e-08,8.344824387052086e-09
1819,2.2772310259711048e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,2.6626018723163725e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,1.8777104315859106e-08,1.9765373782121287e-09
1824,0.0,1.6842225392110777e-09
1825,6.163809906922779e-09,7.044354433105582e-09
1826,1.4092774947016551e-08,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,8.255071293206129e-09,5.503380862137419e-09
1829,6.858540846366168e-09,8.57317605795771e-10
1830,1.982998831806526e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,4.058990654698391e-08,0.0
1833,2.20088942626262e-08,2.3167257001688313e-09
1834,3.733812370398937e-09,0.0
1835,7.563087933704082e-10,7.563087933704082e-10
1836,2.016224964762614e-09,3.629205025390547e-08
1837,5.5663127440652715e-09,1.3915781860163179e-09
1838,0.0,6.312161904276081e-10
1839,4.194885327990505e-09,1.3982949909063791e-08
1840,1.6561189752906103e-08,4.458782232319436e-09
1841,1.926164472365599e-08,1.1556987367100646e-08
1842,6.708265054555795e-09,1.0062397137744483e-08
1843,5.906910960362666e-09,2.4218335781256428e-08
1844,2.195424508855126e-09,5.488561161115513e-09
1845,1.5624637417221976e-08,8.928364714222425e-09
1846,6.439951683034906e-09,1.5807152919933287e-08
1847,3.829188699455699e-08,7.550513103637968e-09
1848,8.84974404868899e-09,1.287235473768078e-08
1849,6.703531951757213e-09,1.6758829879393033e-09
1850,8.146795238417326e-09,5.431196825611551e-09
1851,1.483370892785274e-08,1.2898877521649865e-09
1852,6.510545436100301e-09,0.0
1853,5.971931837933653e-09,2.9859659189668264e-09
1854,1.610655964157104e-08,6.234797567117312e-09
1855,1.0613874223963649e-08,1.0613874223963649e-08
1856,1.501384794266869e-08,1.1907535402144731e-08
1857,7.810414537345878e-09,4.881508974818871e-09
1858,1.1255455234504552e-08,1.9574704079872163e-09
1859,2.6988518087023294e-08,1.9350258284589472e-08
1860,9.15436793036406e-09,7.781213007262977e-09
1861,1.5091083938045813e-08,4.715963730639317e-10
1862,1.3102160273392727e-08,6.325180823552046e-09
1863,1.9978483312144135e-09,8.490855130105501e-09
1864,5.753673537611803e-09,5.753673537611803e-09
1865,1.0119715465606305e-07,1.0355057256106193e-08
1866,3.8924903300596725e-09,4.379051787850585e-09
