year,puissent_VERB ajouter_VERB
1800,6.288328968651058e-09
1801,9.524730337773235e-09
1802,0.0
1803,1.1702034896643454e-08
1804,1.9774807569206132e-08
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,3.4163463169534225e-08
1808,1.1330369531492579e-08
1809,0.0
1810,7.020380277111826e-09
1811,3.259199843341776e-08
1812,1.3336041604361526e-08
1813,1.7254450312975678e-08
1814,0.0
1815,5.394447111228828e-09
1816,2.7811246638975717e-08
1817,1.2454987263765815e-08
1818,2.6226590676969863e-08
1819,1.3456364911235141e-08
1820,4.746592452420373e-08
1821,1.3806083387635226e-08
1822,2.7069162911175226e-08
1823,6.917880934764753e-09
1824,6.736890156844311e-09
1825,2.0252519661312363e-08
1826,2.8185549894033102e-08
1827,1.3825909306319772e-08
1828,1.7427371545863934e-08
1829,9.430493719264632e-09
1830,1.982998831806526e-08
1831,4.677361609140007e-09
1832,1.6235963684607668e-08
1833,6.950177322551099e-09
1834,2.42697808516823e-08
1835,6.806779140333674e-09
1836,1.8146025126952736e-08
1837,2.0177884252348122e-08
1838,2.398621568033832e-08
1839,2.7965900706306e-09
1840,1.52872523528913e-08
1841,1.219904177673925e-08
1842,1.341653010911159e-08
1843,1.8902115428431898e-08
1844,1.4819115712327857e-08
1845,2.287893430263921e-08
1846,9.367202125076801e-09
1847,2.0494249852731627e-08
1848,3.137636639394259e-08
1849,1.75967720394965e-08
1850,1.0183494048021657e-08
1851,3.8696632564949596e-09
1852,1.4974254725075298e-08
1853,1.791579506971175e-08
1854,8.313063126763609e-09
1855,5.837630823180007e-09
1856,2.174419400091665e-08
1857,9.763017949637742e-09
1858,2.300027723833864e-08
1859,2.036869339860914e-08
1860,2.0139609091529564e-08
1861,1.226150558863992e-08
1862,4.9697850279528666e-09
1863,1.2486552236623538e-08
1864,1.7740493518658695e-08
1865,2.0710114512212385e-08
1866,1.0217787504984699e-08
1867,1.2132028714972876e-08
1868,1.3831646938911035e-08
1869,4.395167341186834e-09
1870,7.454262984651905e-09
1871,8.496941816815706e-09
1872,1.9351485747165498e-08
1873,7.781805422268917e-09
1874,2.4495896866483235e-08
1875,0.0
1876,1.813804439976252e-09
1877,9.895705588292003e-09
1878,4.831270938865373e-09
1879,1.221865053580018e-09
1880,5.776061406947974e-09
1881,1.1853263259808955e-08
1882,7.320923423037584e-09
1883,9.479008689083912e-09
1884,6.601696966868076e-09
1885,1.9981470700258797e-08
1886,2.5813855497602844e-09
1887,7.1818169189441505e-09
1888,7.60873763994141e-09
1889,7.51816386923565e-09
1890,2.6217545912032847e-09
1891,7.0116419337296065e-09
1892,6.268512375839919e-10
1893,3.695050043717174e-09
1894,1.2603078580752936e-09
