year,voulaient_VERB envoyer_VERB,voulaient_VERB renvoyer_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.5602713787643552e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,0.0,2.0171682990621775e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,4.5321479902327155e-09
1809,1.581321384946932e-08,1.8072244145628247e-08
1810,0.0,0.0
1811,8.524060746140094e-08,0.0
1812,0.0,0.0
1813,3.163315653864629e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.7811246638975717e-08,4.6352077731626196e-09
1817,2.6466848268569265e-08,0.0
1818,1.0729059418679299e-08,7.152706427149269e-09
1819,9.315945348475907e-09,0.0
1820,1.1866481131050932e-08,2.3732962262101864e-09
1821,3.747365440176509e-08,0.0
1822,1.2030739071633434e-08,2.0051231786055723e-09
1823,3.162459805139406e-08,1.581229902569703e-08
1824,1.3473780313688621e-08,0.0
1825,4.842993561737785e-08,0.0
1826,2.290075862276808e-08,0.0
1827,2.8573547083965423e-08,3.6869092223668076e-09
1828,2.2013523448549677e-08,9.172301251858528e-10
1829,4.029392641768936e-08,0.0
1830,3.1310506187764986e-08,0.0
1831,6.236482619215167e-08,0.0
1832,1.2176972319366541e-08,1.7588959622116818e-08
1833,1.853380560135065e-08,8.108539617524002e-09
1834,4.667265329771908e-08,0.0
1835,2.571449897459388e-08,9.075705520444899e-09
1836,5.1749776019960336e-08,1.0753200108126748e-08
1837,3.5485243188304594e-08,0.0
1838,4.229148586887277e-08,1.8936485712828244e-09
1839,1.8177836125232716e-08,1.677954131196202e-08
1840,2.93005673057678e-08,8.280594876453051e-09
1841,3.78812359258518e-08,4.494383976094696e-09
1842,2.683306021822318e-08,1.341653010911159e-09
1843,3.18973185642335e-08,3.5441467538532834e-09
1844,2.9638231424655714e-08,4.390849017710252e-09
1845,2.5669049108500985e-08,0.0
1846,2.6345256642912318e-08,3.5127007969038004e-09
1847,1.7258315665458213e-08,1.4561703842730367e-08
1848,1.769948809737798e-08,1.6090443422100975e-09
1849,1.75967720394965e-08,0.0
1850,3.1229383523623255e-08,2.0366988096043315e-09
1851,1.6123596680017727e-08,2.579775504329973e-09
1852,2.7344290387532055e-08,1.2370036550635177e-08
1853,1.2541057081705276e-08,5.971931837933653e-10
1854,2.4419623656513068e-08,1.558699391779328e-09
1855,2.0166361025530932e-08,1.5920811335945473e-09
1856,2.174419400091665e-08,3.6240324075009767e-09
1857,1.8549734193129552e-08,0.0
1858,7.34051397444091e-09,2.4468380654951716e-09
1859,2.1387128512628806e-08,0.0
1860,1.2816115280145368e-08,1.373155145145688e-09
1861,1.1789909493131745e-08,0.0
1862,2.3041730301542884e-08,4.517986262886353e-10
1863,3.596127129412707e-08,1.4983863039219614e-09
1864,1.6302074357099627e-08,9.589455896019672e-10
1865,1.7415324293779122e-08,9.41368871743009e-10
1866,3.0166798836717135e-08,9.731225825149181e-10
1867,3.494024269912188e-08,0.0
1868,3.951899252285784e-09,4.93987406535723e-10
1869,9.767038733343725e-09,7.325278605918584e-09
1870,3.1537268796455464e-08,1.1468097582678638e-09
1871,1.911811864374613e-08,1.0621177271019633e-09
1872,1.9956219787786722e-08,1.8142017887967654e-09
1873,1.7359413462259e-08,5.986004469882289e-10
1874,1.3741600746186577e-08,0.0
1875,2.0025344937835143e-08,5.721527140956084e-10
1876,1.209202959984168e-08,1.813804439976252e-09
1877,2.72131899237138e-08,2.4739263970730008e-09
1878,1.4493812372506909e-08,6.039088673581716e-10
1879,9.774920428640144e-09,1.221865053580018e-09
1880,1.2835692508872398e-08,3.8507077526617195e-09
1881,1.673401861523871e-08,2.7890030285249168e-09
1882,1.0648616211028639e-08,1.3310770263785798e-09
1883,2.6541224329434954e-08,3.159669414998234e-09
1884,1.386356363042296e-08,3.300848483434038e-09
1885,1.933690718658454e-08,5.156508553483263e-09
1886,9.034849313138693e-09,1.2906927748801422e-09
1887,3.264462256069578e-09,4.570247291724172e-09
1888,1.268122939990235e-08,0.0
1889,2.0048437576747347e-08,1.2530273485467092e-09
1890,2.2940351840361473e-08,3.9326319978272295e-09
1891,1.466070642663908e-08,6.3742202627281586e-09
1892,1.3790726782758611e-08,3.1342561879199593e-09
1893,6.774258043407144e-09,4.310891643655168e-09
1894,6.9316934414587195e-09,0.0
1895,1.444467478961542e-08,2.4074457982692365e-09
1896,1.2973464080801023e-08,1.7691086373616827e-09
1897,1.1070755867592652e-08,1.1653427112179315e-09
1898,1.0185038590293516e-08,3.3950129374460403e-09
1899,7.738609753005221e-09,0.0
1900,1.6092265298084385e-08,6.748368974740515e-09
1901,2.0119459875900247e-08,1.676621730339889e-09
1902,2.9461704187383475e-09,2.9461704187383475e-09
1903,8.100330184390714e-09,2.7001101354784396e-09
1904,1.6123875568041512e-08,3.2247751136083025e-09
1905,1.186974607492175e-08,2.580379465655369e-09
1906,4.629765903985117e-09,2.572092316910357e-09
1907,9.771402353919711e-09,5.142843373384665e-10
1908,6.384805573134145e-09,9.822778146428846e-10
1909,1.265226234892225e-08,5.500983557560346e-10
1910,4.809735720812114e-09,1.6032452032632705e-09
1911,8.51259862599818e-09,5.3203743632934675e-09
1912,8.335073964360618e-09,0.0
1913,1.0605979205990934e-08,2.121195885607108e-09
1914,1.0714789944188396e-08,4.018046340092951e-09
1915,5.890381071793627e-09,0.0
1916,9.888715624128963e-09,0.0
1917,1.864292187292449e-08,0.0
1918,1.1486376294556067e-08,3.44591288836682e-09
1919,1.1970202606903513e-08,9.207848372660976e-10
1920,1.2872794385998532e-08,0.0
1921,1.817459427400081e-08,0.0
1922,3.6889677978990676e-09,0.0
1923,6.369568872344189e-09,1.0615948120573648e-09
1924,5.156649773851996e-09,2.578324886925998e-09
1925,1.7597084678300234e-08,0.0
1926,1.2260752413340015e-08,0.0
1927,7.804457524684949e-09,2.2298449753321847e-09
1928,1.4853853258500749e-08,1.1426041224282812e-09
1929,1.7824650200282122e-08,0.0
1930,1.6805765667982087e-08,2.100720708497761e-09
1931,9.124285327288817e-09,3.4216069977333063e-09
1932,4.383814644626227e-09,0.0
1933,4.588264879146209e-09,0.0
1934,1.0783422155213884e-08,4.7926320689839486e-09
1935,7.180970484910176e-09,0.0
1936,8.487299751891442e-09,1.2124714565686645e-09
1937,1.7627565185307503e-08,1.2591118148108649e-09
1938,1.1668692678767911e-08,0.0
1939,9.176430282309411e-09,0.0
1940,1.0143131667916805e-08,0.0
1941,1.1806010391524069e-08,0.0
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,1.4516175816936538e-08,2.9032352077962287e-09
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,1.742803235060819e-08,1.5249527862692958e-08
1946,2.7842208538686464e-09,2.7842208538686464e-09
1947,8.344609447874518e-09,0.0
1948,1.0871888278529696e-08,0.0
1949,3.9268033269479474e-09,9.817008317369869e-10
1950,1.1698897850465073e-08,2.1270722960764488e-09
1951,2.1322803522849654e-09,0.0
1952,3.1634410646574906e-09,0.0
1953,2.1547654771580937e-09,0.0
1954,7.818028890937967e-09,0.0
1955,3.754243138587299e-09,0.0
1956,1.744228317335228e-09,0.0
1957,2.6505113659425206e-09,0.0
1958,4.9633461784992505e-09,2.4816730892496253e-09
1959,1.5501495198577686e-08,7.750747821333448e-10
1960,4.152500121534786e-09,0.0
1961,4.86371165564492e-09,6.948159270159238e-10
1962,3.805173953708163e-09,3.170978146727066e-09
1963,4.526237162849611e-09,0.0
1964,3.6503808864551957e-09,1.2167936658258327e-09
1965,5.47204326295514e-09,2.188817349590977e-09
1966,5.539074976468328e-09,1.1078149508847446e-09
1967,1.035370456037299e-08,9.860671168482327e-10
1968,6.287982134978165e-09,4.4914158503495116e-10
1969,4.087581828571274e-09,3.1792304344691047e-09
1970,9.657322941336588e-09,0.0
1971,5.138397263237948e-09,2.569198631618974e-09
