year,aient_VERB établi_VERB,aient_VERB rétabli_VERB
1800,1.0690159513160324e-07,3.144164484325529e-09
1801,2.6193008650921e-08,2.3811825844433088e-09
1802,2.3273537408385891e-07,6.713520406265161e-09
1803,2.145373123596528e-08,0.0
1804,8.157108055684148e-08,4.943701892301533e-09
1805,4.264316544322355e-08,0.0
1806,3.1698359492793315e-08,1.729001475325731e-08
1807,2.2775640928784924e-08,2.2775640928784924e-08
1808,8.384473915157287e-08,9.064295980465431e-09
1809,4.743964154840796e-08,0.0
1810,4.212228077449254e-08,2.3401267590372754e-09
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,4.5342538612658245e-08,4.800974906515876e-08
1813,6.614205716459765e-08,2.8757416448144113e-09
1814,3.1466772298927026e-08,1.5733386149463513e-08
1815,5.664169577812572e-08,0.0
1816,5.3304887615013286e-08,1.8540831092650478e-08
1817,9.963989811012652e-08,1.2454987263765815e-08
1818,6.199012148044858e-08,1.3113295338484932e-08
1819,1.3145833577254962e-07,9.315945348475907e-09
1820,4.865257352548724e-08,8.306536791735653e-09
1821,7.198886464721e-08,2.9584463767662328e-09
1822,5.514088741165324e-08,3.0076847679083585e-09
1823,8.20263039713609e-08,2.075364236020505e-08
1824,5.3895121254754486e-08,6.736890156844311e-09
1825,4.490776106536032e-08,5.283265824829186e-09
1826,9.512623222462935e-08,7.927186018719112e-09
1827,9.585964022562621e-08,1.013900075008678e-08
1828,5.503380862137419e-08,1.2841221419535032e-08
1829,8.144517238406479e-08,1.5431716349212365e-08
1830,5.0096812032052185e-08,1.7742621594152297e-08
1831,4.365537620287796e-08,3.1182412207897414e-09
1832,1.6235963684607668e-08,5.411987746839486e-09
1833,8.108539617524002e-08,5.791814139399776e-09
1834,8.401077877806529e-08,2.8003592777992026e-09
1835,8.848812882433776e-08,5.294161553592858e-09
1836,5.040562456315456e-08,1.344150035720304e-08
1837,3.061472142462662e-08,3.478945576063097e-09
1838,6.375283589932224e-08,3.1560809521380406e-09
1839,7.760537101830778e-08,6.292327547896548e-09
1840,4.522479102320176e-08,5.732719632334238e-09
1841,8.410918894696806e-08,0.0
1842,5.836190553054621e-08,8.049918065466954e-09
1843,5.1390127708828004e-08,2.953455480181333e-09
1844,4.116420981858937e-08,6.037417232818143e-09
1845,3.57134588568897e-08,4.464182357111213e-09
1846,4.976326195560432e-08,1.1123552745573306e-08
1847,3.883121024728098e-08,3.235934187273415e-09
1848,6.033916122305527e-08,2.091757700384278e-08
1849,5.6980020701757894e-08,1.6758829879393033e-09
1850,3.2587180953669304e-08,1.0183494048021657e-08
1851,4.9660677348128957e-08,7.739326512989919e-09
1852,4.817803755940986e-08,5.859490670445666e-09
1853,4.896984151514516e-08,4.180352064508952e-09
1854,4.8839247313026135e-08,2.0782657816909023e-09
1855,4.6701046585440054e-08,6.368324534378189e-09
1856,5.7466799319172424e-08,2.5885946719483854e-09
1857,4.3445432140742923e-08,4.393358121745905e-09
1858,2.838332058274773e-08,1.0766087576996597e-08
1859,6.467060131853941e-08,5.601390462572908e-09
1860,3.8448344952257685e-08,3.661747127736703e-09
1861,5.2818794671338765e-08,7.073945429425521e-09
1862,4.337266901188741e-08,8.132375661773494e-09
1863,3.2465035104678464e-08,3.496234635136375e-09
1864,2.5412058235474433e-08,7.1920918109924514e-09
1865,4.000817810378976e-08,4.706844247692743e-09
1866,4.670988573707291e-08,2.919367858567057e-09
1867,3.736664666575962e-08,5.82337378318698e-09
1868,3.507310708528166e-08,4.939874287401835e-09
1869,2.8812763730456936e-08,4.883519144627257e-10
1870,3.899153000475053e-08,8.601073631098188e-09
1871,4.5671061599250606e-08,0.0
1872,4.354084381930079e-08,1.8142017887967654e-09
1873,3.831042860724665e-08,4.190203295451056e-09
1874,3.2262889249068394e-08,1.0156835372754358e-08
1875,3.89063856687244e-08,1.2015206607429718e-08
1876,3.264847947548333e-08,1.813804439976252e-09
1877,3.7727378554563984e-08,1.2988113695655557e-08
1878,6.03908887342186e-08,9.058632954861423e-09
1879,3.0546626561545054e-08,4.887460214320072e-09
1880,4.3641353641987735e-08,3.2089231272180996e-09
1881,3.69542902944886e-08,2.7890030285249168e-09
1882,4.19289278852375e-08,3.3276925659464496e-09
1883,4.613117354779206e-08,1.8958017378167824e-09
1884,3.234831424947515e-08,3.300848483434038e-09
1885,5.1565084646654213e-08,0.0
1886,3.291266637006629e-08,0.0
1887,6.398346386049525e-08,3.9173548849191775e-09
1888,3.9945874164004636e-08,5.07249175996094e-09
1889,6.265136676120164e-08,5.6386229019267375e-09
1890,2.8839300725280737e-08,2.6217545912032847e-09
1891,5.290602800300803e-08,1.2748440081367107e-09
1892,4.952124754709075e-08,1.8805537127519756e-09
1893,2.9560400349737392e-08,3.695050043717174e-09
1894,3.591877373310126e-08,4.411077725308132e-09
1895,3.49079627426363e-08,8.426059849853118e-09
1896,3.3613066108273415e-08,1.179405795248556e-09
1897,4.0204323425996336e-08,5.2440420894583895e-09
1898,2.6028432742464247e-08,0.0
1899,5.085372123403431e-08,3.8693048765026106e-09
1900,3.4780054392058446e-08,2.595526460424935e-09
1901,2.51493244007861e-08,7.265360757457984e-09
1902,2.7006560543441083e-08,4.910283735171106e-09
1903,6.53426681651581e-08,1.6200660812870638e-09
1904,4.944655174199397e-08,4.837162670412454e-09
1905,4.335037573355294e-08,5.676835002077496e-09
1906,2.777859720026754e-08,3.0865106026567446e-09
1907,4.1142747875255736e-08,3.0857059130084963e-09
1908,4.0273391732625896e-08,1.964555629285769e-09
1909,3.355599886845084e-08,3.850688656825696e-09
1910,1.870452770447173e-08,7.481810726517324e-09
1911,2.8730021028877673e-08,4.25629931299909e-09
1912,5.990834495150921e-08,2.0837684910901544e-09
1913,2.598464909908671e-08,5.30298971401777e-10
1914,2.74566485103378e-08,9.37544086809794e-09
1915,3.062998032987707e-08,1.8849219074468238e-08
1916,2.6369908923129515e-08,5.493730803607377e-09
1917,3.3995917192441993e-08,1.0966424435210342e-09
1918,1.6080926812378493e-08,0.0
1919,2.762354434082681e-08,7.366278698128781e-09
1920,4.0890050456710014e-08,8.329454459499175e-09
1921,5.452378104564559e-08,0.0
1922,3.8365264742878935e-08,7.377935484775833e-10
1923,2.441668023323018e-08,9.554353752605493e-09
