year,voulut_VERB assurer_VERB,voulut_VERB rassurer_VERB
1800,7.231578535993322e-08,2.2009151834367913e-08
1801,1.904946067554647e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,3.90067853572873e-08,1.950339223455444e-09
1804,4.2021465418429216e-08,7.4155526164076946e-09
1805,7.675770063997334e-08,1.1371510844071508e-08
1806,6.339671898558663e-08,8.645007376628655e-09
1807,1.4234775136401367e-08,0.0
1808,3.3991110370834576e-08,4.5321479902327155e-09
1809,2.4849335034105025e-08,9.036122072814123e-09
1810,4.212228077449254e-08,0.0
1811,6.016983888912364e-08,0.0
1812,9.068507722531649e-08,2.6672082320544632e-09
1813,7.764502640839055e-08,5.751483289628823e-09
1814,5.349351184236184e-08,3.1466771410748606e-09
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,2.0858434979231788e-08,0.0
1817,8.56280379935015e-08,0.0
1818,2.5034472272977837e-08,0.0
1819,7.349245834120666e-08,0.0
1820,6.051905643289501e-08,1.898636980968149e-08
1821,2.7612166775270452e-08,3.94459531705138e-09
1822,4.8122956286533736e-08,8.02049271442229e-09
1823,8.30145694408202e-08,2.9648061783404955e-09
1824,5.3053010873327366e-08,2.0210670470532932e-08
1825,7.308517524506897e-08,7.044354433105582e-09
1826,4.492072136486058e-08,2.642395191543301e-09
1827,5.069500019772022e-08,9.217273166939322e-09
1828,4.494427585655103e-08,0.0
1829,4.543783305166471e-08,1.714635211591542e-09
1830,4.5922078584226256e-08,4.174734336004349e-09
1831,6.392394169552063e-08,1.5591206103948707e-09
1832,3.5177919244233635e-08,1.3529969367098715e-09
1833,3.4750886612755494e-08,6.950177322551099e-09
1834,4.667265329771908e-08,8.401078055442213e-09
1835,5.3697924329298985e-08,7.563087933704082e-10
1836,3.293167694096155e-08,6.72075017860152e-09
1837,7.236206300831327e-08,6.262101948095733e-09
1838,7.32210807541378e-08,8.837027110075724e-09
1839,9.508406151326199e-08,2.0974426639952526e-09
1840,5.286841542329057e-08,0.0
1841,7.126809009605495e-08,7.704658244733764e-09
1842,6.574099842282521e-08,6.037438549100216e-09
1843,7.442707783411606e-08,5.906910960362666e-09
1844,8.78169785778482e-08,6.037417232818143e-09
1845,8.091330272463892e-08,6.696273757711424e-09
1846,5.3861413107370026e-08,4.0981511517657054e-09
1847,8.143767615820252e-08,9.168480197274675e-09
1848,6.677534258869855e-08,1.6090443422100975e-09
1849,7.792856138166826e-08,1.6758829879393033e-09
1850,4.616517301769818e-08,3.394498016007219e-09
1851,3.418202609850596e-08,1.805842941848823e-08
1852,3.5156944022674e-08,6.510545436100301e-10
1853,3.1651239851271384e-08,5.971931837933653e-09
1854,4.572184764128906e-08,3.63696517347023e-09
1855,4.617035287424187e-08,3.714855978387277e-09
1856,6.471486813097727e-08,1.7084724746041502e-08
1857,2.782460128969433e-08,4.393358121745905e-09
1858,5.2851699905431815e-08,1.1255455234504552e-08
1859,3.3099126994784456e-08,6.619825576592575e-09
1860,4.622955884769908e-08,4.119465657481669e-09
1861,5.046081241744105e-08,1.8863854922557266e-09
1862,5.2860439581081664e-08,8.584174260306554e-09
1863,6.193329937786984e-08,4.495158911765884e-09
1864,3.931677028390368e-08,4.794727948009836e-10
1865,5.977692296710302e-08,3.294791106611683e-09
1866,5.498142741089396e-08,1.702964524952222e-08
