year,pourrait_VERB allumer_VERB,pourrait_VERB rallumer_VERB
1800,9.432493897065797e-09,0.0
1801,4.7623651688866175e-09,1.1905912700171939e-08
1802,6.713520406265161e-09,0.0
1803,5.070882025393075e-08,0.0
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,1.1371510844071508e-08,0.0
1806,0.0,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,2.4849335034105025e-08,0.0
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,3.760615285841595e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,0.0,3.4613449884091096e-08
1815,0.0,2.697223555614414e-09
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,0.0
1818,1.4305412854298538e-08,7.152706427149269e-09
1819,3.1053151161586356e-09,0.0
1820,7.119888678630559e-09,4.746592452420373e-09
1821,7.88919063410276e-09,9.86148829262845e-10
1822,1.0025615893027862e-08,3.0076847679083585e-09
1823,1.8777104315859106e-08,0.0
1824,3.3684450784221553e-09,0.0
1825,6.163809906922779e-09,0.0
1826,2.3781558056157337e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,4.586150570418113e-09,7.337841001486822e-09
1829,2.571952872898464e-09,8.57317605795771e-10
1830,4.174734336004349e-09,3.1310507520032616e-09
1831,6.236482441579483e-09,0.0
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,1.3900354645102198e-08,8.108539617524002e-09
1834,1.5868701908061666e-08,1.120143711119681e-08
1835,6.050470346963266e-09,7.563087933704082e-10
1836,1.0753200108126748e-08,2.016224964762614e-09
1837,1.6003149028165353e-08,2.7831563720326358e-09
1838,1.199310784016916e-08,1.0730675015224733e-08
1839,6.9914749545318955e-09,2.7965900706306e-09
1840,1.9746034141121527e-08,6.369688665408546e-10
1841,5.1364388298225094e-09,1.2841097074556274e-09
1842,1.475818312002275e-08,6.708265054555795e-10
1843,1.3585895075607368e-08,5.31621990873532e-09
1844,1.866110821424627e-08,1.3172547497219966e-08
1845,3.348136878855712e-09,3.348136878855712e-09
1846,1.7563503984519002e-09,1.7563503984519002e-09
1847,7.550513103637968e-09,2.6966118227278457e-09
1848,8.04522137798358e-09,8.045221711050488e-10
1849,1.6758828991214614e-08,0.0
1850,1.2220192857625989e-08,6.788996032014438e-10
1851,1.3543821175687754e-08,1.0319102017319892e-08
1852,1.3021090872200602e-09,7.812654523320361e-09
1853,5.3747388761848924e-09,5.971931837933653e-10
1854,1.3508727469968562e-08,2.5978321716024766e-09
1855,2.0166361025530932e-08,6.368324534378189e-09
1856,6.73034605824796e-09,3.6240324075009767e-09
1857,9.274867096564776e-09,4.881509085841174e-10
1858,9.787352039936081e-10,1.468102750479261e-09
1859,1.3748867822016564e-08,7.129042689513199e-09
