year,veut_VERB ouvrir_VERB,veut_VERB rouvrir_VERB
1800,8.489244152087849e-08,1.2576657937302116e-08
1801,2.0716288418043405e-07,4.7623651688866175e-09
1802,1.0517848636482086e-07,0.0
1803,3.1205427575287104e-08,0.0
1804,1.1370514130248921e-07,0.0
1805,1.6772978028711805e-07,2.842877711017877e-09
1806,7.780506905419315e-08,2.881669125542885e-09
1807,8.54086508184082e-08,0.0
1808,1.0423940466353088e-07,0.0
1809,1.6716825257390155e-07,0.0
1810,7.722418615685456e-08,4.680253518074551e-09
1811,4.763445815569867e-08,2.5070767684098882e-09
1812,5.867858021701977e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,1.541871768040437e-07,0.0
1815,1.4565007688815967e-07,0.0
1816,8.57513455798653e-08,3.244645441213834e-08
1817,4.981994905506326e-08,3.113746815941454e-09
1818,9.775365583664097e-08,0.0
1819,7.970308502081025e-08,5.175524897538253e-09
1820,1.3053129066520341e-07,9.493184904840746e-09
1821,1.2918549430196435e-07,1.577838126820552e-08
1822,1.513867999847207e-07,0.0
1823,9.190898708766326e-08,0.0
1824,1.4063257935958973e-07,2.5263338088166165e-09
1825,8.893497494000258e-08,4.4027217427355936e-09
1826,7.398706713956926e-08,2.642395191543301e-09
1827,1.2627664602860023e-07,1.3825909306319772e-08
1828,1.1098484264948638e-07,0.0
1829,1.1659519572049248e-07,0.0
1830,1.0123730476152559e-07,7.305785310052215e-09
1831,1.3564348932959547e-07,3.1182412207897414e-09
1832,9.065079353831607e-08,1.3529969367098715e-09
1833,1.158362863407092e-07,0.0
1834,7.467625096069241e-08,9.334530925997342e-10
1835,1.3084141414765327e-07,2.2689263801112247e-09
1836,8.132107609526429e-08,2.016224964762614e-09
1837,7.51452233771488e-08,6.957890930081589e-10
1838,7.827080850120183e-08,7.574594285131298e-09
1839,1.2444826325008762e-07,2.7965900706306e-09
1840,1.1911318154034234e-07,0.0
1841,1.155698754473633e-07,9.630822361827995e-09
1842,1.2209042665745073e-07,1.0733224087289273e-08
1843,8.269675788596942e-08,2.953455480181333e-09
1844,1.4928886571397015e-07,3.2931368743049916e-09
1845,1.0490828827869336e-07,5.580227835366713e-09
1846,1.0889372248357176e-07,0.0
1847,9.384208965457219e-08,5.3932236454556914e-09
1848,9.332457295840868e-08,0.0
1849,1.4915359258793615e-07,0.0
1850,1.6293590476834652e-07,2.7155984128057753e-09
