year,tout_DET égal_ADJ,tout_DET egal_ADJ,tout_DET régal_NOUN
1800,0.0,0.0,6.288328968651058e-09
1801,6.905429472681135e-08,0.0,2.3811825844433088e-09
1802,1.7902721083373763e-08,0.0,0.0
1803,3.510610468993036e-08,1.5602713787643552e-08,0.0
1804,4.2021465418429216e-08,0.0,1.2359254952798437e-08
1805,5.685755422035754e-09,0.0,0.0
1806,5.187004603612877e-08,0.0,0.0
1807,1.1387820464392462e-08,0.0,0.0
1808,4.305540457494317e-08,0.0,0.0
1809,3.840352036377226e-08,0.0,4.518061036407062e-09
1810,0.0,0.0,3.042164919975221e-08
1811,0.0,2.5070767684098882e-09,0.0
1812,2.400487453257938e-08,0.0,0.0
1813,0.0,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0,0.0
1815,1.8880564667256294e-08,0.0,0.0
1816,3.244645441213834e-08,0.0,0.0
1817,1.401186100480345e-08,0.0,0.0
1818,1.668964877410417e-08,0.0,0.0
1819,2.898294049202832e-08,0.0,6.210630232317271e-09
1820,3.5599443393152796e-09,5.933240565525466e-09,0.0
1821,1.3806083387635226e-08,6.903041693817613e-09,6.903041693817613e-09
1822,2.3058916553964082e-08,0.0,5.012807946513931e-09
1823,1.1859224713361982e-08,0.0,0.0
1824,1.9368560089105813e-08,0.0,8.421112696055388e-10
1825,1.0566531649658373e-08,0.0,1.0566531649658373e-08
1826,6.1655889282974385e-09,0.0,7.927186018719112e-09
1827,7.373818444733615e-09,0.0,0.0
1828,2.4765213879618386e-08,9.172301251858528e-10,1.8344602503717056e-09
1829,2.571952872898464e-09,0.0,1.714635211591542e-09
1830,1.1480519646056564e-08,1.0436835840010872e-09,6.262101504006523e-09
1831,2.182768810143898e-08,0.0,1.091384405071949e-08
1832,4.058990921151917e-09,0.0,6.764984572527055e-09
1833,1.3900354645102198e-08,8.108539617524002e-09,8.108539617524002e-09
1834,7.467624740797874e-09,0.0,9.334531370086552e-09
1835,1.4369867074037757e-08,0.0,9.832014313815307e-09
1836,1.4113575197427508e-08,1.5457725766054864e-08,6.048674894287842e-09
1837,1.0436836284100082e-08,0.0,5.5663127440652715e-09
1838,1.9567702125300457e-08,0.0,4.418513555037862e-09
1839,2.0974425751774106e-08,8.38977065598101e-09,9.088918062616358e-09
1840,1.2739377552861697e-08,3.821813088222825e-09,2.5478754661634184e-09
1841,6.420548537278137e-09,0.0,7.0626033910059505e-09
1842,1.8783142152756227e-08,0.0,6.037438549100216e-09
1843,2.4809025944705354e-08,0.0,3.5441467538532834e-09
1844,2.305195678786731e-08,0.0,1.6465684371524958e-09
1845,6.138250796539069e-09,0.0,5.580227835366713e-09
1846,1.3465353276842507e-08,0.0,1.7563503984519002e-09
1847,9.168480197274675e-09,0.0,1.0786447290911383e-09
1848,1.6090443422100975e-09,0.0,4.02261068899179e-09
1849,2.011059585527164e-08,0.0,2.513824481908955e-09
1850,1.1541293254424545e-08,6.788996032014438e-10,3.394498016007219e-09
1851,2.3217978650791338e-08,0.0,3.2247193804124663e-09
1852,1.4323200403509873e-08,6.510545436100301e-10,3.906327261660181e-09
1853,1.970737528722566e-08,0.0,7.763511611358354e-09
1854,1.0391328686409906e-08,0.0,1.3508727469968562e-08
1855,1.0613874223963649e-08,4.2455496895854594e-09,3.1841622671890946e-09
1856,1.5531567143511893e-08,5.177189232874468e-10,1.1389816201301528e-08
1857,9.763017949637742e-09,2.9289055625270066e-09,1.9526036343364694e-09
1858,1.663849857891364e-08,4.893676019968041e-10,1.761723389392955e-08
1859,7.638259802433822e-09,0.0,1.0693564256314403e-08
1860,1.2816115280145368e-08,0.0,8.238931314963338e-09
1861,1.0846716413936974e-08,2.357981809808507e-09,3.3011746669586728e-09
1862,6.325180823552046e-09,1.3553959066214816e-09,1.355395884417021e-08
1863,8.990317823531768e-09,0.0,1.048870412745373e-08
1864,6.233146443435089e-09,0.0,7.671564716815737e-09
1865,1.5061901947888146e-08,2.8241067262513297e-09,7.530950973944073e-09
1866,7.784980660119345e-09,0.0,1.1190909532388105e-08
1867,8.73506067478047e-09,0.0,8.249779526181555e-09
1868,9.87974857480367e-09,0.0,1.2349684830326169e-08
1869,7.813630631403612e-09,0.0,9.278686263769487e-09
1870,1.548193218070537e-08,0.0,7.454262984651905e-09
