year,pourraient_VERB apporter_VERB,pourraient_VERB rapporter_VERB
1800,2.2009151834367913e-08,3.144164395507687e-08
1801,1.904946067554647e-08,7.143547975374531e-09
1802,2.9091921760482364e-08,4.475680270843441e-09
1803,1.5602713787643552e-08,3.900678446910888e-09
1804,2.4718509905596875e-08,7.4155526164076946e-09
1805,2.842877711017877e-09,8.528632911009026e-09
1806,8.645007376628655e-09,1.152667650217154e-08
1807,7.686778502602465e-08,5.693910232196231e-09
1808,2.945896149242344e-08,1.1330369531492579e-08
1809,1.129515236897305e-08,1.129515236897305e-08
1810,2.574139479349924e-08,2.3401267590372754e-09
1811,5.0141537144554604e-08,5.0141535368197765e-09
1812,5.3344166417446104e-08,1.3336041604361526e-08
1813,3.4508900625951355e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,0.0
1815,3.236668177919455e-08,8.091670444798638e-09
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,5.1376822796100896e-08,0.0
1818,2.98029441125891e-08,0.0
1819,2.5877625375869684e-08,1.035105001712111e-09
1820,4.390598107306687e-08,1.542642635854463e-08
1821,4.141825016290568e-08,1.3806083387635226e-08
1822,5.714601059025881e-08,3.0076847679083585e-09
1823,6.522573414713406e-08,1.9765373782121287e-09
1824,3.536867154707579e-08,1.1789557774477544e-08
1825,5.811592274085342e-08,1.4088708866211164e-08
1826,3.699353356978463e-08,2.3781558056157337e-08
1827,5.530363722527909e-08,7.373818444733615e-09
1828,7.154395120778645e-08,7.337841001486822e-09
1829,7.11573591161141e-08,6.001223074036943e-09
1830,3.1310506187764986e-08,5.218417697960831e-09
1831,9.510635834431014e-08,9.354723218280014e-09
1832,4.6001897402447867e-08,2.0294953273491956e-08
1833,6.486831694019202e-08,1.6217079235048004e-08
1834,7.187588835222414e-08,1.7735608537350345e-08
1835,5.8235777089521434e-08,2.2689263801112247e-09
1836,4.973355061110851e-08,1.344150035720304e-08
1837,5.6358917532861597e-08,2.1569462660409044e-08
1838,6.375283589932224e-08,2.3354999711955315e-08
1839,5.103776956616457e-08,2.9364196407755117e-08
1840,4.8409635411417185e-08,1.592422194107712e-08
1841,3.78812359258518e-08,1.219904177673925e-08
1842,3.957876515414682e-08,8.720745015011744e-09
1843,8.387813466015359e-08,3.2488010504039266e-08
1844,5.1592476069117765e-08,2.360081374774836e-08
1845,5.9150416120701266e-08,5.580227835366713e-09
1846,8.02066679739255e-08,9.367202125076801e-09
1847,6.741529290366088e-08,9.168480197274675e-09
1848,6.114368744647436e-08,2.333114323960217e-08
1849,3.5193544078993e-08,5.865590679832167e-09
1850,3.869727649430388e-08,8.82569484161877e-09
1851,7.481349229010448e-08,7.094382858952031e-09
1852,5.468858077506411e-08,4.557381672043448e-08
1853,5.6733352238325097e-08,1.0152284346531815e-08
1854,5.975014261139222e-08,2.7537021551893304e-08
1855,5.466145225341279e-08,7.429711956774554e-09
1856,5.9537676122545236e-08,8.28350277259915e-09
1857,4.3445432140742923e-08,2.147863931156735e-08
1858,6.85114613929727e-08,1.761723389392955e-08
1859,3.4626779665813956e-08,1.018434669930457e-08
1860,5.6299363393463864e-08,5.492620580582752e-09
1861,6.838147470489275e-08,1.0375120318428799e-08
1862,4.156547461775517e-08,7.680577063240435e-09
1863,6.293222298836554e-08,6.493007020935693e-09
1864,3.5960461275408306e-08,1.582260189536555e-08
1865,5.695281757311932e-08,1.3179164426446732e-08
1866,2.919367680931373e-08,9.731225603104576e-09
1867,7.521857980918867e-08,9.7056229719783e-09
