year,grand_ADJ an_NOUN,grand_ADJ rang_NOUN
1800,1.2576658381391326e-08,6.288328968651058e-09
1801,2.1430642593855964e-08,2.6193008650921e-08
1802,1.7902721083373763e-08,6.713520406265161e-09
1803,5.851017670366332e-09,1.950339267864365e-08
1804,9.887403784603066e-09,1.9774807569206132e-08
1805,2.842877711017877e-09,1.7057265822018053e-08
1806,8.645007376628655e-09,1.152667650217154e-08
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,2.945896149242344e-08
1809,6.7770915546105925e-09,2.0331274441787173e-08
1810,4.680253518074551e-09,7.020380365929668e-08
1811,2.5070767684098882e-09,2.2563691359778204e-08
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,2.0130190847567064e-08,3.4508900625951355e-08
1814,6.293354282149721e-09,5.349351184236184e-08
1815,2.697223555614414e-09,1.3486118000116676e-08
1816,1.3905623319487859e-08,6.257530316133852e-08
1817,7.784366928831332e-09,3.7364962679475866e-08
1818,1.549753059215675e-08,3.814776761146277e-08
1819,3.1053151161586356e-09,2.6912729822470283e-08
1820,5.933240565525466e-09,1.898636980968149e-08
1821,7.88919063410276e-09,6.903042049088981e-08
1822,4.010246357211145e-09,7.21844344298006e-08
1823,9.882686669016039e-09,5.929612001409623e-08
1824,0.0,4.6316120716483056e-08
1825,7.044354433105582e-09,2.1133063299316746e-08
1826,3.5231936257318353e-09,6.077509340229881e-08
1827,7.373818333711313e-09,4.885154680778214e-08
1828,7.337841112509125e-09,7.521286704559316e-08
1829,1.714635211591542e-09,8.744639501401252e-08
1830,1.0436835840010872e-09,2.5048406016026092e-08
1831,1.5591206103948707e-09,9.354723218280014e-09
1832,1.3529969367098715e-09,3.788391467196561e-08
1833,4.633451511359965e-09,2.0850531967653296e-08
1834,4.667265685043276e-09,1.213489042584115e-08
1835,3.781543966852041e-09,3.100866052818674e-08
1836,1.881810018922181e-08,4.9061476659062464e-08
1837,6.957891152126194e-09,5.6358917532861597e-08
1838,5.049729523420865e-09,7.448350913819013e-08
1839,0.0,4.6842885126352485e-08
1840,1.2739377552861697e-08,3.821813265858509e-08
1841,1.926164561183441e-09,3.5955071808757566e-08
1842,2.0124795163667386e-09,2.4149754196400863e-08
1843,1.7720733769266417e-09,1.4767278067040479e-08
1844,3.841992946007622e-09,1.811225303072206e-08
1845,5.022205262772417e-09,2.287893430263921e-08
1846,7.610851726624901e-09,1.8148954339380907e-08
1847,1.0786447290911383e-09,1.77976389181822e-08
1848,8.045221711050488e-10,4.98803736093123e-08
1849,7.54147322368226e-09,1.75967720394965e-08
1850,4.073397619208663e-09,2.4440385715251978e-08
1851,2.579775504329973e-09,2.1283147688677673e-08
1852,3.2552727180501506e-09,3.2552726736412296e-08
1853,5.3747384320956826e-09,3.58315901394235e-08
1854,3.117398783558656e-09,3.273268589509826e-08
1855,1.5920811335945473e-09,3.6087172361476405e-08
1856,6.73034605824796e-09,3.9346637947801355e-08
1857,1.9526036898476207e-09,4.295728150971456e-08
1858,1.761723344984034e-08,3.9149408104233174e-08
1859,3.055304009791371e-09,3.564521477983362e-08
1860,8.696649622663699e-09,1.8766453446783515e-08
1861,1.886385547766878e-09,1.933545146215465e-08
1862,2.2589932147099034e-09,3.298130124562704e-08
1863,6.493007131957995e-09,3.696019545973428e-08
1864,7.192092144059359e-09,2.828889478223573e-08
1865,2.8241066707401785e-09,2.447559133145205e-08
1866,7.784980604608194e-09,2.7247432754506917e-08
1867,5.338092634588065e-09,3.785192959071537e-08
1868,2.4699371437009177e-09,1.975949714960734e-08
1869,5.371870948067681e-09,2.24641887314192e-08
1870,1.7202146374017957e-09,1.6055336615750093e-08
1871,1.0621177271019633e-09,5.3105884134652115e-09
1872,1.8142017887967654e-09,1.3908880269752899e-08
1873,4.1902031844287535e-09,3.23244258026989e-08
1874,3.5847653734322193e-09,1.4936523129449597e-08
1875,1.4303817741367908e-08,4.176714796244596e-08
1876,1.813804439976252e-09,3.3857681103199866e-08
1877,3.7108897066318036e-09,2.1646856751544874e-08
1878,3.0195443923020093e-09,3.32149880932775e-08
1879,3.0546627449723474e-09,2.199357040932881e-08
1880,5.134277225593564e-09,1.8611753915820373e-08
1881,3.486253785656146e-09,1.6036766581351003e-08
1882,3.3276925659464496e-09,1.5307385581309063e-08
1883,4.423537314224291e-09,1.2638677659992936e-08
1884,6.601696966868076e-09,2.3105940272216685e-08
1885,3.2228177904158883e-09,1.8692343672910283e-08
1886,6.453463874400711e-10,1.677900662855336e-08
1887,1.3057849246322917e-09,1.0446279397058333e-08
1888,1.9021844099853524e-09,1.775372027168487e-08
1889,1.8795409673089125e-09,1.3156786771162388e-08
1890,4.588070479094597e-09,2.8839301002836493e-08
1891,6.374220040683554e-10,1.2748440525456317e-08
1892,8.14906586654729e-09,8.775916882086676e-09
1893,1.2316833108982905e-09,1.6011883374744684e-08
1894,1.8904617871129403e-09,1.3863386882917439e-08
1895,4.213030146971164e-09,1.023164486468886e-08
1896,5.89702897624278e-09,1.0614652268259306e-08
1897,4.078699378240458e-09,1.2818770045441852e-08
1898,2.8291773368493978e-09,5.6583546736987955e-09
1899,4.4220627160029835e-09,9.39688327150634e-09
1900,5.191053142894475e-10,7.786579381274805e-09
1901,0.0,6.147612641171918e-09
1902,1.4730851538580225e-09,8.347482705062248e-09
1903,3.2401321625741275e-09,5.400220270956879e-09
1904,1.0749250378694342e-09,5.912087708281888e-09
1905,4.128607289377584e-09,1.1353669837621538e-08
1906,3.0865107691901983e-09,1.0288369267641428e-08
1907,1.028568674676933e-09,7.1999805006939255e-09
1908,2.4556945366072114e-09,1.4243028090277221e-08
1909,2.750491778780173e-09,1.3752458727367411e-08
1910,2.2979847136284093e-08,9.085056262847502e-09
1911,3.1922244847493175e-09,1.0640748282497725e-08
1912,2.6047105583515417e-09,9.89790061023399e-09
1913,3.8181524719682614e-08,1.3257474229533273e-08
1914,2.6786975415582504e-09,2.0090231978020512e-08
1915,1.1780761921542648e-09,3.416421012758519e-08
1916,6.592477230782379e-09,2.197492410260793e-09
1917,5.483212106582869e-09,3.618920185743946e-08
1918,4.594550517822427e-09,3.44591288836682e-09
1919,2.762354567309444e-09,8.28706359090603e-09
1920,3.786115865267448e-09,1.0601124422748853e-08
1921,2.27182422873895e-09,1.060184651180407e-08
1922,3.688967686876765e-09,1.770704471937279e-08
1923,2.1231896241147297e-09,1.2739137744688378e-08
1924,3.867487330388997e-09,9.024136882196387e-09
1925,2.1996355847875293e-09,1.0998177923937646e-08
1926,2.229227691330493e-09,1.5604594061358057e-08
1927,2.2298449753321847e-09,1.3379069629948503e-08
1928,3.4278123672848437e-09,1.4853853258500749e-08
1929,3.342121912552898e-09,7.798284462623428e-09
1930,2.100720708497761e-09,2.3107928015519974e-08
