year,pouvant_VERB appliquer_VERB
1800,1.5720821977538435e-08
1801,0.0
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,1.1387820464392462e-08
1808,0.0
1809,6.7770917766551975e-09
1810,0.0
1811,1.504245972228091e-08
1812,0.0
1813,8.627225156487839e-09
1814,1.2586708564299443e-08
1815,0.0
1816,6.952811659743929e-09
1817,4.670620334934483e-09
1818,1.7881765401739358e-08
1819,1.035105001712111e-09
1820,0.0
1821,7.88919063410276e-09
1822,1.7043547018147365e-08
1823,7.906149512848515e-09
1824,1.431589158329416e-08
1825,5.283265824829186e-09
1826,5.284790383086602e-09
1827,2.7651818612639545e-09
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,3.1310507520032616e-09
1831,2.9623292263636358e-08
1832,6.764984572527055e-09
1833,5.791814139399776e-09
1834,1.4001796166951408e-08
1835,4.5378527602224494e-09
1836,1.008112526790228e-08
1837,6.957890930081589e-10
1838,8.2058102535143e-09
1839,5.5931801412612e-09
1840,1.2739377552861697e-08
1841,6.420548537278137e-09
1842,7.379091560011375e-09
1843,3.5441467538532834e-09
1844,7.1351298203126134e-09
1845,1.2834524554250493e-08
1846,1.7563503984519002e-09
1847,3.775256551818984e-09
1848,2.333114323960217e-08
1849,0.0
1850,6.788996032014438e-09
1851,1.2253933867611977e-08
1852,1.8880582430824688e-08
1853,3.5831591027601917e-09
1854,1.0391328908454511e-09
1855,1.0613874223963649e-08
1856,7.248064815001953e-09
1857,1.4644527812635033e-09
1858,9.787352261980686e-09
1859,1.171199848215565e-08
1860,5.034902272882391e-09
1861,1.6034276129062164e-08
1862,1.1746764450037972e-08
1863,8.990317823531768e-09
1864,1.2945765348604255e-08
1865,6.118897832863013e-09
1866,8.75810357570117e-09
1867,7.76449837758264e-09
1868,6.915823469455518e-09
1869,6.348574999037737e-09
1870,1.6055336615750093e-08
1871,4.248470908407853e-09
1872,3.0236697590169115e-09
1873,1.0176207432266438e-08
1874,1.4339061493728877e-08
1875,1.602027666081085e-08
1876,2.0556450763820067e-08
1877,1.36065949618569e-08
1878,1.1474268646338714e-08
1879,7.94212251520321e-09
1880,3.2089231272180996e-09
1881,7.669758161910067e-09
1882,9.317538740560849e-09
1883,8.847074184359371e-09
1884,5.941527270181268e-09
1885,9.023890079618013e-09
1886,5.808117542471791e-09
1887,5.876032105334161e-09
1888,5.07249175996094e-09
1889,1.0650732740202784e-08
1890,5.898947996740844e-09
1891,6.3742202627281586e-09
1892,1.8805537127519756e-09
1893,3.695050043717174e-09
1894,1.449354058991048e-08
1895,4.814891596538473e-09
1896,5.897029087265082e-09
1897,6.992056267307589e-09
1898,6.7900258748920805e-09
1899,7.738609753005221e-09
1900,2.595526460424935e-09
1901,6.706486921359556e-09
1902,1.0802624572647801e-08
1903,2.1600881083827517e-09
1904,6.987012746151322e-09
1905,5.676835002077496e-09
1906,1.6461390472954918e-08
1907,1.2857108266928208e-08
1908,5.893666887857307e-09
1909,4.950885035270858e-09
1910,1.336037680488289e-08
1911,5.852411444351446e-09
1912,8.335073964360618e-09
1913,8.484783542428431e-09
1914,8.705766774141921e-09
1915,1.1780762143587253e-08
1916,4.394984820521586e-09
1917,2.1932848870420685e-09
1918,1.033773866510046e-08
1919,1.1049418269237776e-08
1920,0.0
1921,6.815472630705699e-09
1922,1.3280283539529592e-08
1923,1.4862327368803108e-08
1924,3.867487219366694e-09
1925,4.399271169575059e-09
1926,5.57306911730393e-09
1927,1.1149224876660924e-09
1928,1.1426041224282812e-09
1929,1.1140405931087116e-08
1930,5.2518016602221e-09
1931,6.843213995466613e-09
1932,5.4797681947604815e-09
1933,1.1470662197865522e-09
1934,2.3963160344919743e-09
1935,3.590485242455088e-09
1936,9.699771652549316e-09
1937,1.2591118148108649e-09
1938,5.186085783037697e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,0.0
1946,9.744772988540262e-09
1947,5.960435700558264e-09
1948,2.174377566888097e-09
1949,2.945102384188658e-09
1950,9.571825110299415e-09
1951,9.595261474260042e-09
1952,7.381362632230548e-09
1953,5.386913581872932e-09
1954,7.818028890937967e-09
1955,1.8771215692936494e-09
1956,7.849027205963921e-09
1957,3.534015080575159e-09
1958,3.3088973783179654e-09
1959,6.200598257066758e-09
1960,9.689166802218097e-09
1961,4.86371165564492e-09
1962,5.7077609305622445e-09
1963,3.2330267352165265e-09
1964,6.083968440151466e-09
1965,4.377634699181954e-09
1966,4.985167390003653e-09
1967,9.860671390526932e-09
1968,6.737123747768692e-09
1969,1.3625273131978588e-09
1970,2.7592350626548523e-09
1971,2.0553589941130213e-09
1972,2.0520587451500205e-09
1973,4.9618833486420044e-09
1974,1.6876715580593782e-09
1975,3.998036124386317e-09
1976,8.570290255249802e-09
1977,3.526069214387917e-09
1978,4.158414057542359e-09
1979,4.096381456264453e-09
1980,5.116635559687666e-09
1981,4.427884725544118e-09
1982,5.586751949948621e-09
1983,6.315316269933646e-09
1984,5.219107812592938e-09
1985,3.0077789148208467e-09
1986,5.994485352545098e-09
1987,1.8332451112712533e-09
1988,6.596209356501959e-09
1989,2.7440609784434855e-09
1990,5.448650863826288e-09
1991,5.2753188484189195e-09
1992,8.815910668147353e-09
1993,3.323524566667402e-09
1994,4.2199412852994556e-09
1995,5.4224509327127635e-09
1996,3.2028553142993132e-09
1997,2.3974471297094624e-09
1998,2.3840645013706308e-09
1999,5.0272213059088244e-09
2000,1.7672125984802278e-09
2001,3.943090742808408e-09
2002,3.504977197366088e-09
2003,5.416999737661854e-09
2004,4.845270407116686e-09
2005,3.602999676388663e-09
2006,3.706100981659688e-09
2007,5.991719120856942e-09
2008,4.257439734089985e-09
2009,2.860915504498962e-09
2010,2.3618964561933353e-09
2011,3.059177577924288e-09
2012,1.7021263287730903e-09
2013,5.578249862026041e-09
2014,5.197068553286499e-09
2015,4.43315073539452e-09
2016,4.556948152156792e-09
2017,4.2765391228272165e-09
2018,4.3884935685412074e-09
2019,2.806086474294034e-09
