year,voudrait_VERB envoyer_VERB,voudrait_VERB renvoyer_VERB
1800,1.8864987794131594e-08,2.2009151834367913e-08
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,2.3404069793286908e-08,3.900678446910888e-09
1804,1.2359254952798437e-08,0.0
1805,5.685755422035754e-09,0.0
1806,3.1698359492793315e-08,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,0.0,0.0
1809,2.710836710662079e-08,0.0
1810,0.0,4.680253518074551e-09
1811,4.011322829455821e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,1.71256075987003e-08,0.0
1818,7.152706427149269e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,9.493184904840746e-09,3.5599443393152796e-09
1821,2.5639868894700157e-08,2.9584463767662328e-09
1822,9.023054303725075e-09,9.023054303725075e-09
1823,3.5577674140085946e-08,0.0
1824,2.4421225930382207e-08,8.421112696055388e-10
1825,2.201360693732113e-08,0.0
1826,2.6423952803611428e-08,8.807984341885344e-10
1827,8.295545583791863e-09,1.1060727445055818e-08
1828,1.6510142586412258e-08,4.586150570418113e-09
1829,5.3153691226270894e-08,3.429270423183084e-09
1830,1.7742621594152297e-08,1.2524203008013046e-08
1831,1.5591206103948707e-09,2.0268567268999504e-08
1832,2.570694235259907e-08,5.411987746839486e-09
1833,4.749287541017111e-08,0.0
1834,1.5868701908061666e-08,9.334530925997342e-10
1835,7.638718813041123e-08,1.5126175867408165e-08
1836,2.419469957715137e-08,2.688300027031687e-09
1837,3.409366655660051e-08,4.87052354003481e-09
1838,3.3454458758797045e-08,2.5248647617104325e-09
1839,2.027527834513876e-08,2.0974426639952526e-09
1840,2.8663599493938818e-08,2.5478754661634184e-09
1841,1.6693427085101575e-08,3.2102742686390684e-09
1842,3.152884531232303e-08,4.695785538189057e-09
1843,1.5357969118667825e-08,2.3627644285539873e-09
1844,2.030767731753258e-08,6.586273748609983e-09
1845,1.3950569588416784e-08,4.464182357111213e-09
1846,2.6930706553685013e-08,4.0981511517657054e-09
1847,1.4561703842730367e-08,1.0247124926365814e-08
1848,3.539897619475596e-08,8.04522137798358e-09
1849,5.02764896381791e-09,2.011059585527164e-08
1850,4.5486274302675156e-08,4.752297222410107e-09
1851,1.9348316726564008e-08,8.384270167027807e-09
1852,3.906327261660181e-09,1.3021090872200602e-09
1853,1.791579506971175e-08,4.180352064508952e-09
1854,1.454786069388092e-08,5.195664454227256e-10
1855,1.2736649068756378e-08,1.5920811335945473e-09
1856,3.2616291889553395e-08,1.0354378465748937e-09
1857,3.221796163188628e-08,9.274867096564776e-09
1858,3.327699715782728e-08,1.9574704523961373e-08
1859,5.601390462572908e-09,3.5645213447565993e-09
1860,6.865775947773045e-09,1.8308735638683515e-09
