year,eût_VERB appelé_VERB,eût_VERB rappelé_VERB
1800,1.7292904885835014e-07,2.5153315874604232e-08
1801,1.7858869227893592e-07,7.619784270218588e-08
1802,5.818384352096473e-08,6.713520406265161e-08
1803,1.4627543976075685e-07,4.8758479920252285e-08
1804,1.97748079244775e-07,7.168367943677367e-08
1805,1.3645812657614442e-07,8.24434565060983e-08
1806,1.3543845511776453e-07,1.152667650217154e-08
1807,1.1103124819555887e-07,7.402083213037258e-08
1808,1.11037628869326e-07,1.0650547466184435e-07
1809,1.1746958961111886e-07,9.03612189517844e-08
1810,1.0530570193623134e-07,8.89248141788812e-08
1811,6.267691787797958e-08,3.5099073869560016e-08
1812,6.934741492159446e-08,2.9339290108509886e-08
1813,1.35159851311073e-07,6.039057609541487e-08
1814,8.496028414128887e-08,6.293354459785405e-08
1815,1.537417375629957e-07,4.8550024445148665e-08
1816,1.4137383175238938e-07,7.879853569647821e-08
1817,1.0898114055635233e-07,7.161617787687646e-08
1818,1.263644833215949e-07,6.795070817133819e-08
1819,1.738976465048836e-07,9.626476327184719e-08
1820,1.9461029410194897e-07,9.255855104584043e-08
1821,1.6370070454740926e-07,6.607196922914227e-08
1822,2.1555074170009902e-07,9.123310462655354e-08
1823,2.184073792932395e-07,6.917881023582595e-08
1824,1.2210612965191103e-07,1.1536924660049408e-07
1825,1.1975402003372437e-07,1.0830694918695372e-07
1826,1.8584846372959873e-07,8.191425138193154e-08
1827,1.511632774509053e-07,1.0507691428074395e-07
1828,1.779426384018734e-07,9.447470006307412e-08
1829,1.7660742912539718e-07,8.487444347338169e-08
1830,1.3359149875213916e-07,1.0854309095975623e-07
1831,2.011265536339124e-07,1.02901957177437e-07
1832,1.244757186213974e-07,7.982681893281551e-08
1833,1.4711207541040494e-07,7.52935847003755e-08
1834,1.2414926686687977e-07,7.467625096069241e-08
1835,1.792451769233594e-07,8.848812882433776e-08
1836,1.6667459590280487e-07,1.0753200285762432e-07
1837,1.092388899337493e-07,7.027470161347082e-08
1838,1.6096012700472784e-07,9.657608046609312e-08
1839,1.3213887939400593e-07,5.872839281551023e-08
1840,1.2102408675218612e-07,8.72647376581881e-08
1841,9.630822717099363e-08,1.046549442662581e-07
1842,1.9051472577302775e-07,9.458653948968276e-08
1843,1.4649138790900906e-07,6.438533262098645e-08
1844,1.3886059946344176e-07,6.256959750317037e-08
1845,1.3280941857374273e-07,7.644912614068744e-08
1846,1.5280248533144913e-07,4.6836010625384006e-08
1847,1.2026889351091086e-07,6.849393940910886e-08
1848,1.0941501216166216e-07,5.63165514222419e-08
1849,1.3909829021940823e-07,7.457679629396807e-08
1850,1.3374322804793337e-07,9.504594800091581e-08
1851,2.0122249111409474e-07,1.1286518031283777e-07
1852,1.5755520621496544e-07,9.570501902089745e-08
