year,aurait_VERB assuré_VERB,aurait_VERB rassuré_VERB
1800,3.772997558826319e-08,0.0
1801,8.810375362600098e-08,0.0
1802,4.699464284385613e-08,0.0
1803,5.265916058760922e-08,0.0
1804,8.157108055684148e-08,0.0
1805,9.097208675257207e-08,0.0
1806,7.780506905419315e-08,0.0
1807,8.825561081948763e-08,8.540865792383556e-09
1808,6.118399653587403e-08,6.798221985349073e-09
1809,1.1069249694628525e-07,1.3554183553310395e-08
1810,3.510190182964834e-08,2.3401267590372754e-09
1811,1.6797415014480066e-07,0.0
1812,8.268345652595599e-08,0.0
1813,5.751483289628823e-09,0.0
1814,7.866692897096073e-08,0.0
1815,1.2676950689183286e-07,0.0
1816,1.6918508549679245e-07,0.0
1817,8.095742032310227e-08,0.0
1818,8.702459552978326e-08,1.5497530370112145e-08
1819,8.79839276990424e-08,1.9666995143552413e-08
1820,1.3290458866777044e-07,1.1866481131050932e-09
1821,7.987805616949117e-08,1.0847637454958203e-08
1822,8.120748873352568e-08,0.0
1823,1.0179167730939298e-07,0.0
1824,9.515857612996115e-08,7.57900142644985e-09
1825,1.0214314016820936e-07,0.0
1826,1.1362299545680798e-07,3.5231937367541377e-09
1827,1.0599863742299931e-07,0.0
1828,1.3208114069129806e-07,9.172301140836225e-09
1829,1.1316592463117559e-07,1.714635211591542e-09
1830,1.1167414015744725e-07,5.218417697960831e-09
1831,1.1069756311599122e-07,0.0
1832,1.4477066656581883e-07,0.0
1833,1.332117278707301e-07,0.0
1834,1.3721761149554368e-07,0.0
1835,8.621920244422654e-08,1.5126175867408165e-09
1836,9.745087936607888e-08,0.0
1837,1.092388899337493e-07,2.7831563720326358e-09
1838,1.180374269438289e-07,2.5248647617104325e-09
1839,9.088918062616358e-08,6.9914751765765e-10
1840,1.5542040898708365e-07,3.821813088222825e-09
1841,8.089891423423978e-08,3.852329122366882e-09
1842,1.1135720257016146e-07,0.0
1843,6.3794637128467e-08,1.1813822142769936e-09
1844,1.0702694197561868e-07,8.232841963717874e-09
1845,1.233230335628832e-07,8.928364714222425e-09
1846,1.0772282621474005e-07,0.0
1847,1.8822350966729573e-07,1.6179670936367074e-09
1848,1.504456434986423e-07,4.82713291560799e-09
1849,1.3742240412284445e-07,5.02764896381791e-09
1850,1.1677073530336202e-07,1.3577992064028876e-09
1851,1.1802472954514087e-07,6.449438760824933e-10
1852,7.552232972329875e-08,3.906327261660181e-09
1853,8.121827477225452e-08,4.180352064508952e-09
1854,1.3560683953528496e-07,3.63696517347023e-09
1855,1.003011078637428e-07,0.0
1856,1.76024428810706e-07,0.0
1857,1.3619410310639068e-07,1.9526036343364694e-09
1858,1.008097285648546e-07,4.893676019968041e-10
1859,1.4665459957541316e-07,5.092173349652285e-10
1860,9.566314673747911e-08,7.323494255473406e-09
1861,1.0988195242589427e-07,9.431927239234028e-09
1862,8.945612961497318e-08,1.8071945051545413e-09
1863,9.289994551409109e-08,5.9935452156878455e-09
1864,1.2082713851668814e-07,9.589455896019672e-10
1865,1.3226232908891689e-07,1.882737743486018e-09
1866,1.114225369747146e-07,9.244664589402873e-09
1867,8.686532737556263e-08,2.426405742994575e-09
1868,6.57003269566303e-08,6.421836395986702e-09
1869,1.1085588624837328e-07,1.5627261262807224e-08
1870,1.4392462333034928e-07,9.747882501187632e-09
1871,1.7631154491937195e-07,4.248470908407853e-09
1872,8.526748729309475e-08,1.2094678591978436e-09
