year,veulent_VERB appeler_VERB,veulent_VERB rappeler_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,4.7623651688866175e-09
1802,1.7902721083373763e-08,8.951360541686881e-09
1803,7.801356893821776e-09,0.0
1804,2.4718509461507665e-09,6.179627121127851e-08
1805,2.2743021688143017e-08,0.0
1806,1.729001475325731e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,1.581321384946932e-08,0.0
1810,1.6380887757350138e-08,2.3401266702194334e-08
1811,1.504245972228091e-08,0.0
1812,1.600324850414836e-08,0.0
1813,1.7254450312975678e-08,5.751483289628823e-09
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,3.113746815941454e-09
1818,1.1921176934492905e-08,2.98029441125891e-08
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,7.119888678630559e-09,1.3053129244156025e-08
1821,2.2681422962023134e-08,1.2819934447350079e-08
1822,1.4035862250239006e-08,6.015369535816717e-09
1823,0.0,5.929612356680991e-09
1824,6.736890156844311e-09,4.210556348027694e-09
1825,1.8491430608946757e-08,1.7610886082763955e-09
1826,1.0569580766173203e-08,1.3211976401805714e-08
1827,1.1982455028203276e-08,1.8434546111834038e-09
1828,2.384798314380987e-08,1.7427371545863934e-08
1829,5.143905745796928e-09,8.57317605795771e-10
1830,6.262101504006523e-09,3.1310507520032616e-09
1831,3.1182412207897414e-09,0.0
1832,2.3000948701223933e-08,2.705993873419743e-09
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,4.667265685043276e-09,8.401078055442213e-09
1835,1.5882484660778573e-08,7.563087933704082e-10
1836,1.5457725766054864e-08,1.0753200108126748e-08
1837,2.365682938432201e-08,6.957890930081589e-10
1838,1.1361890983607736e-08,1.2624323808552163e-09
1839,5.5931801412612e-09,0.0
1840,1.2739377552861697e-08,1.52872523528913e-08
1841,1.0272877659645019e-08,2.5682194149112547e-09
1842,1.609983613093391e-08,5.366612043644636e-09
1843,1.3585895075607368e-08,5.906911071384968e-10
1844,2.7442807137845193e-08,1.6465684371524958e-09
1845,1.4508592549589139e-08,7.254296274794569e-09
1846,2.1661655580373917e-08,3.5127007969038004e-09
1847,1.3483059113639229e-08,5.9325460100012606e-09
1848,9.65426583121598e-09,8.045221711050488e-10
1849,1.3407063903514427e-08,8.379414495607307e-09
1850,2.647708541303473e-08,1.3577992064028876e-09
1851,1.2253933867611977e-08,6.449438760824933e-09
1852,7.812654523320361e-09,9.114764054629632e-09
1853,6.569124799682413e-09,5.971931837933653e-10
1854,3.63696517347023e-09,5.7152309551611324e-09
1855,1.539011762474729e-08,0.0
1856,1.0872097000458325e-08,0.0
1857,5.857811125054013e-09,8.78671624349181e-09
1858,8.808616946964776e-09,6.8511463169329545e-09
1859,1.7313389832906978e-08,7.638259802433822e-09
1860,1.0527522853465143e-08,1.1900677776566226e-08
1861,9.903524222920623e-09,1.8863854922557266e-09
1862,9.939570055905733e-09,7.228778020618165e-09
1863,9.489779628779615e-09,8.490855130105501e-09
1864,1.0068928801842958e-08,5.753673537611803e-09
1865,2.2122168985561075e-08,6.589582213223366e-09
1866,2.2868380966656332e-08,6.3252967308358166e-09
1867,8.73506067478047e-09,8.249779526181555e-09
1868,1.432563490055827e-08,1.4819622196071691e-09
1869,1.12320943657096e-08,5.371870948067681e-09
1870,1.3188312664169644e-08,4.013834153937523e-09
1871,1.0621177271019633e-09,0.0
1872,1.814201766592305e-08,1.2094678591978436e-09
1873,8.979006871356887e-09,1.7958012854535355e-09
1874,2.3898436563030145e-09,5.974609140757536e-10
1875,1.0298748520654044e-08,1.716458086775674e-09
1876,9.673623679873344e-09,0.0
1877,1.1751150275074451e-08,8.040260901509555e-09
1878,3.0195443923020093e-09,1.4493812372506909e-08
1879,3.665595160740054e-09,1.221865053580018e-09
1880,5.776061406947974e-09,4.492492600149944e-09
1881,8.367009307619355e-09,4.8807553554297556e-09
1882,9.317538740560849e-09,1.9966155395678697e-09
1883,9.479008689083912e-09,3.791603475633565e-09
1884,1.0562715146988921e-08,0.0
1885,1.160214413431504e-08,0.0
1886,6.4534639854230136e-09,1.2906927970846027e-08
1887,6.528924512139156e-09,4.570247291724172e-09
1888,8.242799331981132e-09,1.268122939990235e-09
1889,3.759081934617825e-09,1.3156786771162388e-08
1890,2.6217545912032847e-09,5.243509182406569e-09
1891,3.1871101313640793e-09,7.0116419337296065e-09
1892,1.2537024751679837e-08,1.8805537127519756e-09
1893,4.926733243593162e-09,3.695050043717174e-09
1894,6.9316934414587195e-09,3.780923574225881e-09
1895,7.22233739480771e-09,1.8055843487019274e-09
1896,1.9460195233023114e-08,7.076434549446731e-09
1897,4.078699600285063e-09,1.7480140668268973e-09
1898,7.355861253444118e-09,1.6975064687230201e-09
1899,2.2110313580014918e-09,3.8693048765026106e-09
1900,6.748368974740515e-09,1.5573159428683425e-09
1901,8.38310842965484e-09,9.500856101851696e-09
1902,2.9461704187383475e-09,2.455141867585553e-09
1903,2.7001101354784396e-09,3.7801539676252105e-09
1904,5.374625189347171e-10,1.1286712897629059e-08
1905,3.6125313851442797e-09,3.096455536422127e-09
1906,4.115347618238729e-09,5.144184522798412e-10
1907,9.257117739025489e-09,9.771402353919711e-09
1908,8.349361202419914e-09,2.9468334439286537e-09
1909,5.5009836685826485e-09,1.1001967115120692e-09
1910,4.275320542035388e-09,3.740905363258662e-09
1911,1.2236860413850081e-08,5.320374141248863e-10
1912,1.3544495303108306e-08,6.772247651554153e-09
1913,7.42418571064718e-09,2.6514948014977335e-09
1914,1.0045115850232378e-08,1.1384464038144415e-08
1915,1.1780761921542648e-09,7.068456930880984e-09
1916,7.69122365795738e-09,1.3184954461564757e-08
1917,8.773139548168274e-09,1.0966424435210342e-09
1918,2.2972752589112133e-09,3.44591288836682e-09
1919,7.366278698128781e-09,2.762354567309444e-09
1920,1.2872794385998532e-08,3.028892692213958e-09
1921,5.300923255902035e-09,7.572747429129834e-10
1922,6.640141769764796e-09,2.2133805899215986e-09
1923,3.1847844361720945e-09,7.431163684401554e-09
1924,1.289162443462999e-09,6.445812328337297e-09
1925,5.499089184013428e-09,2.1996355847875293e-09
1926,1.4489979882625903e-08,5.57306911730393e-09
1927,6.689535148041159e-09,4.4596899506643695e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,1.1140406375176326e-09,3.342121912552898e-09
1930,2.100720708497761e-09,1.1553964007759987e-08
1931,6.843213995466613e-09,4.5621426636444085e-09
1932,8.767629289252454e-09,6.575722188983946e-09
1933,8.02946331646126e-09,9.176529758292418e-09
1934,4.7926320689839486e-09,5.990790086229936e-09
1935,1.196828414151696e-08,5.98414207075848e-09
1936,1.2124714565686645e-08,6.0623572828433225e-09
1937,3.777335333410292e-09,3.777335333410292e-09
1938,1.0372171566075394e-08,3.8895642262559704e-09
1939,4.588215141154706e-09,3.058810094103137e-09
1940,5.0715658339584024e-09,5.0715658339584024e-09
1941,5.9030051957620344e-09,0.0
1942,1.2136847082899749e-08,0.0
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,9.639558484764166e-09,0.0
1945,6.535512131478072e-09,2.178504043826024e-09
1946,1.3921104269343232e-09,4.1763312808029696e-09
1947,5.960435700558264e-09,9.536696765621855e-09
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,8.835307596655184e-09,2.945102384188658e-09
1950,4.2541445921528975e-09,5.317680518146517e-09
1951,0.0,3.1984206394497505e-09
1952,1.0544804140977249e-08,3.1634410646574906e-09
1953,7.54167928107563e-09,6.464296653518886e-09
1954,4.886268278880834e-09,4.886268278880834e-09
1955,3.754243138587299e-09,9.385607846468247e-09
1956,1.0465369904011368e-08,1.744228317335228e-09
1957,4.417518795207798e-09,6.184526224473075e-09
1958,3.3088973783179654e-09,4.1361216673863055e-09
1959,7.750747599288843e-09,9.300897829689347e-09
1960,9.689166802218097e-09,6.2287499602575735e-09
1961,3.47407969059077e-09,3.47407969059077e-09
1962,6.341956293454132e-09,2.5367825617905737e-09
1963,4.526237162849611e-09,7.759263453976928e-09
1964,3.041984220075733e-09,7.300761772910391e-09
1965,6.5664522708175355e-09,1.2038495533772675e-08
1966,1.6617224263271169e-09,6.6468897053084675e-09
1967,5.916402479044791e-09,4.930335695263466e-09
1968,1.7965663401398047e-09,4.940557296606585e-09
1969,4.541757636644661e-09,1.8167031212712459e-09
1970,6.898087434592526e-09,1.241655755990223e-08
1971,4.1107179882260425e-09,8.735275613958038e-09
1972,4.104117490300041e-09,9.747279428040656e-09
1973,6.064523994098181e-09,4.410563025913916e-09
1974,7.875800456247362e-09,1.6876715580593782e-09
1975,7.4249242310031605e-09,2.8557400888473694e-09
1976,2.285410749536254e-09,1.0284348483935446e-08
1977,5.876781727920388e-09,5.876781727920388e-09
1978,6.534650598410963e-09,1.7821774056514528e-09
1979,4.096381456264453e-09,5.266775904289034e-09
1980,5.116635559687666e-09,1.0801786132219604e-08
1981,1.2651099057237047e-09,8.855769451088236e-09
1982,7.449002747961231e-09,8.069752865935698e-09
1983,3.78918940668882e-09,1.3893695083311286e-08
1984,6.378909400694965e-09,4.059305780401701e-09
1985,3.0077789148208467e-09,7.820225356169885e-09
1986,2.997242676272549e-09,4.7955883708539204e-09
1987,8.555143260480236e-09,5.49973533381376e-09
1988,2.398621523624911e-09,6.596209356501959e-09
1989,3.841685636274406e-09,8.232182935330457e-09
1990,5.448650863826288e-09,7.083246433836621e-09
1991,7.6199047072123e-09,4.68917216167597e-09
1992,3.856960972825618e-09,7.713921945651236e-09
1993,4.4313659408601325e-09,5.539207315052863e-09
1994,3.6924485691258724e-09,6.329911705904578e-09
1995,5.4224509327127635e-09,9.760411145975922e-09
