year,voulaient_VERB apporter_VERB,voulaient_VERB rapporter_VERB
1800,0.0,0.0
1801,0.0,1.6668277424969347e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,1.2586708564299443e-08,2.8320094713762956e-08
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,2.6466848268569265e-08,0.0
1818,0.0,1.4305412854298538e-08
1819,7.24573512300708e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,9.86148829262845e-10,0.0
1822,4.010246357211145e-09,0.0
1823,0.0,1.9765373338032077e-08
1824,8.421112696055388e-09,1.6842225392110777e-09
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,2.5808365222701468e-08,0.0
1828,3.668920500743411e-09,0.0
1829,7.715858174606183e-09,6.001223074036943e-09
1830,0.0,1.2524203008013046e-08
1831,0.0,0.0
1832,0.0,4.058990921151917e-09
1833,4.6334514003376626e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,3.781543966852041e-09,1.5126175867408165e-09
1836,2.016224964762614e-09,8.064899859050456e-09
1837,4.87052354003481e-09,0.0
1838,1.8936485712828244e-09,2.5248647617104325e-09
1839,1.2584655095793096e-08,8.38977065598101e-09
1840,5.095750932326837e-09,1.2739377330817092e-09
1841,4.494383976094696e-09,5.1364388298225094e-09
1842,1.7441490030023488e-08,8.049918065466954e-09
1843,5.906910960362666e-09,1.7720733769266417e-09
1844,1.4819115712327857e-08,3.841992946007622e-09
1845,9.48638767539478e-09,6.138250796539069e-09
1846,0.0,0.0
1847,2.6966118227278457e-09,2.6966118227278457e-09
1848,2.735375304041554e-08,8.84974404868899e-09
1849,1.6758829879393033e-09,5.02764896381791e-09
1850,3.394498016007219e-09,8.146795238417326e-09
1851,3.676180071465751e-08,0.0
1852,1.1067927019325907e-08,0.0
1853,3.5831591027601917e-09,2.388772735173461e-09
1854,1.1430461910322265e-08,2.5978321716024766e-09
1855,6.368324534378189e-09,2.653468555990912e-09
1856,4.141751386299575e-09,2.0708756931497874e-09
1857,2.9289055625270066e-09,9.763018171682347e-10
1858,1.6149130033227266e-08,9.787352039936081e-10
1859,9.165912473463322e-09,3.055304009791371e-09
1860,1.0985241161165504e-08,4.119465657481669e-09
1861,8.017138064531082e-09,3.772770984511453e-09
1862,1.3553959066214816e-09,6.776979422085105e-09
1863,0.0,3.496234635136375e-09
1864,1.0068928801842958e-08,7.1920918109924514e-09
1865,2.8241067262513297e-09,4.706844358715045e-10
1866,5.352174259343201e-09,1.9462451650298362e-09
1867,8.73506067478047e-09,9.7056229719783e-10
1868,2.9639244392143382e-09,1.4819622196071691e-09
1869,9.767038733343725e-09,2.9301114867763545e-09
1870,5.160643912205387e-09,4.013834153937523e-09
1871,7.434824311758348e-09,1.0621177271019633e-09
1872,4.23313739617015e-09,1.2094678591978436e-09
1873,1.1972009161809183e-08,5.387403856360606e-09
1874,3.5847653734322193e-09,0.0
1875,1.2587359599081083e-08,4.005069165202713e-09
1876,4.836811839936672e-09,0.0
1877,3.0924081073635534e-09,1.2369631985365004e-09
1878,5.435179861734696e-09,0.0
1879,5.498392852132383e-09,1.832797580370027e-09
1880,3.2089231272180996e-09,3.2089231272180996e-09
1881,0.0,6.972507571312292e-10
1882,4.6587693702804245e-09,0.0
1883,4.423537092179686e-09,0.0
1884,5.281357573494461e-09,0.0
1885,7.7347630522695e-09,1.0957580620640783e-08
1886,8.38950331427668e-09,4.5174246565693466e-09
1887,4.570247291724172e-09,2.6115698492645834e-09
1888,1.0779045211961602e-08,0.0
1889,5.6386229019267375e-09,0.0
1890,1.3764211992395303e-08,1.9663159989136147e-09
1891,2.5496880162734215e-09,5.736798147637501e-09
1892,1.5044429702015805e-08,0.0
1893,3.695050043717174e-09,3.695050043717174e-09
1894,0.0,2.520615716150587e-09
1895,6.6204757231957956e-09,0.0
1896,3.5382172747233653e-09,1.179405795248556e-09
1897,5.826713556089658e-10,0.0
1898,5.6583546736987955e-09,1.6975064687230201e-09
1899,1.2713430308508578e-08,0.0
1900,9.34389543516545e-09,3.114631885736685e-09
1901,1.0059729937950124e-08,0.0
1902,1.4730852093691738e-09,0.0
1903,1.6200660812870638e-09,0.0
1904,5.374625189347171e-10,1.6123875568041512e-09
1905,1.3417973399043603e-08,5.160759042333041e-10
1906,6.173021205313489e-09,2.0576738091193647e-09
1907,2.5714217422034835e-09,1.5428529565042481e-09
1908,6.384805573134145e-09,9.822778146428846e-10
1909,1.0451868703853506e-08,2.7504918342913243e-09
1910,5.34415089958884e-09,2.137660271017694e-09
1911,1.1704822888702893e-08,0.0
