year,voulut_VERB enseigner_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,2.842877755426798e-08
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,2.25903047379461e-08
1810,2.574139479349924e-08
1811,4.763445815569867e-08
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,3.113746815941454e-09
1818,1.668964877410417e-08
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,2.070912508145284e-08
1822,1.2030739071633434e-08
1823,2.174191138237802e-08
1824,1.6842225392110777e-09
1825,1.7610886082763955e-09
1826,8.80798456392995e-09
1827,9.217273055917019e-10
1828,1.1006761724274838e-08
1829,1.2859763920403111e-08
1830,1.1480519646056564e-08
1831,1.5591206548037917e-08
1832,4.058990921151917e-09
1833,1.7375443306377747e-08
1834,1.6802156110884425e-08
1835,9.832014313815307e-09
1836,1.6129799718100912e-08
1837,6.957891152126194e-09
1838,3.1560809521380406e-09
1839,8.38977065598101e-09
1840,4.458782232319436e-09
1841,9.630822361827995e-09
1842,2.0124794275488966e-08
1843,1.7720733325177207e-08
1844,2.7442805805577564e-09
1845,1.1160455892778032e-09
1846,5.854501328173001e-09
1847,1.5640349459999925e-08
1848,1.528592186161859e-08
1849,3.351765798242923e-08
1850,1.6972489191857676e-08
1851,1.6123596680017727e-08
1852,1.2370036550635177e-08
1853,1.7915795513800958e-09
1854,1.8184826089395756e-08
1855,4.2455496895854594e-09
1856,5.694908100650764e-09
1857,5.369659827891837e-09
1858,5.872411001917044e-09
1859,1.8331824946926645e-08
1860,1.373155189554609e-08
1861,2.452301117727984e-08
1862,1.7168348520613108e-08
1863,8.990317823531768e-09
1864,1.582260189536555e-08
1865,4.706844247692743e-09
1866,1.2650593461671633e-08
1867,1.455843445796745e-08
1868,6.421836395986702e-09
1869,8.790334682373668e-09
1870,5.734048791339319e-09
1871,7.434824311758348e-09
1872,9.675742873582749e-09
1873,5.387403856360606e-09
1874,2.9873046258899194e-09
1875,1.1443054503956773e-08
1876,9.673623679873344e-09
1877,8.040260901509555e-09
1878,1.1474268646338714e-08
1879,6.109325489944695e-09
1880,5.776061406947974e-09
1881,7.669758161910067e-09
1882,3.9932310791357395e-09
1883,6.319338829996468e-09
1884,5.281357573494461e-09
1885,0.0
1886,9.034849313138693e-09
1887,3.9173548849191775e-09
1888,7.60873763994141e-09
1889,3.132568426877924e-09
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,0.0
1893,9.853466487186324e-09
1894,5.041231432301174e-09
1895,8.426059849853118e-09
1896,4.717623180994224e-09
1897,8.740070001067579e-09
1898,6.224190496340043e-09
1899,2.2110313580014918e-09
1900,6.748368974740515e-09
1901,9.500856101851696e-09
1902,1.4730852093691738e-09
1903,1.5120615870500842e-08
1904,5.374625189347171e-09
1905,6.708986699521802e-09
1906,5.144184522798412e-10
1907,5.142843373384665e-10
1908,5.893666887857307e-09
1909,4.400786846048277e-09
1910,3.740905363258662e-09
1911,6.384448969498635e-09
1912,3.125652625612929e-09
1913,6.363587878865928e-09
1914,5.357394972094198e-09
1915,0.0
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,4.603924352863942e-09
1920,9.086678076641874e-09
1921,2.2718242842501013e-09
1922,8.853522359686394e-09
1923,3.1847844361720945e-09
1924,5.156649773851996e-09
1925,1.4297631523163545e-08
1926,1.1146138456652466e-09
1927,3.3447675740205796e-09
1928,7.998228745975666e-09
1929,1.1140405931087116e-08
1930,6.302162347537887e-09
1931,6.843213995466613e-09
1932,2.1919073223131136e-09
1933,1.1470662197865522e-09
1934,1.1981580172459871e-08
1935,1.196828414151696e-09
1936,6.0623572828433225e-09
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,1.1920871401116528e-08
1948,1.0871888278529696e-08
